# Wordlist

# DATA
ID	DOCULECT	CONCEPT_PINYIN	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE
28819	Meixian	biàn-yí 756	便宜	pʰiɛn¹²ȵi¹²	756	pʰiɛn¹²ȵi¹²	pʰ i ɛ n ¹² ȵ i ¹²	
28820	Guangzhou	biàn-yí 756	便	pʰin²¹	756	pʰin²¹	pʰ i n ²¹	
28821	Yangjiang	biàn-yí 756	賤	tʃin⁴⁵⁴	756	tʃin⁴⁵⁴	tʃ i n ⁴⁵⁴	
28822	Xiamen	biàn-yí 756	便宜	pan²⁴₃₃gi²⁴	756	pan²⁴₃₃gi²⁴	p a n ²⁴₃₃ g i ²⁴	
28823	Xiamen	biàn-yí 756	! □	[2] siɔk⁵	756	siɔk⁵	s i ɔ k ⁵	[2]
28824	Chaozhou	biàn-yí 756	!	pʰĩ³³	756	pʰĩ³³	pʰ ĩ ∼ ³³	
28825	Fuzhou	biàn-yí 756	便宜	peiŋ⁵²₄₄ŋie⁵²	756	peiŋ⁵²₄₄ŋie⁵²	p e i ŋ ⁵²₄₄ ŋ i e ⁵²	
28826	Fuzhou	biàn-yí 756	賤	[2] siaŋ²⁴²	756	siaŋ²⁴²	s i a ŋ ²⁴²	[2]
28827	Fuzhou	biàn-yí 756	合式	[3] xaʔ⁴₃₁seiʔ²³	756	xaʔ⁴₃₁seiʔ²³	x a ʔ ⁴₃₁ s e i ʔ ²³	[3]
#
35219	Wenzhou	bié 895	勿	fai⁴⁴	895	fai⁴⁴	f a i ⁴⁴	
35220	Changsha	bié 895	莫	mo²⁴	895	mo²⁴	m o ²⁴	
35221	Nanchang	bié 895	莫	mɔt⁵	895	mɔt⁵	m ɔ t ⁵	
35222	Meixian	bié 895	莫	mɔk⁴	895	mɔk⁴	m ɔ k ⁴	
35223	Guangzhou	bié 895	味	*nɐi²³	895	nɐi²³	n ɐ i ²³	[*]
35224	Guangzhou	bié 895	唔好	[2] ṃ²¹hou³⁵	895	ṃ²¹hou³⁵	ṃ ²¹ h o u ³⁵	[2]
35225	Yangjiang	bié 895	無好	mou⁴⁴³hou²¹	895	mou⁴⁴³hou²¹	m o u ⁴⁴³ h o u ²¹	
35226	Xiamen	bié 895	伓嗵	ṃ³³₁₁tʰaŋ⁵⁵,baŋ⁵⁵	895	ṃ³³₁₁tʰaŋ⁵⁵	ṃ ³³₁₁ tʰ a ŋ ⁵⁵	
35227	Chaozhou	bié 895	勿	mai²¹³	895	mai²¹³	m a i ²¹³	
35228	Fuzhou	bié 895	別	paiʔ²³	895	paiʔ²³	p a i ʔ ²³	
35211	Shenyang	bié 895	別	pei⁴¹	895	pei⁴¹	p e i ⁴¹	
35209	Beijing	bié 895	別	pie³⁵	895	pie³⁵	p i e ³⁵	
35210	Jinan	bié 895	別	pie⁴²	895	pie⁴²	p i e ⁴²	
35213	Chengdu	bié 895	莫	mo³¹	895	mo³¹	m o ³¹	
35214	Chengdu	bié 895	不要	[2] pu³¹iau¹³	895	pu³¹iau¹³	p u ³¹ i a u ¹³	[2]
35215	Kunming	bié 895	莫	mau³¹	895	mau³¹	m a u ³¹	
35217	Yangzhou	bié 895		@pɛ⁵⁵	895	@pɛ⁵⁵	@ p ɛ ⁵⁵	
35218	Suzhou	bié 895		@fiæ⁵¹³	895	@fiæ⁵¹³	@ f i æ ⁵¹³	
35212	Xian	bié 895		@pɑu²¹	895	@pɑu²¹	@ p ɑ u ²¹	
35216	Hefei	bié 895	不要	pəʔ⁴iɔ⁵³	895	pəʔ⁴iɔ⁵³	p ə ʔ ⁴ i ɔ ⁵³	
#
31781	Beijing	bié-dì 819	別的	pie³⁵tə⁰	819	pie³⁵tə⁰	p i e ³⁵ t ə ⁰	
31782	Jinan	bié-dì 819	別的	pie⁴²ti⁰	819	pie⁴²ti⁰	p i e ⁴² t i ⁰	
31783	Shenyang	bié-dì 819	別的	pie³⁵ti⁰	819	pie³⁵ti⁰	p i e ³⁵ t i ⁰	
31784	Xian	bié-dì 819	別的	pie²⁴ti⁰	819	pie²⁴ti⁰	p i e ²⁴ t i ⁰	
31785	Chengdu	bié-dì 819	別的	pie³¹ni³¹₄₄	819	pie³¹ni³¹₄₄	p i e ³¹ n i ³¹₄₄	
31786	Kunming	bié-dì 819	別的	pie³¹nə³¹₄₄	819	pie³¹nə³¹₄₄	p i e ³¹ n ə ³¹₄₄	
31787	Hefei	bié-dì 819	別的	piɐʔ⁴tə⁰	819	piɐʔ⁴tə⁰	p i ɐ ʔ ⁴ t ə ⁰	
31788	Yangzhou	bié-dì 819	別的	piəʔ⁴tiɪ⁰	819	piəʔ⁴tiɪ⁰	p i ə ʔ ⁴ t i ɪ ⁰	
31789	Suzhou	bié-dì 819	別樣	biɪʔ²³iaŋ³¹₂₁	819	biɪʔ²³iaŋ³¹₂₁	b i ɪ ʔ ²³ i a ŋ ³¹₂₁	
