ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
635	Chengdu	small	1246	965	small // tiny // small	小 // 细 // 小	ɕiau⁵³ // ɕi¹³ // ɕiau⁵³	小 // 细 // 小	BeijingDaxue1964, Hou2004, Liu2007	ɕ i a u ⁵³
867	Fuzhou	small	1246	965	small // small // tiny // small // small	小 // 小 // 细 // 小 // 小	nauŋ²⁴² // sɛ²¹³ // iɛu²¹² // nɔuŋ²⁴² // sɑ²¹²	嫩 // 細 // 幼 // 嫩 // 細	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Liu2007, Liu2007	n a u ŋ ²⁴²
1099	Guangzhou	small	1246	965	small // small	小 // 小	ʃɐi³³ // siu³⁵	細 // 小	BeijingDaxue1964, Liu2007	ʃ ɐ i ³³
1331	Jinan	small	1246	965	small // tiny // small	小 // 细 // 小	ɕiɔ⁵⁵ // ɕi²¹ // ɕiɔ⁴⁵	小 // 细 // 小	BeijingDaxue1964, Hou2004, Liu2007	ɕ i ɔ ⁵⁵
1563	Meixian	small	1246	965	small // tiny // small	小 // 细 // 小	sɛ⁴² // iu⁵³ // se⁵³	細 // 幼 // 細	BeijingDaxue1964, Hou2004, Liu2007	s ɛ ⁴²
1795	Nanchang	small	1246	965	small // small // tiny // small	小 // 小 // 细 // 小	ɕi⁵⁵ // ɕiɛu²¹³ // ɕi⁴⁵ // ɕiɛu²¹³	細 // 小 // 细 // 小	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Liu2007	ɕ i ⁵⁵
2027	Suzhou	small	1246	965	small // tiny // small	小 // 细 // 小	siæ⁴¹ // si⁵¹³ // siæ⁵²	小 // 细 // 小	BeijingDaxue1964, Hou2004, Liu2007	s i æ ⁴¹
2259	Wenzhou	small	1246	965	small // tiny // small	小 // 细 // 小	sai⁴⁵ // sei⁴² // sai²⁴	小 // 细 // 小	BeijingDaxue1964, Hou2004, Liu2007	s a i ⁴⁵
2491	Xiamen	small	1246	965	small // small	小 // 小	sue¹¹ // sue²¹	細 // 小	BeijingDaxue1964, Liu2007	s u e ¹¹
174	Beijing	smooth	1234	1037	smooth	平	pʰiŋ³⁵	平	Liu2007	pʰ i ŋ ³⁵
406	Changsha	smooth	1234	1037	smooth	平	pin¹³	平	Liu2007	p i n ¹³
638	Chengdu	smooth	1234	1037	smooth	平	pʰin²¹	平	Liu2007	pʰ i n ²¹
870	Fuzhou	smooth	1234	1037	smooth	平	paŋ⁵³	平	Liu2007	p a ŋ ⁵³
1102	Guangzhou	smooth	1234	1037	smooth	平	pʰɛŋ²¹	平	Liu2007	pʰ ɛ ŋ ²¹
1334	Jinan	smooth	1234	1037	smooth	平	pʰiŋ⁵³	平	Liu2007	pʰ i ŋ ⁵³
1566	Meixian	smooth	1234	1037	smooth	平	pʰiaŋ¹¹	平	Liu2007	pʰ i a ŋ ¹¹
1798	Nanchang	smooth	1234	1037	smooth	平	pʰin²⁴	平	Liu2007	pʰ i n ²⁴
2030	Suzhou	smooth	1234	1037	smooth	平	bin¹³	平	Liu2007	b i n ¹³
2262	Wenzhou	smooth	1234	1037	smooth	平	beŋ³⁴¹	平	Liu2007	b e ŋ ³⁴¹
2494	Xiamen	smooth	1234	1037	smooth	平	piæ²⁴	平	Liu2007	p i æ ²⁴
177	Beijing	soft	1856	1035	soft, flexible	軟	ʐuan²¹⁴	軟	BeijingDaxue1964	ʐ u a n ²¹⁴
409	Changsha	soft	1856	1035	soft, flexible	軟	yẽ∼⁴¹	軟	BeijingDaxue1964	y ẽ ∼ ⁴¹
641	Chengdu	soft	1856	1035	soft, flexible // soft, flexible	軟 // 軟	zuan⁵³ // pʰa⁴⁴	軟 // 	BeijingDaxue1964, BeijingDaxue1964	z u a n ⁵³
873	Fuzhou	soft	1856	1035	soft, flexible	軟	nuɔŋ³¹	軟	BeijingDaxue1964	n u ɔ ŋ ³¹
1105	Guangzhou	soft	1856	1035	soft, flexible	軟	jyn²³	軟	BeijingDaxue1964	j y n ²³
1337	Jinan	soft	1856	1035	soft, flexible	軟	luæ̃∼⁵⁵	軟	BeijingDaxue1964	l u æ̃ ∼ ⁵⁵
1569	Meixian	soft	1856	1035	soft, flexible	軟	ȵiɔn⁴⁴	軟	BeijingDaxue1964	ȵ i ɔ n ⁴⁴
1801	Nanchang	soft	1856	1035	soft, flexible	軟	ȵyɔn²¹³	軟	BeijingDaxue1964	ȵ y ɔ n ²¹³
2033	Suzhou	soft	1856	1035	soft, flexible	軟	ŋø³¹	軟	BeijingDaxue1964	ŋ ø ³¹
2265	Wenzhou	soft	1856	1035	soft, flexible	軟	W²⁴	軟	BeijingDaxue1964	W ²⁴
2497	Xiamen	soft	1856	1035	soft, flexible	軟	nῃ⁵¹	軟	BeijingDaxue1964	n ῃ ⁵¹
186	Beijing	straight	1404	1003	straight, erect // straight	直 // 直	tʂʅ³⁵ // ʈʂʅ³⁵	直 // 直	BeijingDaxue1964, Liu2007	tʂ ʅ ³⁵
418	Changsha	straight	1404	1003	straight, erect // straight	直 // 直	tsๅ²⁴ // tsɿ²⁴	直 // 直	BeijingDaxue1964, Liu2007	ts ๅ ²⁴
650	Chengdu	straight	1404	1003	straight, erect // straight, erect // straight	直 // 直 // 直	tsๅ³¹ // tsʰən⁴⁴ // tsɿ²¹	直 // 伸 // 直	BeijingDaxue1964, BeijingDaxue1964, Liu2007	ts ๅ ³¹
882	Fuzhou	straight	1404	1003	straight, erect // straight	直 // 直	tiʔ⁴ // tiʔ⁵	直 // 直	BeijingDaxue1964, Liu2007	t i ʔ ⁴
1114	Guangzhou	straight	1404	1003	straight, erect // straight	直 // 直	tʃɪk² // tsek²	直 // 直	BeijingDaxue1964, Liu2007	tʃ ɪ k ²
1346	Jinan	straight	1404	1003	straight, erect // straight	直 // 直	tʂʅ⁴² // ʈʂʅ⁵³	直 // 直	BeijingDaxue1964, Liu2007	tʂ ʅ ⁴²
1578	Meixian	straight	1404	1003	straight, erect // straight	直 // 直	tsʰət⁴ // tsʰət⁵	直 // 直	BeijingDaxue1964, Liu2007	tsʰ ə t ⁴
1810	Nanchang	straight	1404	1003	straight, erect // straight	直 // 直	tsʰət⁵ // tsʰɨt²¹*/²¹	直 // 直	BeijingDaxue1964, Liu2007	tsʰ ə t ⁵
2042	Suzhou	straight	1404	1003	straight, erect // straight	直 // 直	zɤʔ²³ // zɛʔ²³*/²³	直 // 直	BeijingDaxue1964, Liu2007	z ɤ ʔ ²³
2274	Wenzhou	straight	1404	1003	straight, erect // straight	直 // 直	dzei¹² // dzei²¹	直 // 直	BeijingDaxue1964, Liu2007	dz e i ¹²
2506	Xiamen	straight	1404	1003	straight, erect // straight	直 // 直	tit⁵ // tit⁵	直 // 直	BeijingDaxue1964, Liu2007	t i t ⁵
189	Beijing	ten	1515	806	ten	十	ʂʅ³⁵	十	Hou2004	ʂ ʅ ³⁵
421	Changsha	ten	1515	806	ten // ten	十 // 十	ʂʅ²⁴ // pʰau⁵⁵	十 // 炮	Hou2004, Hou2004	ʂ ʅ ²⁴
653	Chengdu	ten	1515	806	ten	十	sɿ³¹	十	Hou2004	s ɿ ³¹
885	Fuzhou	ten	1515	806	ten	十	sɛiʔ⁵	十	Hou2004	s ɛ i ʔ ⁵
1117	Guangzhou	ten	1515	806	ten	十	sɐp²	十	Hou2004	s ɐ p ²
1349	Jinan	ten	1515	806	ten	十	ʂʅ⁴²	十	Hou2004	ʂ ʅ ⁴²
1581	Meixian	ten	1515	806	ten	十	səp⁵	十	Hou2004	s ə p ⁵
1813	Nanchang	ten	1515	806	ten	十	sɨʔ²	十	Hou2004	s ɨ ʔ ²
2045	Suzhou	ten	1515	806	ten	十	zəʔ³	十	Hou2004	z ə ʔ ³
2277	Wenzhou	ten	1515	806	ten	十	zai²¹³	十	Hou2004	z a i ²¹³
2509	Xiamen	ten	1515	806	ten // ten	十 // 十	tsap⁵ // sip⁵	十 // 十	Hou2004, Hou2004	ts a p ⁵
190	Beijing	that	78	947	that // that // that // that	那個 // 那个 // 那个 // 那	na⁵¹kə⁰ // na⁵¹+kə¹ // nei⁵¹+kə¹ // nɑ⁵¹	那個 // 那个 // 那+一个 // 那	BeijingDaxue1964, Hou2004, Hou2004, Liu2007	n a ⁵¹ k ə ⁰
422	Changsha	that	78	947	that // that // that // that	那個 // 那个 // 那个 // 那	lai⁵⁵ko⁵⁵ // lai⁵⁵+ko⁰ // lai⁵⁵+ʈʂa²⁴ // la⁵⁵	那個 // 那个 // 那只 // 那	BeijingDaxue1964, Hou2004, Hou2004, Liu2007	l a i ⁵⁵ k o ⁵⁵
654	Chengdu	that	78	947	that // that // that	那個 // 那个 // 那	na¹³ko¹³₄₄ // na¹³+ko¹³/⁵⁵ // na²¹³	那個 // 那个 // 那	BeijingDaxue1964, Hou2004, Liu2007	n a ¹³ k o ¹³₄₄
886	Fuzhou	that	78	947	that // that // that // that // that // that	那個 // 那個 // 那个 // 那个 // 那 // 那	xi³¹₄₄zieʔ²³ // xy³¹βiʔ⁴ // hi³²/⁴⁴+jiɛʔ⁰ // hi³²/²¹+βiʔ⁵ // hy³² // huoi⁵³	!  只 // !  □ // 许隻 // 许芘 // 許 // 回	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Liu2007, Liu2007	x i ³¹₄₄ z i e ʔ ²³
1118	Guangzhou	that	78	947	that // that	那個 // 那	kɔ³⁵kɔ³³ // na³³	嗰個 // 那	BeijingDaxue1964, Liu2007	k ɔ ³⁵ k ɔ ³³
1350	Jinan	that	78	947	that // that // that	那個 // 那个 // 那	na²¹kə⁰ // na²¹/⁵⁴⁴+kə⁰ // na³¹	那個 // 那个 // 那	BeijingDaxue1964, Hou2004, Liu2007	n a ²¹ k ə ⁰
1582	Meixian	that	78	947	that // that	那個 // 那	kɛ⁴²kɛ⁴² // ke⁵³	!  個 // 囗	BeijingDaxue1964, Liu2007	k ɛ ⁴² k ɛ ⁴²
1814	Nanchang	that	78	947	that // that // that // that // that	那個 // 那个 // 那个 // 那 // 那	hɛ²⁴kɔ⁰ // he²¹³+ko⁰⁴ // he²¹³+tsɑʔ⁵ // he²¹³ // la²¹³	!  個 // 许个 // 许只 // 許 // 那	BeijingDaxue1964, Hou2004, Hou2004, Liu2007, Liu2007	h ɛ ²⁴ k ɔ ⁰
2046	Suzhou	that	78	947	that // that // that // that // that	那個 // 那個 // 那个 // 那个 // 那	kuɛ⁴⁴kɤʔ⁴₂₁ // uɛ⁴⁴kɤʔ⁴₂₁ // uᴇ⁵⁵+kəʔ⁰ // kuᴇ⁵⁵+kəʔ⁰ // kue̞⁴⁴	歸 個 // !  個 // 弯个 // 关个 // 歸	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Liu2007	k u ɛ ⁴⁴ k ɤ ʔ ⁴₂₁
2278	Wenzhou	that	78	947	that // that // that	那個 // 那个 // 那	hi⁴⁵kai42 // he³⁵+kai⁴²/⁴⁵ // he²⁴	!  個 // 许个 // 許	BeijingDaxue1964, Hou2004, Liu2007	h i ⁴⁵ k a i 42
2510	Xiamen	that	78	947	that // that // that	那個 // 那个 // 那	hit³²₅e²⁴ // hit³²/⁵+e³⁵ // hit³²*/³²	! // 迄个 // 迄	BeijingDaxue1964, Hou2004, Liu2007	h i t ³²₅ e ²⁴
3	Beijing	the ant	587	365	ant	螞蟻	ma²¹⁴₃₅i²¹⁴	螞蟻	BeijingDaxue1964	m a ²¹⁴₃₅ i ²¹⁴
235	Changsha	the ant	587	365	ant	螞蟻	ma⁴¹ȵi⁰	螞蟻	BeijingDaxue1964	m a ⁴¹ ȵ i ⁰
467	Chengdu	the ant	587	365	ant // ant	螞蟻 // 螞蟻	ma⁵³ȵi³¹tsɿ⁵³ // !	螞蟻子 // 螞蟻兒	BeijingDaxue1964, BeijingDaxue1964	m a ⁵³ ȵ i ³¹ ts ɿ ⁵³
699	Fuzhou	the ant	587	365	ant	螞蟻	øyŋ⁵²₃₁ŋie²⁴²	紅蟻	BeijingDaxue1964	ø y ŋ ⁵²₃₁ ŋ i e ²⁴²
931	Guangzhou	the ant	587	365	ant	螞蟻	ŋɐi²³	蟻	BeijingDaxue1964	ŋ ɐ i ²³
1163	Jinan	the ant	587	365	ant // ant	螞蟻 // 螞蟻	i⁵⁵iaŋ⁰ // mi⁵⁵iaŋ⁰	蟻蛘 // 米 蛘	BeijingDaxue1964, BeijingDaxue1964	i ⁵⁵ i a ŋ ⁰
1395	Meixian	the ant	587	365	ant	螞蟻	ŋɛ⁴²	蟻	BeijingDaxue1964	ŋ ɛ ⁴²
1627	Nanchang	the ant	587	365	ant	螞蟻	ma²¹³ȵi⁰	螞蟻	BeijingDaxue1964	m a ²¹³ ȵ i ⁰
1859	Suzhou	the ant	587	365	ant // ant	螞蟻 // 螞蟻	mo²⁴₂₂mi³¹₃₃ // mo²⁴₂₂ȵi²⁴₃₃	螞米 // 螞蟻	BeijingDaxue1964, BeijingDaxue1964	m o ²⁴₂₂ m i ³¹₃₃
2091	Wenzhou	the ant	587	365	ant	螞蟻	fu⁴⁵ŋa²⁴	蜉眼	BeijingDaxue1964	f u ⁴⁵ ŋ a ²⁴
2323	Xiamen	the ant	587	365	ant	螞蟻	kau⁵¹₅₅hia³³	狗蟻	BeijingDaxue1964	k a u ⁵¹₅₅ h i a ³³
4	Beijing	the armpit	1886	92	armpit	夾肢窩	ka⁵⁵tʂʅ⁰uo⁵⁵	胳肢窩	BeijingDaxue1964	k a ⁵⁵ tʂ ʅ ⁰ u o ⁵⁵
236	Changsha	the armpit	1886	92	armpit	夾肢窩	ɕie²⁴la²⁴o³³	脇拉 窩	BeijingDaxue1964	ɕ i e ²⁴ l a ²⁴ o ³³
468	Chengdu	the armpit	1886	92	armpit	夾肢窩	tɕia³¹tsɿ⁴⁴uər⁴⁴	脥肢窩兒	BeijingDaxue1964	tɕ i a ³¹ ts ɿ ⁴⁴ u ə r ⁴⁴
700	Fuzhou	the armpit	1886	92	armpit	夾肢窩	kɔ³¹louʔ⁴a²¹²	骨胳下	BeijingDaxue1964	k ɔ ³¹ l o u ʔ ⁴ a ²¹²
932	Guangzhou	the armpit	1886	92	armpit	夾肢窩	kak³³lɐk⁵tɐi³⁵	!  底	BeijingDaxue1964	k a k ³³ l ɐ k ⁵ t ɐ i ³⁵
1164	Jinan	the armpit	1886	92	armpit	夾肢窩	ka⁴²tʂʅ⁰uə²¹³	胳肢窩	BeijingDaxue1964	k a ⁴² tʂ ʅ ⁰ u ə ²¹³
1396	Meixian	the armpit	1886	92	armpit	夾肢窩	hiap²¹ha⁴⁴	脇下	BeijingDaxue1964	h i a p ²¹ h a ⁴⁴
1628	Nanchang	the armpit	1886	92	armpit	夾肢窩	ɕiɛt⁵kak⁵	脇脥	BeijingDaxue1964	ɕ i ɛ t ⁵ k a k ⁵
1860	Suzhou	the armpit	1886	92	armpit	夾肢窩	kaʔ⁴tsʮ⁴⁴₃₅əu⁴⁴₂₁	胳肢窩	BeijingDaxue1964	k a ʔ ⁴ ts ʮ ⁴⁴₃₅ ə u ⁴⁴₂₁
2092	Wenzhou	the armpit	1886	92	armpit	夾肢窩	la³¹tsa²³ɦo²⁴	攔 紮 下	BeijingDaxue1964	l a ³¹ ts a ²³ ɦ o ²⁴
2324	Xiamen	the armpit	1886	92	armpit	夾肢窩	ko⁵¹e³³₁₁kʰaŋ⁵⁵	果 下控	BeijingDaxue1964	k o ⁵¹ e ³³₁₁ kʰ a ŋ ⁵⁵
6	Beijing	the bamboo	1927	389	bamboo	竹子	tʂu⁵⁵tsɿ⁰	竹子	BeijingDaxue1964	tʂ u ⁵⁵ ts ɿ ⁰
238	Changsha	the bamboo	1927	389	bamboo	竹子	tsəu²⁴tsɿ⁰	竹子	BeijingDaxue1964	ts ə u ²⁴ ts ɿ ⁰
470	Chengdu	the bamboo	1927	389	bamboo	竹子	tsu³¹tsɿ⁵³	竹子	BeijingDaxue1964	ts u ³¹ ts ɿ ⁵³
702	Fuzhou	the bamboo	1927	389	bamboo	竹子	tøyʔ²³	竹	BeijingDaxue1964	t ø y ʔ ²³
934	Guangzhou	the bamboo	1927	389	bamboo	竹子	tʃʊk⁵	竹	BeijingDaxue1964	tʃ ʊ k ⁵
1166	Jinan	the bamboo	1927	389	bamboo	竹子	tʂn²¹³tsɿ⁰	竹子	BeijingDaxue1964	tʂ n ²¹³ ts ɿ ⁰
1398	Meixian	the bamboo	1927	389	bamboo	竹子	tsuk²¹ɛ⁰	! 竹□	BeijingDaxue1964	ts u k ²¹ ɛ ⁰
1630	Nanchang	the bamboo	1927	389	bamboo	竹子	tsuk⁵tsɿ⁰	竹子	BeijingDaxue1964	ts u k ⁵ ts ɿ ⁰
1862	Suzhou	the bamboo	1927	389	bamboo	竹子	tsoʔ⁴dʏ²⁴	竹頭	BeijingDaxue1964	ts o ʔ ⁴ d ʏ ²⁴
2094	Wenzhou	the bamboo	1927	389	bamboo	竹子	tɕiu²³	竹	BeijingDaxue1964	tɕ i u ²³
2326	Xiamen	the bamboo	1927	389	bamboo	竹子	tiʔ⁵a⁵¹	竹仔	BeijingDaxue1964	t i ʔ ⁵ a ⁵¹
8	Beijing	the belly	1251	96	belly	肚子	tu⁵¹+tsʰɿ⁰	肚 子	Liu2007	t u ⁵¹ + tsʰ ɿ ⁰
240	Changsha	the belly	1251	96	belly	肚子	təu⁵⁵+tsɿ⁰	肚 子	Liu2007	t ə u ⁵⁵ + ts ɿ ⁰
472	Chengdu	the belly	1251	96	belly // belly	肚子 // 肚子	tu²¹³+tsɿ⁵³ // tu²¹³+pʰi²¹	肚 子 // 肚 皮	Liu2007, Liu2007	t u ²¹³ + ts ɿ ⁵³
704	Fuzhou	the belly	1251	96	belly	肚子	puʔ³⁵/²⁴*+lo³²	腹 老	Liu2007	p u ʔ ³⁵/²⁴* + l o ³²
936	Guangzhou	the belly	1251	96	belly	肚子	tʰou²³	肚	Liu2007	tʰ o u ²³
1168	Jinan	the belly	1251	96	belly	肚子	tu⁴⁴/³¹+tsɿ⁰	肚 子	Liu2007	t u ⁴⁴/³¹ + ts ɿ ⁰
1400	Meixian	the belly	1251	96	belly	肚子	tu³¹	肚	Liu2007	t u ³¹
1632	Nanchang	the belly	1251	96	belly	肚子	tu²¹³+tsɿ⁰	肚 子	Liu2007	t u ²¹³ + ts ɿ ⁰
1864	Suzhou	the belly	1251	96	belly	肚子	dəu²²/²³¹+bi⁴⁴/¹³	肚 皮	Liu2007	d ə u ²²/²³¹ + b i ⁴⁴/¹³
2096	Wenzhou	the belly	1251	96	belly	肚子	døy²⁴	肚	Liu2007	d ø y ²⁴
2328	Xiamen	the belly	1251	96	belly	肚子	pak⁵/³²*+tɔ⁵³	腹 肚	Liu2007	p a k ⁵/³²* + t ɔ ⁵³
11	Beijing	the bird	937	326	bird	鳥	niɑ˞/ɑu²¹³	鳥	Liu2007	n i ɑ˞/ɑ u ²¹³
243	Changsha	the bird	937	326	bird	鳥	ɲiau⁴¹	鳥	Liu2007	ɲ i a u ⁴¹
475	Chengdu	the bird	937	326	bird // bird	鳥 // 鳥	tɕʰyo⁵⁵/²¹+ə˞/ə⁵⁵ // tɕʰo⁵⁵/²¹+tɕʰo⁵⁵/²¹	雀 // 雀 雀	Liu2007, Liu2007	tɕʰ y o ⁵⁵/²¹ + ə˞/ə ⁵⁵
707	Fuzhou	the bird	937	326	bird	鳥	tsɛu³²	鳥	Liu2007	ts ɛ u ³²
939	Guangzhou	the bird	937	326	bird	鳥	niu²³	鳥	Liu2007	n i u ²³
1171	Jinan	the bird	937	326	bird	鳥	ɲiɔ˞/ɔ⁴⁵	鳥	Liu2007	ɲ i ɔ˞/ɔ ⁴⁵
1403	Meixian	the bird	937	326	bird	鳥	tiau³⁵/³³+ve⁰	鳥	Liu2007	t i a u ³⁵/³³ + v e ⁰
1635	Nanchang	the bird	937	326	bird	鳥	ɲiɛu²¹³	鳥	Liu2007	ɲ i ɛ u ²¹³
1867	Suzhou	the bird	937	326	bird	鳥	tiæ⁵²	鳥	Liu2007	t i æ ⁵²
2099	Wenzhou	the bird	937	326	bird	鳥	tiɛ⁴²/²⁴²+ŋ̍⁰	鳥	Liu2007	t i ɛ ⁴²/²⁴² + ŋ̍ ⁰
2331	Xiamen	the bird	937	326	bird	鳥	tsiau⁵³	鳥	Liu2007	ts i a u ⁵³
14	Beijing	the blood	946	129	blood	血	ɕyɛ²¹³	血	Liu2007	ɕ y ɛ ²¹³
246	Changsha	the blood	946	129	blood	血	ɕie²⁴	血	Liu2007	ɕ i e ²⁴
478	Chengdu	the blood	946	129	blood	血	ɕye²¹	血	Liu2007	ɕ y e ²¹
710	Fuzhou	the blood	946	129	blood	血	haiʔ²⁴*	血	Liu2007	h a i ʔ ²⁴*
942	Guangzhou	the blood	946	129	blood	血	hyt³	血	Liu2007	h y t ³
1174	Jinan	the blood	946	129	blood	血	ɕiə²¹⁴	血	Liu2007	ɕ i ə ²¹⁴
1406	Meixian	the blood	946	129	blood	血	çiat¹	血	Liu2007	ç i a t ¹
1638	Nanchang	the blood	946	129	blood	血	ɕyet⁵	血	Liu2007	ɕ y e t ⁵
1870	Suzhou	the blood	946	129	blood	血	ɕyəʔ⁴	血	Liu2007	ɕ y ə ʔ ⁴
2102	Wenzhou	the blood	946	129	blood	血	ɕy⁴¹	血	Liu2007	ɕ y ⁴¹
2334	Xiamen	the blood	946	129	blood	血	huiʔ³²*/³²	血	Liu2007	h u i ʔ ³²*/³²
16	Beijing	the bone	1394	133	bone	骨頭	ku²¹⁴	骨	Liu2007	k u ²¹⁴
248	Changsha	the bone	1394	133	bone	骨頭	ku²⁴+təu⁰	骨 頭	Liu2007	k u ²⁴ + t ə u ⁰
480	Chengdu	the bone	1394	133	bone	骨頭	ku⁵⁵/²¹+tʰəu⁵⁵/²¹	骨 頭	Liu2007	k u ⁵⁵/²¹ + tʰ ə u ⁵⁵/²¹
712	Fuzhou	the bone	1394	133	bone // bone	骨頭 // 骨頭	kɔuʔ²¹*/²¹ // kɔuʔ²¹*/²⁴*+kɔuʔ²⁴*	骨 // 骨 骨	Liu2007, Liu2007	k ɔ u ʔ ²¹*/²¹
944	Guangzhou	the bone	1394	133	bone	骨頭	kuɐt⁵	骨	Liu2007	k u ɐ t ⁵
1176	Jinan	the bone	1394	133	bone	骨頭	ku²¹/²¹⁴+tʰou⁰	骨 頭	Liu2007	k u ²¹/²¹⁴ + tʰ o u ⁰
1408	Meixian	the bone	1394	133	bone	骨頭	kut¹+tʰeu¹¹	骨 頭	Liu2007	k u t ¹ + tʰ e u ¹¹
1640	Nanchang	the bone	1394	133	bone	骨頭	kuʔ⁵+tʰəu⁰	骨 頭	Liu2007	k u ʔ ⁵ + tʰ ə u ⁰
1872	Suzhou	the bone	1394	133	bone	骨頭	kuəʔ⁴+dʏ²³/¹³	骨 頭	Liu2007	k u ə ʔ ⁴ + d ʏ ²³/¹³
2104	Wenzhou	the bone	1394	133	bone // bone	骨頭 // 骨頭	ky⁴²+dɤu²¹/³⁴¹ // ky⁴¹	骨 頭 // 骨	Liu2007, Liu2007	k y ⁴² + d ɤ u ²¹/³⁴¹
2336	Xiamen	the bone	1394	133	bone	骨頭	kut⁵/³²*+tʰau²⁴	骨 頭	Liu2007	k u t ⁵/³²* + tʰ a u ²⁴
17	Beijing	the breast (female)	1402	94	breasts	乳房	ʐu²¹/²¹⁴+fɑŋ³⁵	乳 房	Liu2007	ʐ u ²¹/²¹⁴ + f ɑ ŋ ³⁵
249	Changsha	the breast (female)	1402	94	breasts // breasts	乳房 // 乳房	y⁴¹+fan¹³ // lai⁴¹+tsɿ⁰	乳 房 // 奶 子	Liu2007, Liu2007	y ⁴¹ + f a n ¹³
481	Chengdu	the breast (female)	1402	94	breasts	乳房	lai⁴⁵+lai⁵⁵	奶 奶	Liu2007	l a i ⁴⁵ + l a i ⁵⁵
713	Fuzhou	the breast (female)	1402	94	breasts	乳房	nɛiŋ⁵³	奶	Liu2007	n ɛ i ŋ ⁵³
945	Guangzhou	the breast (female)	1402	94	breasts	乳房	y²³+fɔŋ²¹	乳 房	Liu2007	y ²³ + f ɔ ŋ ²¹
1177	Jinan	the breast (female)	1402	94	breasts // breasts	乳房 // 乳房	ma²¹/²¹³+ma⁰ // nɛ²¹⁴/⁴⁵+tsɿ⁰	妈 妈 // 奶 子	Liu2007, Liu2007	m a ²¹/²¹³ + m a ⁰
1409	Meixian	the breast (female)	1402	94	breasts	乳房	nen⁵³+ku³³	奶 姑	Liu2007	n e n ⁵³ + k u ³³
1641	Nanchang	the breast (female)	1402	94	breasts	乳房	lai²¹³	奶	Liu2007	l a i ²¹³
1873	Suzhou	the breast (female)	1402	94	breasts	乳房	nɑ²²/¹³+nɑ³¹/¹³	奶 奶	Liu2007	n ɑ ²²/¹³ + n ɑ ³¹/¹³
2105	Wenzhou	the breast (female)	1402	94	breasts	乳房	na²⁴	奶	Liu2007	n a ²⁴
2337	Xiamen	the breast (female)	1402	94	breasts	乳房	niæ²²/⁵³+iã∼⁵³	奶 仔	Liu2007	n i æ ²²/⁵³ + i ã ∼ ⁵³
21	Beijing	the child (young human)	1304	169	*child // child	小孩兒 // 孩子	ɕiau²¹⁴₂₁xair³⁵ // xɛ³⁵	小孩兒 // 孩	BeijingDaxue1964, Liu2007	ɕ i a u ²¹⁴₂₁ x a i r ³⁵
253	Changsha	the child (young human)	1304	169	*child // child // child	小孩兒 // 孩子 // 孩子	ɕi⁵⁵ŋa¹³tsๅ⁰ // xai¹³+tsɿ⁰ // ŋa¹³+sɿ⁵⁵+tsɿ⁰	細伢子 // 孩 子 // 伢 細 子	BeijingDaxue1964, Liu2007, Liu2007	ɕ i ⁵⁵ ŋ a ¹³ ts ๅ ⁰
485	Chengdu	the child (young human)	1304	169	*child // child // child	小孩兒 // 孩子 // 孩子	ɕiau⁵³ua³¹ɚ³¹₄₄ // ua⁵⁵/²¹+ua⁵⁵/²¹ // tsai⁵⁵/⁵³+tsai²¹/⁵³	小娃兒 // 娃 娃 // 崽 崽	BeijingDaxue1964, Liu2007, Liu2007	ɕ i a u ⁵³ u a ³¹ ɚ ³¹₄₄
717	Fuzhou	the child (young human)	1304	169	*child // child // child	小孩兒 // 孩子 // 孩子	nie⁵²₃₁iaŋ³¹，niaŋ³¹ŋɔ⁴⁴k // ha³³/⁵³+i⁵³ // nie²¹/⁵³+iaŋ³⁵/³²+ŋo⁵⁵	伲仔〔哥〕 ， // 孩 // 伲 囝 哥	BeijingDaxue1964, Liu2007, Liu2007	n i e ⁵²₃₁ i a ŋ ³¹ ， n i a ŋ ³¹ ŋ ɔ ⁴⁴ k
949	Guangzhou	the child (young human)	1304	169	*child // *child // child	小孩兒 // 小孩兒 // 孩子	ʃɐi³³lou²³₃₅kɔ⁵³ // ʃʰɐm⁵³mɐn⁵⁵tʃɐi³⁵ // hai²¹	細老哥 // 細蚊仔 // 孩	BeijingDaxue1964, BeijingDaxue1964, Liu2007	ʃ ɐ i ³³ l o u ²³₃₅ k ɔ ⁵³
1181	Jinan	the child (young human)	1304	169	*child // child // child	小孩兒 // 孩子 // 孩子	ɕiɔ⁵⁵xɛr⁴² // xɛ⁴⁵/⁵³+tsɿ⁰ // xa˞/a⁵³	小孩兒 // 孩 子 // 孩	BeijingDaxue1964, Liu2007, Liu2007	ɕ i ɔ ⁵⁵ x ɛ r ⁴²
