ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
2089	Wenzhou	above	1741	731	*top, top side // on // on // on	上面 // 上面 // 上面 // 上面	ɦi¹¹mai¹¹ // ji²²/⁴²+mai²² // ji²²/⁴²+mai²²/²¹+dɤu³¹/²¹ // ji²²/⁴²+tɕy³⁵	上面 // 上面 // 上面头 // 上转	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	ɦ i ¹¹ m a i ¹¹
2321	Xiamen	above	1741	731	*top, top side // *top, top side // on // on	上面 // 上面 // 上面 // 上面	tiŋ⁵¹₅₅bin³³ // tiŋ⁵¹₅₅tʰau²⁴ // tiŋ⁵³/⁵⁵+tʰau⁰ // tiŋ⁵³/⁵⁵+bin²²	頂面 // 頂頭 // 顶头 // 顶面	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004	t i ŋ ⁵¹₅₅ b i n ³³
2	Beijing	all	98	962	all // all // all	都 // 都 // 全部	tou⁵⁵ // tɕʰyan³⁵ // tɕʰyɛn³⁵+pu⁵¹	都 // 全 // 全 部	BeijingDaxue1964, BeijingDaxue1964, Liu2007	t o u ⁵⁵
234	Changsha	all	98	962	all // all	都 // 全部	xa²¹ // tɕʰyẽ∼¹³+pu¹¹	! // 全 部	BeijingDaxue1964, Liu2007	x a ²¹
466	Chengdu	all	98	962	all // all	都 // 全部	təu⁴⁴ // tɕʰyan⁵⁵/²¹+pu²¹/²¹³	都 // 全 部	BeijingDaxue1964, Liu2007	t ə u ⁴⁴
698	Fuzhou	all	98	962	all // all	都 // 全部	tu⁴⁴ // ko²¹/²¹²+louŋ²¹/⁵³+ŋa²⁴²	都 // 個 郎 下	BeijingDaxue1964, Liu2007	t u ⁴⁴
930	Guangzhou	all	98	962	all // all	都 // 全部	ʃai³³ // tsʰyn²¹+pou²²	曬 // 全 部	BeijingDaxue1964, Liu2007	ʃ a i ³³
1162	Jinan	all	98	962	all // all	都 // 全部	tou²¹³ // tɕʰyæ̃∼⁵³+pu³¹	都 // 全 部	BeijingDaxue1964, Liu2007	t o u ²¹³
1394	Meixian	all	98	962	all // all	都 // 全部	tu⁴⁴ // tɕʰien¹¹+pʰu⁵³	都 // 全 部	BeijingDaxue1964, Liu2007	t u ⁴⁴
1626	Nanchang	all	98	962	all // all	都 // 全部	tu⁴² // tɕʰyon²⁴+pu⁰	都 // 全 部	BeijingDaxue1964, Liu2007	t u ⁴²
