ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	ALT_IPA	ALT_GLOSS	ALT_SOURCE	ALT_CHARS	ALT_CHINESE_GLOSS	IPA	HANZI	SOURCE	TOKENS	COGIDS
984	Jinan	above	1741	731	*top, top side	上邊兒	ʂaŋ²¹/⁵⁴⁴+tʰou⁰ / ʂaŋ²¹+piɛr⁰ / tiŋ⁵⁵/²¹³+ʂaŋ⁰	on / on / on	Hou2004 / Hou2004 / Hou2004	上头 / 上边 / 顶上	上面 / 上面 / 上面	ʂaŋ²¹pɛr⁰	上邊兒	BeijingDaxue1964	ʂ a ŋ ²¹ p ɛ r ⁰	1 759 760
1178	Meixian	above	1741	731	*top, top side	上背	soŋ⁵³/⁵⁵+poi⁵³	on	Hou2004	上背	上面	sɔŋ⁴²pɔi⁴²	上背	BeijingDaxue1964	s ɔ ŋ ⁴² p ɔ i ⁴²	1 800
1367	Nanchang	above	1741	731	*top, top side	上頭	sɔŋ²¹+tʰɛu⁰² / kɑu⁴²+tʰɛu⁰²	on / on	Hou2004 / Hou2004	上头 / 高头	上面 / 上面	sɔŋ³¹tʰɛu²⁴	上頭	BeijingDaxue1964	s ɔ ŋ ³¹ tʰ ɛ u ²⁴	1 2
1368	Nanchang	above	1741	731	*top, top side	! 上□						sɔŋ³¹tit⁵	! 上□	BeijingDaxue1964	s ɔ ŋ ³¹ t i t ⁵	878 1 0
1560	Suzhou	above	1741	731	*top, top side	上頭	zã∼³¹/¹³+dʏ⁰	on	Hou2004	上头	上面	zɒŋ³¹₂₂dʏ²⁴₃₃	上頭	BeijingDaxue1964	z ɒ ŋ ³¹₂₂ d ʏ ²⁴₃₃	1 2
1773	Wenzhou	above	1741	731	*top, top side	上面	ji²²/⁴²+mai²² / ji²²/⁴²+mai²²/²¹+dɤu³¹/²¹ / ji²²/⁴²+tɕy³⁵	on / on / on	Hou2004 / Hou2004 / Hou2004	上面 / 上面头 / 上转	上面 / 上面 / 上面	ɦi¹¹mai¹¹	上面	BeijingDaxue1964	ɦ i ¹¹ m a i ¹¹	1 983
1959	Xiamen	above	1741	731	*top, top side	頂面	tiŋ⁵³/⁵⁵+tʰau⁰ / tiŋ⁵³/⁵⁵+bin²²	on / on	Hou2004 / Hou2004	顶头 / 顶面	上面 / 上面	tiŋ⁵¹₅₅bin³³	頂面	BeijingDaxue1964	t i ŋ ⁵¹₅₅ b i n ³³	499 983
1960	Xiamen	above	1741	731	*top, top side	頂頭						tiŋ⁵¹₅₅tʰau²⁴	頂頭	BeijingDaxue1964	t i ŋ ⁵¹₅₅ tʰ a u ²⁴	499 2
2	Beijing	all	98	962	all	都	tɕʰyɛn³⁵+pu⁵¹	all	Liu2007	全 部	全部	tou⁵⁵	都	BeijingDaxue1964	t o u ⁵⁵	3
3	Beijing	all	98	962	all	全						tɕʰyan³⁵	全	BeijingDaxue1964	tɕʰ y a n ³⁵	4
203	Changsha	all	98	962	all	!	tɕʰyẽ∼¹³+pu¹¹	all	Liu2007	全 部	全部	xa²¹	!	BeijingDaxue1964	x a ²¹	
390	Chengdu	all	98	962	all	都	tɕʰyan⁵⁵/²¹+pu²¹/²¹³	all	Liu2007	全 部	全部	təu⁴⁴	都	BeijingDaxue1964	t ə u ⁴⁴	3
580	Fuzhou	all	98	962	all	都	ko²¹/²¹²+louŋ²¹/⁵³+ŋa²⁴²	all	Liu2007	個 郎 下	全部	tu⁴⁴	都	BeijingDaxue1964	t u ⁴⁴	3
785	Guangzhou	all	98	962	all	曬	tsʰyn²¹+pou²²	all	Liu2007	全 部	全部	ʃai³³	曬	BeijingDaxue1964	ʃ a i ³³	663
985	Jinan	all	98	962	all	都	tɕʰyæ̃∼⁵³+pu³¹	all	Liu2007	全 部	全部	tou²¹³	都	BeijingDaxue1964	t o u ²¹³	3
1179	Meixian	all	98	962	all	都	tɕʰien¹¹+pʰu⁵³	all	Liu2007	全 部	全部	tu⁴⁴	都	BeijingDaxue1964	t u ⁴⁴	3
1369	Nanchang	all	98	962	all	都	tɕʰyon²⁴+pu⁰	all	Liu2007	全 部	全部	tu⁴²	都	BeijingDaxue1964	t u ⁴²	3
1561	Suzhou	all	98	962	all	才	ziɪ¹³+bu²¹/²³¹	all	Liu2007	全 部	全部	zɛ²⁴	才	BeijingDaxue1964	z ɛ ²⁴	899
1774	Wenzhou	all	98	962	all	惡	jy²⁴/³⁴¹+bu²²/²⁴	all	Liu2007	全 部	全部	o²³	惡	BeijingDaxue1964	o ²³	984
1961	Xiamen	all	98	962	all	攏	tsuan²²/²⁴+pɔ²²	all	Liu2007	全 部	全部	lɔŋ⁵¹₅₅	攏	BeijingDaxue1964	l ɔ ŋ ⁵¹₅₅	1058
6	Beijing	bad	1292	1053	bad	壞	xai⁵¹	bad	Liu2007	壞	壞	xuai⁵¹	壞	BeijingDaxue1964	x u a i ⁵¹	10
7	Beijing	bad	1292	1053	bad	賴						lai⁵¹	賴	BeijingDaxue1964	l a i ⁵¹	11
206	Changsha	bad	1292	1053	bad	壞	fai¹¹ / kuai⁴¹	bad / bad	Liu2007 / Liu2007	壞 / 拐	壞 / 壞	fai²¹	壞	BeijingDaxue1964	f a i ²¹	10
394	Chengdu	bad	1292	1053	bad	壞	xuai²¹³	bad	Liu2007	壞	壞	xuai¹³	壞	BeijingDaxue1964	x u a i ¹³	10
583	Fuzhou	bad	1292	1053	bad	! □	pʰai³² / ŋai⁵³	bad / bad	Liu2007 / Liu2007	痞 / 呆	壞 / 壞	pʰai³¹	! □	BeijingDaxue1964	pʰ a i ³¹	503 0
584	Fuzhou	bad	1292	1053	bad	!						ŋai⁵²	!	BeijingDaxue1964	ŋ a i ⁵²	
788	Guangzhou	bad	1292	1053	bad	壞	uai²²	bad	Liu2007	壞	壞	wai²²	壞	BeijingDaxue1964	w a i ²²	10
989	Jinan	bad	1292	1053	bad	壞	xuɛ³¹	bad	Liu2007	壞	壞	xuɛ²¹	壞	BeijingDaxue1964	x u ɛ ²¹	10
990	Jinan	bad	1292	1053	bad	孬						nɔ²¹³	孬	BeijingDaxue1964	n ɔ ²¹³	764
1182	Meixian	bad	1292	1053	bad	壞	fai⁵³ / pe³¹	bad / bad	Liu2007 / Liu2007	壞 / 鄙	壞 / 壞	fai⁴²	壞	BeijingDaxue1964	f a i ⁴²	10
1372	Nanchang	bad	1292	1053	bad	壞	fai²¹	bad	Liu2007	壞	壞	fai³¹	壞	BeijingDaxue1964	f a i ³¹	10
1565	Suzhou	bad	1292	1053	bad	壞	tɕʰiʏ⁴⁴ / uɑ⁴¹²	bad / bad	Liu2007 / Liu2007	恘 / 壞	壞 / 壞	uɒ⁵¹³	壞	BeijingDaxue1964	u ɒ ⁵¹³	10
1566	Suzhou	bad	1292	1053	bad	! □						tɕʰiʏ⁴⁴	! □	BeijingDaxue1964	tɕʰ i ʏ ⁴⁴	503 0
1777	Wenzhou	bad	1292	1053	bad	毛	mə³⁴¹	bad	Liu2007	毛	壞	mɜ³¹	毛	BeijingDaxue1964	m ɜ ³¹	989
1964	Xiamen	bad	1292	1053	bad	! □	pʰai⁵³	bad	Liu2007	否	壞	pʰãĩ∼⁵¹	! □	BeijingDaxue1964	pʰ ã ĩ ∼ ⁵¹	503 0
1965	Xiamen	bad	1292	1053	bad							mãĩ∼⁵¹		BeijingDaxue1964	m ã ĩ ∼ ⁵¹	
10	Beijing	below, under	1485	732	*under, below	底下	ɕia⁵¹+tʰou¹ / ɕia⁵¹+piar¹	under / under	Hou2004 / Hou2004	下头 / 下边	下面 / 下面	ti²¹⁴₂₁ɕia⁰	底下	BeijingDaxue1964	t i ²¹⁴₂₁ ɕ i a ⁰	15 16
11	Beijing	below, under	1485	732	*under, below	下頭						ɕia⁵¹tʰou⁰	下頭	BeijingDaxue1964	ɕ i a ⁵¹ tʰ o u ⁰	16 17
209	Changsha	below, under	1485	732	*under, below	下頭	ɕia¹¹+miẽ∼⁰ / tɕio²⁴+xa¹¹ / ti⁴¹+xa¹¹ / ɕia¹¹+təu⁰	under / under / under / under	Hou2004 / Hou2004 / Hou2004 / Hou2004	下面 / 脚下 / 底下 / 下头	下面 / 下面 / 下面 / 下面	xa²¹təu⁰	下頭	BeijingDaxue1964	x a ²¹ t ə u ⁰	16 17
397	Chengdu	below, under	1485	732	*under, below	底下	ɕia¹³+tʰəu³¹/⁵⁵ / ɕia¹³+pian⁵⁵ / ɕia¹³+mian¹³ / ti⁵³+ɕia¹³	under / under / under / under	Hou2004 / Hou2004 / Hou2004 / Hou2004	下头 / 下边 / 下面 / 底下	下面 / 下面 / 下面 / 下面	ti⁵³ɕia¹³₃₁	底下	BeijingDaxue1964	t i ⁵³ ɕ i a ¹³₃₁	15 16
398	Chengdu	below, under	1485	732	*under, below	下頭						ɕia¹³tʰəu³¹	下頭	BeijingDaxue1964	ɕ i a ¹³ tʰ ə u ³¹	16 17
587	Fuzhou	below, under	1485	732	*under, below	下底	a²⁴²/³²+lɛ³²	under	Hou2004	下底	下面	a²⁴²₃₁lɛ³¹	下底	BeijingDaxue1964	a ²⁴²₃₁ l ɛ ³¹	16 15
791	Guangzhou	below, under	1485	732	*under, below	下便	ha²²+pin²² / ha²²+tɐi⁵⁵	under / under	Hou2004 / Hou2004	下便 / 下低	下面 / 下面	ha²²pin²²	下便	BeijingDaxue1964	h a ²² p i n ²²	16 666
993	Jinan	below, under	1485	732	*under, below	下邊兒	ɕia²¹/⁵⁴⁴+tʰou⁰ / ɕia²¹+piɛr⁰ / ti⁵⁵/²¹³+ɕia⁰	under / under / under	Hou2004 / Hou2004 / Hou2004	下头 / 下边 / 底下	下面 / 下面 / 下面	ɕia²¹pɛr⁰	下邊兒	BeijingDaxue1964	ɕ i a ²¹ p ɛ r ⁰	16 765 766
1185	Meixian	below, under	1485	732	*under, below	下背	ha⁴⁴/³⁵+poi⁵³	under	Hou2004	下背	下面	ha²⁴pɔi⁴²	下背	BeijingDaxue1964	h a ²⁴ p ɔ i ⁴²	16 802
1375	Nanchang	below, under	1485	732	*under, below	下頭	hɑ²¹+tʰɛu⁰² / tiʔ⁵+kɑ²¹	under / under	Hou2004 / Hou2004	下头 / 底下	下面 / 下面	ha³¹tʰɛu²⁴	下頭	BeijingDaxue1964	h a ³¹ tʰ ɛ u ²⁴	16 17
1376	Nanchang	below, under	1485	732	*under, below	! 下□						ha³¹tit⁵	! 下□	BeijingDaxue1964	h a ³¹ t i t ⁵	879 16 0
1569	Suzhou	below, under	1485	732	*under, below	下頭	ɦo³¹/¹³+dʏ⁰	under	Hou2004	下头	下面	ɦo³¹₂₂dʏ²⁴₃₃	下頭	BeijingDaxue1964	ɦ o ³¹₂₂ d ʏ ²⁴₃₃	16 17
1780	Wenzhou	below, under	1485	732	*under, below	下面	ɦo³⁵/⁴²+mai²² / ɦo³⁵/⁴²+mai²²/²¹+dɤu³¹/²¹ / ɦo³⁵/⁴²+tɕy³⁵	under / under / under	Hou2004 / Hou2004 / Hou2004	下面 / 下面头 / 下转	下面 / 下面 / 下面	ho²⁴mai¹¹	下面	BeijingDaxue1964	h o ²⁴ m a i ¹¹	16 990
1968	Xiamen	below, under	1485	732	*under, below	下骹	e²²/²¹+tue⁰ / e²²/²¹+bin²²	under / under	Hou2004 / Hou2004	下底 / 下面	下面 / 下面	e³³₁₁kʰa⁴⁴	下骹	BeijingDaxue1964	e ³³₁₁ kʰ a ⁴⁴	16 1063
1969	Xiamen	below, under	1485	732	*under, below	下面						e³³₁₁bin³³	下面	BeijingDaxue1964	e ³³₁₁ b i n ³³	16 990
1970	Xiamen	below, under	1485	732	*under, below	下底						e³³₁₁tue⁵¹	下底	BeijingDaxue1964	e ³³₁₁ t u e ⁵¹	16 15
12	Beijing	big	1202	964	big	大	tɑ⁵¹	big	Liu2007	大	大	ta⁵¹	大	BeijingDaxue1964	t a ⁵¹	18
210	Changsha	big	1202	964	big	大	tai¹¹	big	Liu2007	大	大	tai²¹	大	BeijingDaxue1964	t a i ²¹	18
399	Chengdu	big	1202	964	big	大	ta²¹³	big	Liu2007	大	大	ta¹³	大	BeijingDaxue1964	t a ¹³	18
588	Fuzhou	big	1202	964	big	大	tuai²⁴²	big	Liu2007	大	大	tuai²⁴²	大	BeijingDaxue1964	t u a i ²⁴²	18
792	Guangzhou	big	1202	964	big	大	tai²²	big	Liu2007	大	大	tai²²	大	BeijingDaxue1964	t a i ²²	18
994	Jinan	big	1202	964	big	大	ta³¹	big	Liu2007	大	大	ta²¹	大	BeijingDaxue1964	t a ²¹	18
1186	Meixian	big	1202	964	big	大	tʰai⁵³	big	Liu2007	大	大	tʰai⁴²	大	BeijingDaxue1964	tʰ a i ⁴²	18
1377	Nanchang	big	1202	964	big	大	tʰai²¹	big	Liu2007	大	大	tʰai³¹	大	BeijingDaxue1964	tʰ a i ³¹	18
1570	Suzhou	big	1202	964	big	大	dəu²³¹	big	Liu2007	大	大	dəu³¹	大	BeijingDaxue1964	d ə u ³¹	18
1781	Wenzhou	big	1202	964	big	大	dɤu²²	big	Liu2007	大	大	du¹¹	大	BeijingDaxue1964	d u ¹¹	18
1971	Xiamen	big	1202	964	big	大	tua²²	big	Liu2007	大	大	tua³³	大	BeijingDaxue1964	t u a ³³	18
14	Beijing	black	163	1005	black	黑	xei⁵⁵	black	Liu2007	黑	黑	xei⁵⁵	黑	BeijingDaxue1964	x e i ⁵⁵	20
212	Changsha	black	163	1005	black	黑	xə²⁴	black	Liu2007	黑	黑	xə²⁴	黑	BeijingDaxue1964	x ə ²⁴	20
401	Chengdu	black	163	1005	black	黑	xe²¹	black	Liu2007	黑	黑	xe³¹	黑	BeijingDaxue1964	x e ³¹	20
590	Fuzhou	black	163	1005	black	烏	u⁵⁵	black	Liu2007	烏	黑	u⁴⁴	烏	BeijingDaxue1964	u ⁴⁴	504
794	Guangzhou	black	163	1005	black	黑	hɐk³	black	Liu2007	黑	黑	hɐk⁵	黑	BeijingDaxue1964	h ɐ k ⁵	20
996	Jinan	black	163	1005	black	黑	xei²¹⁴	black	Liu2007	黑	黑	xei²¹³	黑	BeijingDaxue1964	x e i ²¹³	20
1188	Meixian	black	163	1005	black	烏	het¹	black	Liu2007	黑	黑	vu⁴⁴	烏	BeijingDaxue1964	v u ⁴⁴	504
1379	Nanchang	black	163	1005	black	黑	hɛt⁵	black	Liu2007	黑	黑	hɛt⁵	黑	BeijingDaxue1964	h ɛ t ⁵	20
1380	Nanchang	black	163	1005	black	烏						u⁴²	烏	BeijingDaxue1964	u ⁴²	504
1572	Suzhou	black	163	1005	black	黑	həʔ⁴	black	Liu2007	黑	黑	hɤʔ⁴	黑	BeijingDaxue1964	h ɤ ʔ ⁴	20
1783	Wenzhou	black	163	1005	black	黑	he⁴¹	black	Liu2007	黑	黑	hɛ²³	黑	BeijingDaxue1964	h ɛ ²³	20
1973	Xiamen	black	163	1005	black	烏	ɔ⁵⁵	black	Liu2007	烏	黑	ɔ⁵⁵	烏	BeijingDaxue1964	ɔ ⁵⁵	504
19	Beijing	cold (of temperature)	1287	1063	cold	冷	ləŋ²¹⁴ / ləŋ²¹⁴	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	ləŋ²¹⁴	冷	BeijingDaxue1964	l ə ŋ ²¹⁴	29
217	Changsha	cold (of temperature)	1287	1063	cold	冷	lən⁴¹ / lən⁴¹	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	lən⁴¹	冷	BeijingDaxue1964	l ə n ⁴¹	29
406	Chengdu	cold (of temperature)	1287	1063	cold	冷	nən⁵³ / nən⁵³	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	nən⁵³	冷	BeijingDaxue1964	n ə n ⁵³	29
595	Fuzhou	cold (of temperature)	1287	1063	cold	寒	tsʰɛiŋ²¹² / kaŋ⁵³ / tɔyŋ²¹² / tsʰiŋ²¹²	cold / cold / cold / cold	Hou2004 / Liu2007 / Liu2007 / Liu2007	清 / 寒 / 凍 / 凊	冷 / 冷 / 冷 / 冷	kaŋ⁵²	寒	BeijingDaxue1964	k a ŋ ⁵²	514
596	Fuzhou	cold (of temperature)	1287	1063	cold	凍						tøyŋ²¹³	凍	BeijingDaxue1964	t ø y ŋ ²¹³	515
801	Guangzhou	cold (of temperature)	1287	1063	cold	冷	toŋ³³ / laŋ²³	cold / cold	Hou2004 / Liu2007	冻 / 冷	冷 / 冷	laŋ²³	冷	BeijingDaxue1964	l a ŋ ²³	29
802	Guangzhou	cold (of temperature)	1287	1063	cold	凍						tʊŋ³³	凍	BeijingDaxue1964	t ʊ ŋ ³³	515
1001	Jinan	cold (of temperature)	1287	1063	cold	冷	ləŋ⁵⁵ / ləŋ⁴⁵	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	ləŋ⁵⁵	冷	BeijingDaxue1964	l ə ŋ ⁵⁵	29
1194	Meixian	cold (of temperature)	1287	1063	cold	冷	hon¹¹ / laŋ³³	cold / cold	Hou2004 / Liu2007	寒 / 冷	冷 / 冷	laŋ⁴⁴	冷	BeijingDaxue1964	l a ŋ ⁴⁴	29
1386	Nanchang	cold (of temperature)	1287	1063	cold	冷	lɑŋ²¹³ / laŋ²¹³	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	laŋ²¹³	冷	BeijingDaxue1964	l a ŋ ²¹³	29
1579	Suzhou	cold (of temperature)	1287	1063	cold	冷	lã∼³¹ / in⁵¹³ / la²³¹	cold / cold / cold	Hou2004 / Hou2004 / Liu2007	冷 / 瀴 / 冷	冷 / 冷 / 冷	laŋ³¹	冷	BeijingDaxue1964	l a ŋ ³¹	29
1788	Wenzhou	cold (of temperature)	1287	1063	cold	冷	liɛ³⁵ / liɛ²⁴²	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	liɛ²⁴	冷	BeijingDaxue1964	l i ɛ ²⁴	29
1978	Xiamen	cold (of temperature)	1287	1063	cold	寒	kuã∼³⁵ / liŋ⁵³ / liŋ⁵³ / tsʰin²¹ / kuã∼²⁴	cold / cold / cold / cold / cold	Hou2004 / Hou2004 / Liu2007 / Liu2007 / Liu2007	寒 / 冷 / 冷 / 凊 / 寒	冷 / 冷 / 冷 / 冷 / 冷	kũã∼²⁴	寒	BeijingDaxue1964	k ũ ã ∼ ²⁴	514
1979	Xiamen	cold (of temperature)	1287	1063	cold	冷						liŋ⁵¹	冷	BeijingDaxue1964	l i ŋ ⁵¹	29
21	Beijing	dark	706	1013	dark	黑						xei⁵⁵	黑	BeijingDaxue1964	x e i ⁵⁵	31
219	Changsha	dark	706	1013	dark	暗						ŋan⁵⁵	暗	BeijingDaxue1964	ŋ a n ⁵⁵	351
408	Chengdu	dark	706	1013	dark	黑						xe³¹	黑	BeijingDaxue1964	x e ³¹	31
598	Fuzhou	dark	706	1013	dark	暗						aŋ²¹³	暗	BeijingDaxue1964	a ŋ ²¹³	351
804	Guangzhou	dark	706	1013	dark	黑						hɐk⁵	黑	BeijingDaxue1964	h ɐ k ⁵	31
1003	Jinan	dark	706	1013	dark	黑						xei²¹³	黑	BeijingDaxue1964	x e i ²¹³	31
1004	Jinan	dark	706	1013	dark	暗						ŋæ̃∼²¹	暗	BeijingDaxue1964	ŋ æ̃ ∼ ²¹	351
1196	Meixian	dark	706	1013	dark	暗						am⁴²	暗	BeijingDaxue1964	a m ⁴²	351
1389	Nanchang	dark	706	1013	dark	暗						ŋɔn⁵⁵	暗	BeijingDaxue1964	ŋ ɔ n ⁵⁵	351
1581	Suzhou	dark	706	1013	dark	暗						ø⁵¹³	暗	BeijingDaxue1964	ø ⁵¹³	351
1582	Suzhou	dark	706	1013	dark	黑						hɤʔ⁴	黑	BeijingDaxue1964	h ɤ ʔ ⁴	31
1790	Wenzhou	dark	706	1013	dark	暗						ø¹²	暗	BeijingDaxue1964	ø ¹²	351
1982	Xiamen	dark	706	1013	dark	暗						am¹¹	暗	BeijingDaxue1964	a m ¹¹	351
28	Beijing	dirty	1230	1086	*dirty	髒	tsɑŋ⁵⁵ / tsɑŋ⁵⁵	dirty / dirty	Hou2004 / Liu2007	脏 / 脏	脏 / 髒	tsaŋ⁵⁵	髒	BeijingDaxue1964	ts a ŋ ⁵⁵	44
224	Changsha	dirty	1230	1086	*dirty	邋遢	la²⁴+tʰa²⁴ / la⁴¹+fu¹³ / tsan³³ / la²⁴+tʰa²⁴	dirty / dirty / dirty / dirty	Hou2004 / Hou2004 / Liu2007 / Liu2007	邋遢 / 邋糊 / 脏 / 邋 遢	脏 / 脏 / 髒 / 髒	la²⁴tʰa⁰	邋遢	BeijingDaxue1964	l a ²⁴ tʰ a ⁰	354 355
412	Chengdu	dirty	1230	1086	*dirty	齷齪	tsaŋ⁵⁵ / ɕi⁵⁵+tsaŋ⁵⁵ / o³¹+tsʰo³¹ / na³¹+tʰa³¹ / ua⁵⁵+nian³¹ / tsaŋ⁴⁵ / la⁵⁵/²¹+tʰa²¹ / nəu⁵⁵/²¹+səu⁵⁵	dirty / dirty / dirty / dirty / dirty / dirty / dirty / dirty	Hou2004 / Hou2004 / Hou2004 / Hou2004 / Hou2004 / Liu2007 / Liu2007 / Liu2007	脏 / 稀脏 / 龌龊 / 邋遢 / 哇连 / 脏 / 邋 遢 / 蒌 馊	脏 / 脏 / 脏 / 脏 / 脏 / 髒 / 髒 / 髒	o³¹tsʰo³¹₄₄	齷齪	BeijingDaxue1964	o ³¹ tsʰ o ³¹₄₄	444 445
413	Chengdu	dirty	1230	1086	*dirty	〔稀〕髒						tsaŋ⁴⁴	〔稀〕髒	BeijingDaxue1964	ts a ŋ ⁴⁴	446 447 448 44
603	Fuzhou	dirty	1230	1086	*dirty	!	la⁴⁴+a⁴⁴ / la⁵⁵+tsʰa⁵⁵ / ouʔ⁵+tsʰuoʔ²⁴*	dirty / dirty / dirty	Hou2004 / Liu2007 / Liu2007	垃渣 / 拉 渣 / 歯屋 歯足	脏 / 髒 / 髒	na⁴⁴zia⁴⁴	!	BeijingDaxue1964	n a ⁴⁴ z i a ⁴⁴	
604	Fuzhou	dirty	1230	1086	*dirty	穢						ei²⁴²	穢	BeijingDaxue1964	e i ²⁴²	520
808	Guangzhou	dirty	1230	1086	*dirty	汚糟	wu⁵⁵+tsou⁵³ / lat²+tʰat³ / u⁵⁵+tsou⁵³	dirty / dirty / dirty	Hou2004 / Hou2004 / Liu2007	污糟 / 邋遢 / 汚 糟	脏 / 脏 / 髒	wu⁵³tʃou⁵³	汚糟	BeijingDaxue1964	w u ⁵³ tʃ o u ⁵³	672 673
