# Wordlist

# META
@tree:(((((Beijing,Shenyang),Jinan),Xian),((((Changsha,Nanchang),((((((Chaozhou,Xiamen),Fuzhou),Meixian),(Guangzhou,Yangjiang)),Wenzhou),Suzhou)),(Hefei,Yangzhou)),Kunming)),Chengdu);

# DATA
ID	DOCULECT	CONCEPT	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE	GLOSS_IN_SOURCE	COGID	ALIGNMENT
16281	Yangjiang	above	上高	ʃiɛŋ⁴⁵⁴kou³³	471	ʃiɛŋ⁴⁵⁴kou³³	ʃ i ɛ ŋ ⁴⁵⁴ k o u ³³		top, top side // top	108	ʃ i ɛ ŋ ⁴⁵⁴ k o u ³³
16283	Xiamen	above	頂頭	[2] tiŋ⁵¹₅₅tʰau²⁴	471	tiŋ⁵¹₅₅tʰau²⁴	t i ŋ ⁵¹₅₅ tʰ a u ²⁴	[2]	top, top side // top	1062	t i ŋ ⁵¹₅₅ tʰ a u ²⁴
16284	Chaozhou	above	頂畔	teŋ⁵³₂₁₃põĩ⁵⁵	471	teŋ⁵³₂₁₃põĩ⁵⁵	t e ŋ ⁵³₂₁₃ p õ ĩ ∼ ⁵⁵		top, top side // top	1060	t e ŋ ⁵³₂₁₃ p õ ĩ ∼ ⁵⁵
16285	Fuzhou	above	懸頂	kɛ³¹(keiŋ⁵²)leiŋ³¹(t-)	471	kɛ³¹leiŋ³¹	k ɛ ³¹ l e i ŋ ³¹		top, top side // top	451	k ɛ ³¹ l e i ŋ ³¹
16263	Beijing	above	上頭	ʂaŋ⁵¹tʰou⁰	471	ʂaŋ⁵¹tʰou⁰	ʂ a ŋ ⁵¹ tʰ o u ⁰		top, top side // top	106	ʂ a ŋ ⁵¹ tʰ o u ⁰
16264	Jinan	above	上邊兒	ʂaŋ²¹pɛr⁰	471	ʂaŋ²¹pɛr⁰	ʂ a ŋ ²¹ p ɛ r ⁰		top, top side // top	104	ʂ a ŋ ²¹ p ɛ r ⁰
16265	Shenyang	above	上面	saŋ⁴¹mian⁰	471	saŋ⁴¹mian⁰	s a ŋ ⁴¹ m i a n ⁰		top, top side // top	105	s a ŋ ⁴¹ m i a n ⁰
16266	Xian	above	上頭	ʂɑŋ⁴⁵tʰou⁰	471	ʂɑŋ⁴⁵tʰou⁰	ʂ ɑ ŋ ⁴⁵ tʰ o u ⁰		top, top side // top	106	ʂ ɑ ŋ ⁴⁵ tʰ o u ⁰
16267	Chengdu	above	高頭	kau⁴⁴tʰəu³¹	471	kau⁴⁴tʰəu³¹	k a u ⁴⁴ tʰ ə u ³¹		top, top side // top	1101	k a u ⁴⁴ tʰ ə u ³¹
16268	Chengdu	above	上頭	[2] saŋ¹³tʰəu³¹	471	saŋ¹³tʰəu³¹	s a ŋ ¹³ tʰ ə u ³¹	[2]	top, top side // top	106	s a ŋ ¹³ tʰ ə u ³¹
