CONCEPT	CONCEPT_IN_SOURCE	ENTRY_IN_SOURCE	IPA	TOKENS	NOTE	Zhao2006, 84
to hit	打（人）			Zhao, 185:2
to hunt	打猎			Zhao, 185:2
to kill	杀			Zhao, 185:2
to know	知道			Zhao2006, 186:2
to laugh	笑			Zhao, 185:2
to lie	躺			Zhao, 185:2
to live	活的			Zhao2006, 185:1
to play	玩耍			Zhao, 185:2
to pull	拉			Zhao, 185:2
to pull	牵	?			Zhao2006, 185:3
to push	推			Zhao, 185:2
to say	说			Zhao, 185:2
to scratch	抓	?			Zhao, 185:2
to sea	看见			Zhao, 185:2
to sew	缝			Zhao2006, 185:3
to sing	唱			Zhao, 185:2
to sit	坐			Zhao, 185:2
to sleep	睡			Zhao, 185:2
to smell	闻（嗅）			Zhao, 185:2
to spit	吐（痰）			Zhao, 185:2
to split	撕	?	Zhao, 185:2
to split	裂开			Zhao, 185:2
to squeeze	压			Zhao, 185:2
to stab	刺			Zhao2006, 184:3
to stand	站			Zhao, 185:2
to suck	吮			Zhao, 185:2
to swell	肿			Zhao2006, 185:1
to swim	游水			Zhao2006, 185:3
to take	拿			Zhao2006, 185:3
to think	想			Zhao2006, 186:2
to throw	扔			Zhao, 185:2
to tie	捆（麦子）	tie			Zhao2006, 185:3
to turn	转（身）			Zhao, 185:2
to vomit	呕吐			Zhao, 185:2
to wash	洗（衣）			Zhao2006, 185:3
to wipe	擦（桌子）			Zhao, 185:2
the tong	舌头			Zhao2006, 184:1
the tooth	牙齿			Zhao2006, 184:1
the tooth	犬牙			Zhao2006, 184:1
two	二			Zhao2006, 184:3
warm	热	Chinese character means "hot".			Zhao2006, 185:1
the water	水			Zhao2006, 184:1
we	我们			Zhao2006, 185:3
wet	湿			Zhao2006, 185:1
what	什么			Zhao2006, 185:3
where	哪里			Zhao2006, 185:3
the whife	妻子			Zhao2006, 184:2
white	白			Zhao2006, 185:1
who	谁			Zhao2006, 184:2
wide	宽			Zhao2006, 185:1
the wind	风			Zhao2006, 184:1
the wing	翅膀			Zhao2006, 184:3
the woman	妇女			Zhao2006, 184:2
the worm	虫			Zhao2006, 184:2
the year	年			Zhao2006, 185:3
yellow	黄			Zhao2006, 185:1
young	小			Zhao2006, 185:1
