# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
54	bad (things)	Wang2006a	quE43	?	?	Enqi	quɛ₄₃	bad	1053	CVT
55	bad (things)	Wang2006a	quɛ42	?	?	Ega	quɛ₄₂	bad	1053	CVT
56	bad (things)	Wang2006a	que42	?	?	Jinman	que₄₂	bad	1053	CVT
57	bad (things)	Wang2006a	kua44	?	?	Jinxing	kua₄₄	bad	1053	CVT
58	bad (things)	Wang2006a	kue42	?	?	Dashi	kue₄₂	bad	1053	CVT
59	bad (things)	Wang2006a	kuɛ44	?	?	Mazhelong	kuɛ₄₄	bad	1053	CVT
60	bad	Allen2007	xe44	?	坏	Jianchuan	xe₄₄	bad	417	CVT
61	bad	Allen2007	xe44	?	坏	Eryuan	xe₄₄	bad	417	CVT
62	bad	Allen2007	xe33	?	坏	Heqi	xe₃₃	bad	417	CVT
63	bad	Allen2007	xe44	?	坏	Lanping	xe₄₄	bad	417	CVT
64	bad	Allen2007	xe44	?	坏	Qiliqiao	xe₄₄	bad	417	CVT
65	bad	Allen2007	xɛ33	?	坏	Yunlong	xɛ₃₃	bad	417	CVT
66	bad	Allen2007	xɛ44	?	坏	Xiangyun	xɛ₄₄	bad	417	CVT
67	bad	Allen2007	ʈʰɯ33	?	坏	Luobenzhuo	ʈʰɯ₃₃	bad	417	CVT
#
68	bamboo	Wang2006a	tʂv42	?	?	Tuoluo	t͡ʂɤ₄₂	bamboo	389	CVT
69	bamboo	Wang2006a	tsao24	?	?	Gongxing	t͡sao₂₄	bamboo	389	CVT
70	bamboo	Wang2006a	tɕo55	?	?	Enqi	t͡ɕo₅₅	bamboo	389	CVT
71	bamboo	Wang2006a	tɕu44	?	?	Ega	t͡ɕu₄₄	bamboo	389	CVT
72	bamboo	Wang2006a	tɕu55	?	?	Jinman	t͡ɕu₅₅	bamboo	389	CVT
73	bamboo	Wang2006a	tsv44	?	?	Jinxing	t͡sɤ₄₄	bamboo	389	CVT
74	bamboo	Wang2006a	tʂo33	?	?	Dashi	t͡ʂo₃₃	bamboo	389	CVT
75	bamboo	Wang2006a	tsv44	?	?	Zhoucheng	t͡sɤ₄₄	bamboo	389	CVT
76	bamboo	Wang2006a	tsu44	?	?	Mazhelong	t͡su₄₄	bamboo	389	CVT
77	bamboo	Allen2007	tsɤ44	?	竹子	Jianchuan	t͡sɤ₄₄	bamboo	92	CVT
78	bamboo	Allen2007	tʂɤ44	?	竹子	Eryuan	t͡ʂɤ₄₄	bamboo	92	CVT
79	bamboo	Allen2007	tsuɔ44	?	竹子	Heqi	t͡suɔ₄₄	bamboo	92	CVT
80	bamboo	Allen2007	tsao55tsɯ33	?	竹子	Lanping	t͡sao₅₅t͡sɯ₃₃	bamboo	92	CVTCVT
81	bamboo	Allen2007	tsɤ44	?	竹子	Qiliqiao	t͡sɤ₄₄	bamboo	92	CVT
82	bamboo	Allen2007	tsɤ44	?	竹子	Yunlong	t͡sɤ₄₄	bamboo	92	CVT
83	bamboo	Allen2007	tsɛ44	?	竹子	Xiangyun	t͡sɛ₄₄	bamboo	92	CVT
84	bamboo	Allen2007	tɕo55ɖɯ31	?	竹子	Luobenzhuo	t͡ɕo₅₅ɖɯ₃₁	bamboo	92	CVTCVT
#
85	to bark	Wang2006a	ʐo42	verb	?	Tuoluo	ʐo₄₂	bark	1438	CVT
86	to bark	Wang2006a	dʑua21	verb	?	Gongxing	d͡ʑua₂₁	bark	1438	CVT
87	to bark	Wang2006a	pia21	verb	?	Enqi	pia₂₁	bark	1438	CVT
88	to bark	Wang2006a	tɕya21	verb	?	Ega	t͡ɕya₂₁	bark	1438	CVT
89	to bark	Wang2006a	tɕua53	verb	?	Jinman	t͡ɕua₅₃	bark	1438	CVT
90	to bark	Wang2006a	pio42	verb	?	Jinxing	pio₄₂	bark	1438	CVT
91	to bark	Wang2006a	pia42	verb	?	Dashi	pia₄₂	bark	1438	CVT
92	to bark	Wang2006a	pia42	verb	?	Zhoucheng	pia₄₂	bark	1438	CVT
93	to bark	Wang2006a	pʰia42	verb	?	Mazhelong	pʰia₄₂	bark	1438	CVT
94	bark(of dog)	Allen2007	pia42	verb	吠	Jianchuan	pia₄₂	bark	382	CVT
95	bark(of dog)	Allen2007	pia42	verb	吠	Eryuan	pia₄₂	bark	382	CVT
96	bark(of dog)	Allen2007	pia42	verb	吠	Heqi	pia₄₂	bark	382	CVT
97	bark(of dog)	Allen2007	pia42	verb	吠	Lanping	pia₄₂	bark	382	CVT
98	bark(of dog)	Allen2007	pia42	verb	吠	Qiliqiao	pia₄₂	bark	382	CVT
99	bark(of dog)	Allen2007	pia42	verb	吠	Yunlong	pia₄₂	bark	382	CVT
100	bark(of dog)	Allen2007	pia42	verb	吠	Xiangyun	pia₄₂	bark	382	CVT
101	bark(of dog)	Allen2007	ʧua44	verb	吠	Luobenzhuo	ʧua₄₄	bark	382	CVT
#
102	barley	Wang2006a	zɔ35	?	?	Tuoluo	zɔ₃₅	barley	411	CVT
103	barley	Wang2006a	zao12	?	?	Gongxing	zao₁₂	barley	411	CVT
104	barley	Wang2006a	zo43	?	?	Enqi	zo₄₃	barley	411	CVT
105	barley	Wang2006a	zo21	?	?	Ega	zo₂₁	barley	411	CVT
106	barley	Wang2006a	zao21	?	?	Jinman	zao₂₁	barley	411	CVT
107	barley	Wang2006a	sou21	?	?	Jinxing	sou₂₁	barley	411	CVT
108	barley	Wang2006a	zau21	?	?	Dashi	zau₂₁	barley	411	CVT
109	barley	Wang2006a	zo21	?	?	Zhoucheng	zo₂₁	barley	411	CVT
110	barley	Wang2006a	zo21	?	?	Mazhelong	zo₂₁	barley	411	CVT
111	barley	Allen2007	me55sou21	?	大麦	Jianchuan	me₅₅sou₂₁	barley	95	CVTCVT
112	barley	Allen2007	mi35zɔ21	?	大麦	Eryuan	mi₃₅zɔ₂₁	barley	95	CVTCVT
113	barley	Allen2007	mi55zɔu31	?	大麦	Heqi	mi₅₅zɔu₃₁	barley	95	CVTCVT
114	barley	Allen2007	me55ʐao21	?	大麦	Lanping	me₅₅ʐao₂₁	barley	95	CVTCVT
115	barley	Allen2007	mi35sɔ21	?	大麦	Qiliqiao	mi₃₅sɔ₂₁	barley	95	CVTCVT
116	barley	Allen2007	mi35zɔ21	?	大麦	Yunlong	mi₃₅zɔ₂₁	barley	95	CVTCVT
117	barley	Allen2007	mi35zo21	?	大麦	Xiangyun	mi₃₅zo₂₁	barley	95	CVTCVT
118	barley	Allen2007	mɯ̃55ʐao31	?	大麦	Luobenzhuo	mɯ̃₅₅ʐao₃₁	barley	95	CVTCVT
#
119	bed	Wang2006a	dioŋ35	?	?	Tuoluo	dioŋ₃₅	bed	526	CVcT
120	bed	Wang2006a	dzoŋ12	?	?	Gongxing	d͡zoŋ₁₂	bed	526	CVcT
121	bed	Wang2006a	tio21	?	?	Enqi	tio₂₁	bed	526	CVT
