OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	dzə̀r	1	立
6052	fly	jmbjə̀m	1	飛
6003	see	vdè	1	睹
6005	lie	jə̀v	6	臥
6054	walk	ftɕʰì	6	行
6031	yellow	ʁrɲə̀ɣ	1	黃
6059	give	bə̀	1	畀
6032	green	rŋə̀	1	青
6004	know	χpjǽ	6	知
6023	kill	sʰɑ́	1	殺
6056	come	vjì	1	來
6075	say	rǽ	9	曰
400	bird	jmbjə́mpɑ	7	鳥
6022	sit	rjè	6	坐
6050	swim	jdə́ndʑa	1	泳
6041	star	zgrə̀	1	星
6040	full	fsǽ	1	滿
411	blood	sʰə̀	1	血
2124	leaf	rpʰalá	1	葉
1149393	that	ætə̀	9	彼
1173416	all	pá	0	凡
3100	person	vjú	7	人
4165	woman	məlé	1	女
4118	water	jdə̀	3	水
3269	root	srə́m	1	根
623	cloud	zdə̀m	1	雲
6248	two	jnǽ	1	二
1299599	burn	vlò	9	焚
6245	die	sʰæ̀r	1	死
828575	claw	0	0	爪
6244	one	rɑ́ɣ	1	一
3258	path	tɕhì	2	路
333730				
2300	flesh	srù	5	肌
1333710	red	mnə̀ɣ	6	赤
6397	man	zì	9	男
3361	seed	rvə́	1	種
332000	mouth	mtɕʰə̀	0	口
3305	sand	0	0	沙
1341728	black	ɲá	1	黑
5437	big	qʰrɑ́	7	大
5491	what	tʰje	1	何
1460	fish	ʁdojú	1	魚
1446	fire	ʁmə̀	1	火
3451	smoke	mkʰə́	1	煙
5458	this	cə	1	是
5471	nose	snæ̀	1	鼻
5439	bark	dzǽv	6	-
5423	many	jáχtsə	0	多
340828	egg	stʰɑ́ɣ	6	卵
5459	you	nú	1	汝
5440	tongue	sɲí	3	舌
5450	I	ŋó	1	吾
5486	night	ɕɥǽr	1	夜
5476	liver	fsé	1	肝
5481	earth	sʰɑ́	0	土
446278	hair	rmə̀	1	毛
5484	new	çsǽrpɑ	0	新
443659	good	tsʰà	8	好
5490	who	sʰə̀	1	孰
5495	not	mə	1	無
5455	we	ŋgə́ɟi	8	我
5475	heart	sjɑ́r	5	心
5485	hot	skì	1	熱
5468	tail	rŋɑmɑ̀	0	尾
5438	long	srǽi	1	長
5436	feather	spʰjǽv	6	羽
3430	skin	dʑə́dʑɑ	1	皮
2421	mountain	pʰɑ́	7	山
5511	eye	mɑ́ɣ	1	目
5509	small	lŋá	2	小
5516	belly	jdù	1	肚
6519	sleep	sŋə̀	4	寢
5527	head	ʁú	1	首
5510	ear	ɲù	1	耳
5523	rain	mə̀	1	雨
264	ash	χpʰjí	7	灰
5616	hand	jɑ́ɣ	1	手
5639	cold	rkʰò	6	寒
966	dog	kətɑ́	1	犬
5624	grease	0	0	脂
5672	foot	gɑ́v	7	足
3633	stone	rgəmé	6	石
5729	moon	snɑɣlì	1	月
3854	tree	sǽpʰó	1	木
5850	sun	jnə̀	2	日
5825	white	phrə̀m	1	白
5823	neck	fkə̀	1	頸
5827	eat	dzì	1	食
5946	tooth	ɕɣì	1	牙
5980	louse	srə́	1	蝨
5993	bite	rcʰɑ́	6	噬
5989	dry	zbì	8	乾
5983	bone	ɕʰarə́	1	骨
5981	horn	rə́	1	角
5991	drink	tʰè	1	飲
5992	breasts	nənə̀	1	乳
5995	name	rmè	1	名
5918	knee	rpʰəlá	9	膝
5984	round	χtə́m	1	圓
5999	hear	smé	2	聞
