OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
1460	ɴ̣₃₅	ɴ̣ ₃₅	328	Allen2007, 69	fish / 鱼	ɴ̣35	ɴ̣ ₃₅
1341728	xɯ₅₅	x ɯ ₅₅	60	Allen2007, 410	black / 黑	xɯ55	x ɯ ₅₅
6056	ʧʰua₅₅	ʧʰ u a ₅₅	141	Allen2007, 363	come / 来	ʧʰua55	ʧʰ u a ₅₅
6010	xæ̃₃₅ʐæ₄₂	x æ̃ ₃₅ ʐ æ ₄₂	872	Allen2007, 333	play / 玩耍	xæ̃35ʐæ42	x æ̃ ₃₅ ʐ æ ₄₂
623	mɯ̃₃₁kao₄₂	m ɯ̃ ₃₁ k a o ₄₂	132	Allen2007, 5	cloud / 云	mɯ̃31kao42	m ɯ̃ ₃₁ k a o ₄₂
6248	kɤ₃₃	k ɤ ₃₃	1324	Allen2007, 451	two / 二	kɤ33	k ɤ ₃₃
6003	tɯ₅₅	t ɯ ₅₅	983	Allen2007, 256	see / 见	tɯ55	t ɯ ₅₅
5481	nɛ₃₃pʰa₅₅	n ɛ ₃₃ pʰ a ₅₅	1094	Allen2007, 21	soil / 土	nɛ33pʰa55	n ɛ ₃₃ pʰ a ₅₅
1375415	pʰɯ₄₄	pʰ ɯ ₄₄	76	Allen2007, 266	blow / 吹	pʰɯ44	pʰ ɯ ₄₄
6054	ja₅₅	j a ₅₅	1353	Allen2007, 281	walk / 走	ja55	j a ₅₅
8061	ma₃₁	m a ₃₁	121	Allen2007, 301	buy / 买	ma31	m a ₃₁
6685	ʔa₄₄pao₅₅	ʔ a ₄₄ p a o ₅₅	511	Allen2007, 460	one hundred / 一百	ʔa44pao55	ʔ a ₄₄ p a o ₅₅
7005	ʧua₄₄	ʧ u a ₄₄	254	Allen2007, 457	eight / 八	ʧua44	ʧ u a ₄₄
5823	qo₄₄ʈɛ₅₅	q o ₄₄ ʈ ɛ ₅₅	777	Allen2007, 134	neck / 脖子	qo44ʈɛ55	q - o ₄₄ ʈ ɛ ₅₅
5527	ʈʊ₃₃pao₃₁	ʈ ʊ ₃₃ p a o ₃₁	434	Allen2007, 124	head / 头	ʈʊ33pao31	ʈ - ʊ - ₃₃ p a o ₃₁
5993	ɴã₅₅	ɴ ã ₅₅	59	Allen2007, 262	bite / 咬	ɴã55	ɴ ã ₅₅
6043	ɕa₅₅	ɕ a ₅₅	154	Allen2007, 294	cut,reap / 割	ɕa55	ɕ a ₅₅
5511	mi₃₃	m i ₃₃	274	Allen2007, 127	eye / 眼	mi33	m i ₃₃
1487	χu₅₅	χ u ₅₅	337	Allen2007, 118	flower / 花	χu55	χ u ₅₅
2124	ʂɛ₄₄	ʂ ɛ ₄₄	580	Allen2007, 116	leaf / 叶	ʂɛ44	ʂ ɛ ₄₄
