# Wordlist

# DATA
ID	GFN	CONCEPT	LGID	RGEN	STEDT_GLOSS	REFLEX	DOCULECT	SRCID	SRCABBR
80380	pron	I [first person singular]	1848	392720	I	ŋæ	Tibetan (Alike)	0928.05	TBL
47708	pron	I [first person singular]	1830	392748	I	ŋo³¹	Leqi (Luxi)	0928.33	TBL
15851	pron	I [first person singular]	1812	392732	I	ŋɛ³⁵	Xumi	0928.17	TBL
15852	pron	I [first person singular]	1812	392768	I	ŋa⁵⁵	Xumi	0928.17	TBL
81944	pron	I [first person singular]	1849	392765	I	je³¹	Karen	0928.50	TBL
49410	pron	I [first person singular]	1831	392749	I	ŋa³³	Nusu (Central)	0928.34	TBL
17732	pron	I [first person singular]	1813	392733	I	æ⁵³	Lyuzu	0928.18	TBL
17733	pron	I [first person singular]	1813	392769	I	a³³duo⁵³	Lyuzu	0928.18	TBL
3015	pron	I [first person singular]	1805	392725	I	ie⁵⁵	Pumi (Jiulong)	0928.10	TBL
51243	pron	I [first person singular]	1832	392750	I	ŋɑ³³	Yi (Xide)	0928.35	TBL
19572	pron	I [first person singular]	1814	392734	I	ŋai³³	Jingpho	0928.19	TBL
85337	pron	I [first person singular]	1851	392722	I	dʑaŋ	Motuo Menba	0928.07	TBL
87042	pron	I [first person singular]	1852	392723	I	qɑ	Qiang (Mawo)	0928.08	TBL
21560	pron	I [first person singular]	1815	392717	I	ŋa¹³	Tibetan (Lhasa)	0928.02	TBL
55092	pron	I [first person singular]	1834	392752	I	ŋo³³	Yi (Nanhua)	0928.37	TBL
88967	pron	I [first person singular]	1853	392724	I	ɛ⁵⁵	Pumi (Lanping)	0928.09	TBL
23577	pron	I [first person singular]	1816	392735	I	ŋɑ⁵³	Dulong	0928.20	TBL
56940	pron	I [first person singular]	1835	392753	I	ŋu¹¹	Yi (Wuding)	0928.38	TBL
53199	pron	I [first person singular]	1833	392751	I	ŋɑ⁵⁵	Yi (Weishan)	0928.36	TBL
25397	pron	I [first person singular]	1817	392736	I	ŋɑ⁵⁵	Nung	0928.21	TBL
31652	pron	I [first person singular]	1821	392740	I	ŋɑ³⁵	Yidu	0928.25	TBL
58866	pron	I [first person singular]	1836	392754	I	ŋɒ³³	Yi (Sani)	0928.39	TBL
26873	pron	I [first person singular]	1818	392737	I	xɑŋ³⁵	Darang [Taraon]	0928.22	TBL
60691	pron	I [first person singular]	1837	392719	I	ŋa	Tibetan (Xiahe)	0928.04	TBL
28301	pron	I [first person singular]	1819	392738	I	ki⁵³	Kaman [Miju]	0928.23	TBL
62459	pron	I [first person singular]	1838	392755	I	ŋuɑ³³	Lisu	0928.40	TBL
29799	pron	I [first person singular]	1820	392739	I	ŋoː	Bokar	0928.24	TBL
64290	pron	I [first person singular]	1839	392756	I	ŋa⁵⁵	Hani (Lüchun)	0928.41	TBL
#
32854	prep	above	1822	382672	over / above	ɑ¹thɑk⁴	Burmese (Written)	0731.26	TBL
65899	prep	above	1840	382688	over / above	a³¹tha³³fɔ³³	Hani (Mojiang)	0731.42	TBL
85133	prep	above	1851	382653	over / above	ga ten	Motuo Menba	0731.07	TBL
848	prep	above	1804	382647	over / above	jan tɕhad	Tibetan (Written)	0731.01	TBL
67704	prep	above	1841	382689	over / above	ɔ³¹nɑ³³phɔ⁵³lo³³	Lahu (Lancang)	0731.43	TBL
71379	prep	above	1843	382691	over / above	gə²¹to⁵⁵	Naxi	0731.45	TBL
2816	prep	above	1805	382656	over / above	*	Pumi (Jiulong)	0731.10	TBL
36629	prep	above	1824	382674	over / above	a³¹lum³¹	Achang (Longchuan)	0731.28	TBL
69533	prep	above	1842	382690	over / above	tha³³la³³	Jinuo	0731.44	TBL
4467	prep	above	1806	382657	over / above	wu prɐi	rGyalrong (Maerkang)	0731.11	TBL
38406	prep	above	1825	382675	over / above	*	Achang (Xiandao)	0731.29	TBL
6385	prep	above	1807	382658	over / above	rə nkhvɛ	Daofu	0731.12	TBL
40138	prep	above	1826	382649	over / above	ja¹³tɕøʔ⁵³	Tibetan (Batang)	0731.03	TBL
73208	prep	above	1844	382692	over / above	læ³³kæ³¹	Namuyi	0731.46	TBL
8311	prep	above	1808	382659	over / above	je¹³ntɕhə⁵⁵	Queyu (Xinlong)	0731.13	TBL
42049	prep	above	1827	382676	over / above	thoʔ⁵⁵mai²¹	Atsi [Zaiwa]	0731.30	TBL
75029	prep	above	1845	382693	over / above	*	Gazhuo	0731.47	TBL
10146	prep	above	1809	382660	over / above	ʌ¹³tʂhɿ³³	Zhaba (Daofu County)	0731.14	TBL
43907	prep	above	1828	382677	over / above	thɔʔ⁵⁵mɛ³¹	Langsu (Luxi)	0731.31	TBL
76737	prep	above	1846	382694	over / above	mə⁵⁵tõ³³	Bai (Jianchuan)	0731.48	TBL
34749	prep	above	1823	382673	over / above	ɑ⁵³thɛʔ	Burmese (Rangoon)	0731.27	TBL
12074	prep	above	1810	382661	over / above	jɐ̃³³tɕhø⁵³	Muya	0731.15	TBL
12075	prep	above	1810	382698	over / above	tə³³to²⁴	Muya	0731.15	TBL
45689	prep	above	1829	382678	over / above	a³¹thaʔ⁵⁵	Bola (Luxi)	0731.32	TBL
78674	prep	above	1847	382695	over / above	*	Tujia	0731.49	TBL
13989	prep	above	1811	382662	over / above	*	Guiqiong	0731.16	TBL
47508	prep	above	1830	382679	over / above	*	Leqi (Luxi)	0731.33	TBL
15654	prep	above	1812	382663	over / above	dʑi³³lɛ³³tʂõ⁵⁵	Xumi	0731.17	TBL
81746	prep	above	1849	382696	over / above	*	Karen	0731.50	TBL
49211	prep	above	1831	382680	over / above	*	Nusu (Central)	0731.34	TBL
17530	prep	above	1813	382664	over / above	de³³le⁵⁵ɣɯʴ³³tɕi³¹	Lyuzu	0731.18	TBL
83304	prep	above	1850	382652	over / above	*	Cuona Menba	0731.06	TBL
19368	prep	above	1814	382665	over / above	n³¹tsa̱³³	Jingpho	0731.19	TBL
51037	prep	above	1832	382681	over / above	tshɿ³³hɑ³³	Yi (Xide)	0731.35	TBL
51038	prep	above	1832	382699	over / above	khɯ²¹hɑ³³	Yi (Xide)	0731.35	TBL
52999	prep	above	1833	382682	over / above	m̩²¹ɕi⁵⁵	Yi (Weishan)	0731.36	TBL
86837	prep	above	1852	382654	over / above	məχ	Qiang (Mawo)	0731.08	TBL
21349	prep	above	1815	382648	over / above	jɛ̃¹³tɕhɛ⁵²	Tibetan (Lhasa)	0731.02	TBL
21350	prep	above	1815	382697	over / above	khoŋ¹³la	Tibetan (Lhasa)	0731.02	TBL
54892	prep	above	1834	382683	over / above	tɕɑ̱³³ɑ²¹ʂɿ²¹	Yi (Nanhua)	0731.37	TBL
80178	prep	above	1848	382651	over / above	*	Tibetan (Alike)	0731.05	TBL
88768	prep	above	1853	382655	over / above	to⁵⁵ni¹³	Pumi (Lanping)	0731.09	TBL
23374	prep	above	1816	382666	over / above	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	Dulong	0731.20	TBL
56738	prep	above	1835	382684	over / above	thɑ̱⁵⁵dɑ̱²	Yi (Wuding)	0731.38	TBL
25199	prep	above	1817	382667	over / above	*	Nung	0731.21	TBL
58667	prep	above	1836	382685	over / above	æ⁵⁵qe⁵⁵	Yi (Sani)	0731.39	TBL
26676	prep	above	1818	382668	over / above	*	Darang [Taraon]	0731.22	TBL
60494	prep	above	1837	382650	over / above	jan tɕhar	Tibetan (Xiahe)	0731.04	TBL
28101	prep	above	1819	382669	over / above	*	Kaman [Miju]	0731.23	TBL
62259	prep	above	1838	382686	over / above	gɑ̱³¹si̱³³	Lisu	0731.40	TBL
29599	prep	above	1820	382670	over / above	jan dap	Bokar	0731.24	TBL
64091	prep	above	1839	382687	over / above	la³¹ȵi⁵⁵	Hani (Lüchun)	0731.41	TBL
31454	prep	above	1821	382671	over / above	*	Yidu	0731.25	TBL
#
33092	num	all	1822	394550	all / everything	hmɑn²tθɑ¹hmjɑ¹	Burmese (Written)	0962.26	TBL
66133	num	all	1840	394566	all / everything	*	Hani (Mojiang)	0962.42	TBL
1093	num	all	1804	394525	all / everything	mthaɦ dag	Tibetan (Written)	0962.01	TBL
1094	num	all	1804	394575	all / everything	thams tɕad	Tibetan (Written)	0962.01	TBL
14224	num	all	1811	394540	all / everything	*	Guiqiong	0962.16	TBL
34989	num	all	1823	394551	all / everything	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	Burmese (Rangoon)	0962.27	TBL
67935	num	all	1841	394567	all / everything	qhɑ³³ pɤ-e¹¹	Lahu (Lancang)	0962.43	TBL
3050	num	all	1805	394534	all / everything	*	Pumi (Jiulong)	0962.10	TBL
36861	num	all	1824	394552	all / everything	pʐa⁵⁵pʐa⁵⁵	Achang (Longchuan)	0962.28	TBL
69764	num	all	1842	394568	all / everything	ta³¹pu⁵⁵	Jinuo	0962.44	TBL
4702	num	all	1806	394535	all / everything	kə tʃᴇt	rGyalrong (Maerkang)	0962.11	TBL
38643	num	all	1825	394553	all / everything	chot⁵⁵	Achang (Xiandao)	0962.29	TBL
71624	num	all	1843	394569	all / everything	dɯ³³xə³³	Naxi	0962.45	TBL
6622	num	all	1807	394536	all / everything	thəm tɕɛ	Daofu	0962.12	TBL
40376	num	all	1826	394527	all / everything	jø¹³tshɛʔ⁵³	Tibetan (Batang)	0962.03	TBL
8552	num	all	1808	394537	all / everything	tə⁵⁵ɬye⁵⁵	Queyu (Xinlong)	0962.13	TBL
42297	num	all	1827	394554	all / everything	lu̱ŋ⁵⁵la̱ŋ⁵⁵	Atsi [Zaiwa]	0962.30	TBL
75261	num	all	1845	394571	all / everything	*	Gazhuo	0962.47	TBL
10394	num	all	1809	394538	all / everything	jo³³dzo⁵⁵	Zhaba (Daofu County)	0962.14	TBL
44140	num	all	1828	394555	all / everything	pəŋ³¹ʃɔʔ⁵⁵	Langsu (Luxi)	0962.31	TBL
76994	num	all	1846	394572	all / everything	tsɑ³⁵ka⁴²tsɿ³³	Bai (Jianchuan)	0962.48	TBL
12331	num	all	1810	394539	all / everything	me³³me⁵⁵	Muya	0962.15	TBL
45928	num	all	1829	394556	all / everything	a³¹la̱p⁵⁵	Bola (Luxi)	0962.32	TBL
78905	num	all	1847	394573	all / everything	*	Tujia	0962.49	TBL
73443	num	all	1844	394570	all / everything	a³³ka³³mu⁵⁵	Namuyi	0962.46	TBL
80414	num	all	1848	394529	all / everything	tshaŋ mæ	Tibetan (Alike)	0962.05	TBL
47743	num	all	1830	394557	all / everything	pan³¹ʃɔ̱ʔ⁵⁵	Leqi (Luxi)	0962.33	TBL
29842	num	all	1820	394548	all / everything	kə baŋ	Bokar	0962.24	TBL
81978	num	all	1849	394574	all / everything	khɛ̱⁵⁵lø̱³¹	Karen	0962.50	TBL
49446	num	all	1831	394558	all / everything	tshɯ⁵⁵	Nusu (Central)	0962.34	TBL
17769	num	all	1813	394542	all / everything	*	Lyuzu	0962.18	TBL
83535	num	all	1850	394530	all / everything	ka³⁵ne⁵³ tshaŋ⁵⁵ma⁵³	Cuona Menba	0962.06	TBL
51279	num	all	1832	394559	all / everything	ʑi²¹χɑ⁵⁵	Yi (Xide)	0962.35	TBL
19606	num	all	1814	394543	all / everything	ŋa³¹mă⁵⁵ŋa⁵¹	Jingpho	0962.19	TBL
85379	num	all	1851	394531	all / everything	tham tɕeʔ	Motuo Menba	0962.07	TBL
53233	num	all	1833	394560	all / everything	ʑi⁵⁵sɑ⁵⁵	Yi (Weishan)	0962.36	TBL
87083	num	all	1852	394532	all / everything	ji tɕhɛ	Qiang (Mawo)	0962.08	TBL
21598	num	all	1815	394526	all / everything	tshaŋ⁵⁵ma⁵⁵	Tibetan (Lhasa)	0962.02	TBL
21599	num	all	1815	394576	all / everything	kaŋ¹³ka⁵⁵	Tibetan (Lhasa)	0962.02	TBL
55127	num	all	1834	394561	all / everything	ŋ²¹ɕɑ³³	Yi (Nanhua)	0962.37	TBL
89002	num	all	1853	394533	all / everything	i¹³xa⁵⁵	Pumi (Lanping)	0962.09	TBL
23612	num	all	1816	394544	all / everything	sɯ³¹nɑʔ⁵⁵	Dulong	0962.20	TBL
56974	num	all	1835	394562	all / everything	khu¹¹dʐɒ³³mu³³	Yi (Wuding)	0962.38	TBL
25431	num	all	1817	394545	all / everything	*	Nung	0962.21	TBL
58901	num	all	1836	394563	all / everything	ɪ⁵⁵dzɤ³³	Yi (Sani)	0962.39	TBL
26907	num	all	1818	394546	all / everything	*	Darang [Taraon]	0962.22	TBL
60726	num	all	1837	394528	all / everything	ha no	Tibetan (Xiahe)	0962.04	TBL
28335	num	all	1819	394547	all / everything	*	Kaman [Miju]	0962.23	TBL
62493	num	all	1838	394564	all / everything	hɑ̃³³ŋɑ̱³³ mɑ̱³³	Lisu	0962.40	TBL
15887	num	all	1812	394541	all / everything	nõ³³thi⁵⁵	Xumi	0962.17	TBL
64325	num	all	1839	394565	all / everything	*	Hani (Lüchun)	0962.41	TBL
31688	num	all	1821	394549	all / everything	*	Yidu	0962.25	TBL
#
33189		bad	1822	399198	bad	sho³	Burmese (Written)	1053.26	TBL
33190		bad	1822	399230	bad	ȵɑṁ¹	Burmese (Written)	1053.26	TBL
66232		bad	1840	399214	bad	ʒv̩³³pa³³	Hani (Mojiang)	1053.42	TBL
1191		bad	1804	399173	bad	ŋan pa	Tibetan (Written)	1053.01	TBL
35086		bad	1823	399199	bad	sho⁵⁵	Burmese (Rangoon)	1053.27	TBL
35087		bad	1823	399231	bad	ȵɑ̃⁵³	Burmese (Rangoon)	1053.27	TBL
68026		bad	1841	399215	bad	lu³¹	Lahu (Lancang)	1053.43	TBL
3147		bad	1805	399182	bad	dʐɿ¹¹dʐɑ⁵⁵	Pumi (Jiulong)	1053.10	TBL
36952		bad	1824	399200	bad	tɕa⁵⁵	Achang (Longchuan)	1053.28	TBL
69856		bad	1842	399216	bad	mə³³mɯ⁴⁴	Jinuo	1053.44	TBL
4796		bad	1806	399183	bad	mɑ kə snɑ	rGyalrong (Maerkang)	1053.11	TBL
38732		bad	1825	399201	bad	n³¹cɛ⁵⁵	Achang (Xiandao)	1053.29	TBL
71718		bad	1843	399217	bad	khuɑ²¹	Naxi	1053.45	TBL
6752		bad	1807	399227	bad	gɛ qhə mɛ	Daofu	1053.12	TBL
40475		bad	1826	399175	bad	du⁵⁵pᴜ⁵³	Tibetan (Batang)	1053.03	TBL
40476		bad	1826	399224	bad	ɕɑu⁵⁵dɛʔ⁵³	Tibetan (Batang)	1053.03	TBL
6751		bad	1807	399184	bad	qhə mɛ	Daofu	1053.12	TBL
73537		bad	1844	399218	bad	mæ⁵³næ̱³¹	Namuyi	1053.46	TBL
8646		bad	1808	399185	bad	qa⁵⁵stsue⁵⁵	Queyu (Xinlong)	1053.13	TBL
42392		bad	1827	399202	bad	then²¹	Atsi [Zaiwa]	1053.30	TBL
75343		bad	1845	399219	bad	ma³¹na³⁵	Gazhuo	1053.47	TBL
83627		bad	1850	399178	bad	tuk³⁵po⁵³	Cuona Menba	1053.06	TBL
10490		bad	1809	399186	bad	ʂtʂu⁵⁵tʂu³³	Zhaba (Daofu County)	1053.14	TBL
44225		bad	1828	399203	bad	kɔi³⁵	Langsu (Luxi)	1053.31	TBL
77090		bad	1846	399220	bad	xe̱³³	Bai (Jianchuan)	1053.48	TBL
77091		bad	1846	399233	bad	kua̱²¹	Bai (Jianchuan)	1053.48	TBL
12427		bad	1810	399187	bad	tsho⁵⁵βə⁵³	Muya	1053.15	TBL
49536		bad	1831	399206	bad	ma⁵⁵ge³³	Nusu (Central)	1053.34	TBL
51384		bad	1832	399207	bad	ɑ²¹vɑ⁵⁵	Yi (Xide)	1053.35	TBL
51385		bad	1832	399232	bad	di³³	Yi (Xide)	1053.35	TBL
78980		bad	1847	399221	bad	tie³⁵kha⁵⁵la⁵⁵	Tujia	1053.49	TBL
46021		bad	1829	399204	bad	a³¹kai⁵⁵	Bola (Luxi)	1053.32	TBL
14314		bad	1811	399188	bad	me³⁵ge³⁵wu⁵⁵	Guiqiong	1053.16	TBL
80494		bad	1848	399177	bad	ŋan bæ	Tibetan (Alike)	1053.05	TBL
47824		bad	1830	399205	bad	pjɔːʔ³¹	Leqi (Luxi)	1053.33	TBL
15981		bad	1812	399189	bad	dza³⁵	Xumi	1053.17	TBL
15982		bad	1812	399228	bad (things)	pa³³tʂɿ⁵⁵	Xumi	1053.17	TBL
82056		bad	1849	399222	bad	da³¹ɣe³³	Karen	1053.50	TBL
17856		bad	1813	399190	bad	mæ³³li⁵³	Lyuzu	1053.18	TBL
19699		bad	1814	399191	bad	then³¹	Jingpho	1053.19	TBL
85454		bad	1851	399179	bad	duk pin	Motuo Menba	1053.07	TBL
53334		bad	1833	399208	bad	phɪ̱²¹	Yi (Weishan)	1053.36	TBL
21700		bad	1815	399174	bad	ŋɛ̃¹³po⁵⁵	Tibetan (Lhasa)	1053.02	TBL
21701		bad	1815	399223	bad	tu¹³ko⁵⁵	Tibetan (Lhasa)	1053.02	TBL
55220		bad	1834	399209	bad	lɑ̱⁵⁵	Yi (Nanhua)	1053.37	TBL
89093		bad	1853	399181	bad	dʐɛ¹³	Pumi (Lanping)	1053.09	TBL
23701		bad	1816	399192	bad	mɑʔ⁵⁵	Dulong	1053.20	TBL
57076		bad	1835	399210	bad	ɖɑ̱²	Yi (Wuding)	1053.38	TBL
25506		bad	1817	399193	bad	m̩³¹sɿ³¹lɑ⁵⁵	Nung	1053.21	TBL
58996		bad	1836	399211	bad	dle⁴⁴	Yi (Sani)	1053.39	TBL
26984		bad	1818	399194	bad	pɹɑ⁵⁵jim⁵⁵	Darang [Taraon]	1053.22	TBL
60809		bad	1837	399176	bad	a χa ma	Tibetan (Xiahe)	1053.04	TBL
60810		bad	1837	399225	bad	ŋan	Tibetan (Xiahe)	1053.04	TBL
28412		bad	1819	399195	bad	mɯ³¹phɑn⁵⁵	Kaman [Miju]	1053.23	TBL
62587		bad	1838	399212	bad	ma³¹dʑi³³	Lisu	1053.40	TBL
29938		bad	1820	399196	bad	po moŋ	Bokar	1053.24	TBL
29939		bad	1820	399229	bad	ka ru	Bokar	1053.24	TBL
87184		bad	1852	399180	bad (things)	bɑ χɑ	Qiang (Mawo)	1053.08	TBL
87185		bad	1852	399226	bad (words)	mɛj	Qiang (Mawo)	1053.08	TBL
64415		bad	1839	399213	bad	dø⁵⁵	Hani (Lüchun)	1053.41	TBL
31762		bad	1821	399197	bad	e⁵⁵lieŋ⁵⁵	Yidu	1053.25	TBL
#
32855	prep	below, under	1822	382725	below / under	ɔk⁴	Burmese (Written)	0732.26	TBL
65900	prep	below, under	1840	382741	below / under	a³¹ma³³fɔ³³	Hani (Mojiang)	0732.42	TBL
849	prep	below, under	1804	382700	below / under	man tɕhad	Tibetan (Written)	0732.01	TBL
34750	prep	below, under	1823	382726	below / under	ɑuʔ⁴	Burmese (Rangoon)	0732.27	TBL
67705	prep	below, under	1841	382742	below / under	ɔ³¹xɔ³⁵phɔ⁵³lo³³	Lahu (Lancang)	0732.43	TBL
71380	prep	below, under	1843	382744	below / under	mɯ²¹thæ³³	Naxi	0732.45	TBL
2817	prep	below, under	1805	382709	below / under	*	Pumi (Jiulong)	0732.10	TBL
69534	prep	below, under	1842	382743	below / under	pɔ⁴⁴o⁵⁵	Jinuo	0732.44	TBL
4468	prep	below, under	1806	382710	below / under	wu spoi	rGyalrong (Maerkang)	0732.11	TBL
38407	prep	below, under	1825	382728	below / under	*	Achang (Xiandao)	0732.29	TBL
6386	prep	below, under	1807	382711	below / under	nə nkhvɛ	Daofu	0732.12	TBL
40139	prep	below, under	1826	382702	below / under	mã¹³tɕøʔ⁵³	Tibetan (Batang)	0732.03	TBL
73209	prep	below, under	1844	382745	below / under	mi³³dæ³⁵	Namuyi	0732.46	TBL
8312	prep	below, under	1808	382712	below / under	me¹³ntɕhə⁵⁵	Queyu (Xinlong)	0732.13	TBL
88769	prep	below, under	1853	382708	below / under	po⁵⁵ni¹³	Pumi (Lanping)	0732.09	TBL
42050	prep	below, under	1827	382729	below / under	o̱⁵¹mai²¹	Atsi [Zaiwa]	0732.30	TBL
10147	prep	below, under	1809	382713	below / under	ɑ¹³tshɿ³³	Zhaba (Daofu County)	0732.14	TBL
43908	prep	below, under	1828	382730	below / under	ɔ³¹mɛ³¹	Langsu (Luxi)	0732.31	TBL
76738	prep	below, under	1846	382747	below / under	mə⁵⁵ɣa³³	Bai (Jianchuan)	0732.48	TBL
12076	prep	below, under	1810	382714	below / under	mɐ̃³³tɕhø⁵³	Muya	0732.15	TBL
12077	prep	below, under	1810	382751	below / under	nɑ³³to²⁴	Muya	0732.15	TBL
45690	prep	below, under	1829	382731	below / under	a³¹a⁵⁵	Bola (Luxi)	0732.32	TBL
78675	prep	below, under	1847	382748	below / under	*	Tujia	0732.49	TBL
13990	prep	below, under	1811	382715	below / under	*	Guiqiong	0732.16	TBL
47509	prep	below, under	1830	382732	below / under	*	Leqi (Luxi)	0732.33	TBL
15655	prep	below, under	1812	382716	below / under	mæ³³lɛ³³tʂõ⁵⁵	Xumi	0732.17	TBL
80179	prep	below, under	1848	382704	below / under	*	Tibetan (Alike)	0732.05	TBL
81747	prep	below, under	1849	382749	below / under	*	Karen	0732.50	TBL
49212	prep	below, under	1831	382733	below / under	*	Nusu (Central)	0732.34	TBL
17531	prep	below, under	1813	382717	below / under	ne³³le⁵³ɣɯʴ³³tɕi³¹	Lyuzu	0732.18	TBL
19369	prep	below, under	1814	382718	below / under	lă³¹wuʔ⁵⁵	Jingpho	0732.19	TBL
51039	prep	below, under	1832	382734	below / under	hhɯ²¹dʑɿ³³	Yi (Xide)	0732.35	TBL
85134	prep	below, under	1851	382706	below / under	doŋ ten	Motuo Menba	0732.07	TBL
25200	prep	below, under	1817	382720	below / under	*	Nung	0732.21	TBL
53000	prep	below, under	1833	382735	below / under	o²¹ɕi⁵⁵	Yi (Weishan)	0732.36	TBL
86838	prep	below, under	1852	382707	below / under	qəl	Qiang (Mawo)	0732.08	TBL
21351	prep	below, under	1815	382701	below / under	mɛ̃¹³tɕhɛ⁵²	Tibetan (Lhasa)	0732.02	TBL
21352	prep	below, under	1815	382750	below / under	ɕam⁵²la	Tibetan (Lhasa)	0732.02	TBL
54893	prep	below, under	1834	382736	below / under	to̱³³ɑ²¹ʂɿ²¹	Yi (Nanhua)	0732.37	TBL
83305	prep	below, under	1850	382705	below / under	*	Cuona Menba	0732.06	TBL
36630	prep	below, under	1824	382727	below / under	a³¹the⁵¹	Achang (Longchuan)	0732.28	TBL
23375	prep	below, under	1816	382719	below / under	pɑŋ³¹dʑɑŋ⁵⁵	Dulong	0732.20	TBL
56739	prep	below, under	1835	382737	below / under	dzɑ̱⁵⁵di¹¹	Yi (Wuding)	0732.38	TBL
75030	prep	below, under	1845	382746	below / under	*	Gazhuo	0732.47	TBL
58668	prep	below, under	1836	382738	below / under	*	Yi (Sani)	0732.39	TBL
26677	prep	below, under	1818	382721	below / under	*	Darang [Taraon]	0732.22	TBL
60495	prep	below, under	1837	382703	below / under	man tɕhar	Tibetan (Xiahe)	0732.04	TBL
28102	prep	below, under	1819	382722	below / under	*	Kaman [Miju]	0732.23	TBL
62260	prep	below, under	1838	382739	below / under	o̱³¹si̱³³	Lisu	0732.40	TBL
29600	prep	below, under	1820	382723	below / under	man dap	Bokar	0732.24	TBL
64092	prep	below, under	1839	382740	below / under	la³¹xø⁵⁵	Hani (Lüchun)	0732.41	TBL
31455	prep	below, under	1821	382724	below / under	*	Yidu	0732.25	TBL
#
33094	adj	big	1822	394662	big / large	kri³	Burmese (Written)	0964.26	TBL
66135	adj	big	1840	394678	big / large	xɯ³¹	Hani (Mojiang)	0964.42	TBL
1097	adj	big	1804	394637	big / large	tɕhen po	Tibetan (Written)	0964.01	TBL
14226	adj	big	1811	394652	big / large	ta⁵⁵ wu⁵⁵	Guiqiong	0964.16	TBL
34991	adj	big	1823	394663	big / large	tɕi⁵⁵	Burmese (Rangoon)	0964.27	TBL
3052	adj	big	1805	394646	big / large	tɕə⁵⁵	Pumi (Jiulong)	0964.10	TBL
3053	adj	big	1805	394688	big / large	tɕə⁵⁵mi⁵⁵	Pumi (Jiulong)	0964.10	TBL
36863	adj	big	1824	394664	big / large	kʐə³¹	Achang (Longchuan)	0964.28	TBL
69766	adj	big	1842	394680	big / large	la⁴⁴xɯ⁴⁴	Jinuo	0964.44	TBL
81980	adj	big	1849	394686	big / large	do̱³¹	Karen	0964.50	TBL
4704	adj	big	1806	394647	big / large	kə ktᴇ	rGyalrong (Maerkang)	0964.11	TBL
38645	adj	big	1825	394665	big / large	kɯ³¹	Achang (Xiandao)	0964.29	TBL
71627	adj	big	1843	394681	big / large	dɯ²¹	Naxi	0964.45	TBL
6624	adj	big	1807	394648	big / large	gɛ cçhɛ	Daofu	0964.12	TBL
40379	adj	big	1826	394639	big / large	tɕhɪ⁵³	Tibetan (Batang)	0964.03	TBL
40380	adj	big	1826	394687	big / large	tɕhɑu¹³	Tibetan (Batang)	0964.03	TBL
73445	adj	big	1844	394682	big / large	da⁵³dʐɿ³¹	Namuyi	0964.46	TBL
