ID	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
313341	bang³ > bat³	like something; resemble	vi	PB-CLDB	1778	Tiddim	47
313342	bang³ ci³	how		PB-CLDB	1778	Tiddim	48
313343	bang³ in²	like; same		PB-CLDB	1778	Tiddim	49
313344	bang?³	what		PB-CLDB	1778	Tiddim	50
313345	bang?³ haːng¹	why		PB-CLDB	1778	Tiddim	51
313346	bat³	wear in the ear	v	PB-CLDB	1778	Tiddim	52
313347	bat³ sam?³	middle of the back		PB-CLDB	1778	Tiddim	53
313348	baː² > bat³	owe money	v	PB-CLDB	1778	Tiddim	54
313349	baːi²	lame	vi	PB-CLDB	1778	Tiddim	55
313350	baːi² bek²	red-vented bulbul		PB-CLDB	1778	Tiddim	56
313353	baːk¹	bat (animal)		PB-CLDB	1778	Tiddim	57
313354	baːk²	eat food with hands	v	PB-CLDB	1778	Tiddim	58
313355	baːk²	of mature age (of birds)	vi	PB-CLDB	1778	Tiddim	59
313356	baːk³ > ba?³	feed	v	PB-CLDB	1778	Tiddim	60
313358	baːl¹	taro		PB-CLDB	1778	Tiddim	61
313359	baːl³ >  bal?³	covered with wet dirt	vi	PB-CLDB	1778	Tiddim	62
313361	baːn²	arm		PB-CLDB	1778	Tiddim	63
313362	baːn³ >  bat³	reach for	v	PB-CLDB	1778	Tiddim	64
313364	baːng¹	remainder		PB-CLDB	1778	Tiddim	65
313366	baːng¹	upper bar of the door		PB-CLDB	1778	Tiddim	66
313367	baːng¹ kua¹	family		PB-CLDB	1778	Tiddim	67
313368	baːng² > baːn²	stick something; keep on a peg; rope	v	PB-CLDB	1778	Tiddim	68
313369	baːng² > baːn²	visit some other place on the way to a particular	v	PB-CLDB	1778	Tiddim	69
313370	be?³	pounce upon; seize by pouncing upon (ki3 bo / 3 'to	v	PB-CLDB	1778	Tiddim	70
313371	be¹ guːl²	snake gourd		PB-CLDB	1778	Tiddim	71
313373	be¹ kan¹	soya bean		PB-CLDB	1778	Tiddim	72
313375	be¹ kaːng²	white bean		PB-CLDB	1778	Tiddim	73
313377	be¹ liː²	creeping edible bean		PB-CLDB	1778	Tiddim	74
313379	be¹ loːi¹	black bean		PB-CLDB	1778	Tiddim	75
313380	be¹ pum¹	pea		PB-CLDB	1778	Tiddim	76
313381	bei²	exhausted; over	vi	PB-CLDB	1778	Tiddim	77
313382	bek¹	alone; only		PB-CLDB	1778	Tiddim	78
313384	bel?³	join with glue	v	PB-CLDB	1778	Tiddim	79
313385	bel³	that is		PB-CLDB	1778	Tiddim	80
313386	beng¹ > ben³ = bet³	hunt	v	PB-CLDB	1778	Tiddim	81
313388	beː¹	bean (generic name)		PB-CLDB	1778	Tiddim	82
313390	beːl²	pot; utensil		PB-CLDB	1778	Tiddim	83
313391	beːl² khaːi¹	pail		PB-CLDB	1778	Tiddim	84
313392	beːl² tung²	jar		PB-CLDB	1778	Tiddim	85
313393	beːl³ > bel?³	take refuge	v	PB-CLDB	1778	Tiddim	86
313394	beːm¹	circular		PB-CLDB	1778	Tiddim	87
313397	beːm³	huge bamboo basket		PB-CLDB	1778	Tiddim	88
313398	beːng³ > bet³	slap	v	PB-CLDB	1778	Tiddim	89
313399	bi¹ in¹	thatched house		PB-CLDB	1778	Tiddim	90
313400	bia³ > biak³	worship	v	PB-CLDB	1778	Tiddim	91
313401	biang²	cheek		PB-CLDB	1778	Tiddim	92
