462#	language	Hakha
284	to sing	ɬɑ.ʔɑ.sɑ
285	to think	ʔɑ.ruɑ
286	to know	ʔɑ.tʰei/ʔɑ.ŋəl
287	to forget	pʰil
288	to choose	ʔɑ.tʰim
289	to love	dɔʔ
290	to hate	huɑ
291	to be ashamed	ʔɑ.niŋ.zɑ
292	to wait	hŋɑ
293	to count	rel
294	to be afraid	ti
295	to be angry	tʰiŋ.huŋ
296	to sleep	ieʔ
297	to snore	ʔɑ.mɔi
298	to dream	mɑŋ.ʔɑ.mɑ
299	to get up	ʔɑ.tʰo
300	to be hurt	ʔɑ.fɑ
301	medicine	sʰi
302	to be itchy	ʔɑ.tʰɑʔ
303	to scratch (self)	Ɂɑ.kʰeu
304	to shiver	ʔɑ.tʰɛ
305	to die	tʰi
306	gost	mui.kʰlɑ
307	to sit	ʔɑ.tʰu
308	to stand (standing)	ʔɑ.dir
309	to kneel	kʰu.bil
310	to walk	lɑm.len
311	to crowl	ʔɑ.lɔn
312	to go	kɑl
313	to come	rɑ
314	to return	ʔɑ.rə.tʰɑŋ/ʔɑ.kil
315	to run	kli
316	to ascend	ʔɑ.kɑi
317	to descend	ʔɑ.tum
318	to enter	ʔɑ.luʔ
319	to go out	ʃwɑ
320	to push	ʔɑ.nɑm
321	to pull	ʔɑ.doʔ
322	to kick	ʔɑ.ʃui
323	to throw	ʃɛ
324	to fall	tlɑ
325	to swim	ti.ʔɑ.leuʔ
326	to float	ʔɑ.vun
327	to submerge	ti.ʔɑ.ɑ.tlɑ
328	to flow	ʔɑ.lwɑŋ
329	to give	peʔ
330	to tie	tim
331	to wipe	n̥ɔ
332	to rub, scrub	n̥ɔ
333	to wash	ʔɑ.tɔl
334	to wash (clothes)	suʔ
335	to bathe	i.ɑ.kʰɔ
336	to hit, beat	ʔɑ.toʔ
337	to split	ʔɑ.tʰin
338	to slice	tɑŋ
339	to cut (hair)	riɑŋ
340	to stab	sɔ
341	to plant	tʃin
342	to dig	tʃɔ
343	to bury	vui
344	to work	riɑn.ʔɑ.twɑn
345	to play	li.ti.ʔɑ.se
346	to dance	lɑŋ
347	to shoot	kɑ
348	to hunt	rɑm.ʔɑ.vɑ
349	to kill	tʰɑ
350	to fight	ʔɑ.ne.vel
351	to buy	ʔɑ.sɔ
352	to sell	juɑ
353	to exchange	kʰlem
354	to pay	ʔɑ.mɑŋ.ʔɑ.pei
355	to steal	fi
356	to hide(self)	tʰoʔ
357	one	mi.pə.kʰə
358	two	pə.n̥i
359	three	pə.tʰuŋ
360	four	pə.li
361	five	pə.ŋɑ
362	six	pə.ru
363	seven	pə.sə.ri
364	eight	pə.riɑ
365	nine	pə.kuɑ
366	ten	pə.r̥ɑ
367	twenty	pə.kul
368	hundred	zə.kʰɑ
369	one thousand	tʰɔŋ.kʰɑʔ
370	to be many	tɑm.pi
371	all	ʔɑ.zɑ.pi
372	some	ʔɑ.ʃeu.kʰɑ
373	to be few	tlɔn
374	half	ʃeu
375	to be big	ʔɑ.ŋɑn
376	to be small	ʔɑ.m̥en
377	to be long	ʔɑ.sɑu
378	to be short	ʔɑ.tɔi
379	to be tall	ʔɑ.sɑŋ
380	to be short	ʔɑ.niɑŋ
381	to be thick	sʰɑ
382	to be thin	pən
383	to be fat	tʰɑu
384	to be skiny	dɛr
385	to be wide	kɑu
386	to be narrow	bir
387	to be deep	tʰu
388	to be shallow	ʔɑ.piɑn
389	to be round	pum
390	to be full	kʰə
391	right side	ɔr.le
392	left side	kɛ.le
393	to be straight	ʔɑ.diŋ
394	to be far	ʔɑ.ɬɑ
395	to be near	nɑi
396	this	mɑ.hi
397	that	mɑ.kʰi
398	black	ʔɑ.nɑ
399	white	ʔɑ.rɑŋ
400	red	seŋ
401	green	r̥iŋ
402	yellow	r̥e
403	to be dirty	tʰo.nɔn
404	to be new	tʰɑr
405	to be old	ɬwɔn
406	to be dark	ʔɑ.mui
407	to shine	seu
408	to be the same	ʔɑ.kʰəʔ
409	to be sweet	kʰluŋ
410	to be sour	tʰɔr
411	to be bitter	kʰɑr
412	to be spicy	tʰɑʔ
413	to be rotten	tʰu
414	to be swollen	ɑ.pʰin
415	to be dry	ɑ.ro
416	to be wet	tʃin
417	to be sharp	hɑr
418	to be blunt	bilʔ/nɔ
419	to be heavy	ʔɑ.riʔ
420	to be light	ɑ.jɑŋ
