rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
172600	terhuo	spirit		GEM-CNL	252	Angami (Khonoma)	
172631	metsa	spit	v	GEM-CNL	252	Angami (Khonoma)	
172656	kemethi	strong		GEM-CNL	252	Angami (Khonoma)	
172687	nu	suck		GEM-CNL	252	Angami (Khonoma)	
172711	mezu	swallow	v	GEM-CNL	252	Angami (Khonoma)	
172734	mhidzü	tears (weeping)		GEM-CNL	252	Angami (Khonoma)	
172755	bikrü	thumb		GEM-CNL	252	Angami (Khonoma)	
172775	mere	vomit		GEM-CNL	252	Angami (Khonoma)	
172792	shü	wing		GEM-CNL	252	Angami (Khonoma)	
172825	reza	wound	n	GEM-CNL	252	Angami (Khonoma)	
236279	matsonu	among		GEM-CNL	252	Angami (Khonoma)	
236312	mu	and		GEM-CNL	252	Angami (Khonoma)	
236351	nimo	angry		GEM-CNL	252	Angami (Khonoma)	
236391	delepu	answer	v	GEM-CNL	252	Angami (Khonoma)	
236424	chütho	armlet		GEM-CNL	252	Angami (Khonoma)	
236443	tsole	arrive		GEM-CNL	252	Angami (Khonoma)	
236444	mehi	arrive		GEM-CNL	252	Angami (Khonoma)	
236477	tilüsi	arrow		GEM-CNL	252	Angami (Khonoma)	
236509	ko	ascend		GEM-CNL	252	Angami (Khonoma)	
236540	mi◦ge	ashes		GEM-CNL	252	Angami (Khonoma)	
236570	ketso	ask (a question)		GEM-CNL	252	Angami (Khonoma)	
236605	cha	ask for		GEM-CNL	252	Angami (Khonoma)	
236636	-nu	at		GEM-CNL	252	Angami (Khonoma)	
236677	kesu	awake / awaken	v	GEM-CNL	252	Angami (Khonoma)	
236720	mere	axe		GEM-CNL	252	Angami (Khonoma)	
236721	sidure	axe		GEM-CNL	252	Angami (Khonoma)	
236752	vimo	bad		GEM-CNL	252	Angami (Khonoma)	
236753	kesho	bad		GEM-CNL	252	Angami (Khonoma)	
236801	lokho	bag	n	GEM-CNL	252	Angami (Khonoma)	
236839	kera	bamboo		GEM-CNL	252	Angami (Khonoma)	
236880	tekwesi	banana		GEM-CNL	252	Angami (Khonoma)	
236913	khie	bank (edge)		GEM-CNL	252	Angami (Khonoma)	
236943	mekho	basket (generic)		GEM-CNL	252	Angami (Khonoma)	
236983	korü	basket (back, man's)		GEM-CNL	252	Angami (Khonoma)	
237000	kodi	basket (back, woman's)		GEM-CNL	252	Angami (Khonoma)	
237090	chü	bead		GEM-CNL	252	Angami (Khonoma)	
237116	kiperü	beam	n	GEM-CNL	252	Angami (Khonoma)	
237136	kerhü	bean		GEM-CNL	252	Angami (Khonoma)	
237164	peno	birth, give		GEM-CNL	252	Angami (Khonoma)	
237211	vü	beat	v	GEM-CNL	252	Angami (Khonoma)	
237273	ngu◦vi	beautiful		GEM-CNL	252	Angami (Khonoma)	
237309	selanu	because		GEM-CNL	252	Angami (Khonoma)	
237310	sidi	because		GEM-CNL	252	Angami (Khonoma)	
237376	tezhü	bed		GEM-CNL	252	Angami (Khonoma)	
237412	mhodzü	before		GEM-CNL	252	Angami (Khonoma)	
237448	meji	begin		GEM-CNL	252	Angami (Khonoma)	
237560	kezha	big		GEM-CNL	252	Angami (Khonoma)	
237561	kedi	big		GEM-CNL	252	Angami (Khonoma)	
237604	pha	bind		GEM-CNL	252	Angami (Khonoma)	
237649	methe	betel (leaf)		GEM-CNL	252	Angami (Khonoma)	
237665	rhosi	betel (nut)		GEM-CNL	252	Angami (Khonoma)	
237688	donu	between		GEM-CNL	252	Angami (Khonoma)	
237721	meki	bite	v	GEM-CNL	252	Angami (Khonoma)	
237758	kekhu	bitter		GEM-CNL	252	Angami (Khonoma)	
237817	polüsho	blunt	adj	GEM-CNL	252	Angami (Khonoma)	
237846	ru	boat		GEM-CNL	252	Angami (Khonoma)	
237882	reda	boil	v	GEM-CNL	252	Angami (Khonoma)	
237912	lesheda	book	n	GEM-CNL	252	Angami (Khonoma)	
237946	ti◦lü	bow (for shooting)		GEM-CNL	252	Angami (Khonoma)	
237980	kuzo	box	n	GEM-CNL	252	Angami (Khonoma)	
238009	bikhatho	bracelet		GEM-CNL	252	Angami (Khonoma)	
238035	sicho	branch	n	GEM-CNL	252	Angami (Khonoma)	
238070	kerezha	brave	adj	GEM-CNL	252	Angami (Khonoma)	
238088	tekrida	bread		GEM-CNL	252	Angami (Khonoma)	
238115	betswe	break	v	GEM-CNL	252	Angami (Khonoma)	
238163	pe	bridge	n	GEM-CNL	252	Angami (Khonoma)	
238187	sevorü	bring	v	GEM-CNL	252	Angami (Khonoma)	
238232	garigwi	brinjal (bengan, eggplant)		GEM-CNL	252	Angami (Khonoma)	
238252	mezha	broad		GEM-CNL	252	Angami (Khonoma)	
238287	kitsero	broom		GEM-CNL	252	Angami (Khonoma)	
238306	thebü	bud	n	GEM-CNL	252	Angami (Khonoma)	
238329	kiche	build		GEM-CNL	252	Angami (Khonoma)	
238360	mi◦sitsachelu	bullet		GEM-CNL	252	Angami (Khonoma)	
238381	rewa	burn	v	GEM-CNL	252	Angami (Khonoma)	
238382	petuwa	burn	v	GEM-CNL	252	Angami (Khonoma)	
238435	kruwa	bury		GEM-CNL	252	Angami (Khonoma)	
238472	sirano	bush		GEM-CNL	252	Angami (Khonoma)	
238473	sipa	bush		GEM-CNL	252	Angami (Khonoma)	
238494	deri	but		GEM-CNL	252	Angami (Khonoma)	
238535	krü	buy	v	GEM-CNL	252	Angami (Khonoma)	
238616	thekra	cane	n	GEM-CNL	252	Angami (Khonoma)	
238650	pfü	carry (generic)	v	GEM-CNL	252	Angami (Khonoma)	
238651	thupe	carry (generic)	v	GEM-CNL	252	Angami (Khonoma)	
238693	pfü	carry (on back)	v	GEM-CNL	252	Angami (Khonoma)	
238707	meza	catch	v	GEM-CNL	252	Angami (Khonoma)	
238740	pha	chaff	n	GEM-CNL	252	Angami (Khonoma)	
