DOCULECT	CONCEPT	IPA	HANZI	NOTE
Caijia	the lightning	[kʰɪɴ³³ ʈʅ³³ fɛ⁵⁵]	天囗(雨追)火	
Caijia	the liver	[ka³³]	肝	
Caijia	long	[ʈv̩²¹]	長	
Caijia	the louse	[ṣej⁵⁵]	蝨	
Caijia	male	[pa²⁴]	伯，父，夫	
Caijia	the man	[pa³³ dzɔ³³]	伯，夫囗	
Caijia	many	[ti³³]	多	
Caijia	the meat	[tsa²¹]	TB	
Caijia	the moon	[kɔ⁵⁵ pja⁵⁵ ʝa³³]		
Caijia	the mosquito			
Caijia	the mother	[ʑʝ̩³³]	囗	
Caijia	the mountain	[tʝ̩²¹]	阺	
Caijia	the mouse or rat	[ṣv̩⁵⁵]	鼠	
Caijia	the mouth	[pʝ̩²¹]	鼻?	
Caijia	the nail (fingernail or claw)	[ka⁵⁵]	甲	
Caijia	the name	[mʝ̩²¹]	名	
Caijia	narrow	[ʈa⁵⁵]	窄	
Caijia	near	[dʑiɴ³³]	近	
Caijia	the neck	[suɴ³³ kuɴ³³]	囗頸	
Caijia	the needle (for sewing)	[tṣawɴ³³]	箴	
Caijia	new	[ɕiɴ³³]	新	
Caijia	the night	[kʰɪɴ³³ mʝ̩²¹ sa⁵⁵]	天暝夜	
Caijia	nine	[ku⁵⁵]	九	
Caijia	the nose	[pʝ̩³³]	鼻	
Caijia	not	[pv̩³³]	不	
Caijia	old (of person)	[la²¹]	老	
Caijia	one	[ʝ̩³³]	一	
Caijia	to open	[kʰəw⁵⁵]a, [kʰəw³³]b	開	
Caijia	other	[pʰa²¹]	別	
Caijia	painful	[suɴ²¹]	恙	
Caijia	the person	[ɦu²¹ tsʰu²¹]	囗囗	
Caijia	to plant	[tṣuɴ³³]a, [tṣuɴ²¹]b	種	
Caijia	to play	[sɔ³³ kɔ⁵⁵]	囗囗	
Caijia	to pull	[kʰɪɴ⁵⁵]	牽	
Caijia	to push	[lu²¹]	囗	
Caijia	the rain	[zɿ³³]	雨?	
Caijia	red	[tṣʰɿ⁵⁵]	赤	
Caijia	to reside (live)	[təw²¹]	在	
Caijia	right	[tṣɿ³³]	右	
Caijia	the river	[kuɴ³³]	江	
Caijia	the road	[xɔ⁵⁵]	囗	
Caijia	the roof	[ʔɔ⁵⁵ tiɴ²¹]	屋頂	
Caijia	the root	[ṣwɔ⁵⁵ tṣv̩³³]	樹株	
Caijia	the rope	[sv̩⁵⁵]	索	
Caijia	rotten (of fruits)	[tṣʰɿ̣²¹]	囗	
Caijia	round	[ʈɪɴ⁵⁵]	轉	
Caijia	to rub	[tɕʝ̩²¹]a, [tɕʝ̩³³]b	擦	
Caijia	the salt	[ṣawɴ³³]	鹽	
Caijia	the sand	[ṣa²¹]	沙	
Caijia	to say	[xa³³]	話	
Caijia	to scratch	[bɛ³³]a, [pɛ²¹]b	囗	
Caijia	the sea	[xɛ⁵⁵]	海	
Caijia	to see	[tṣawɴ³³]a, [tṣawɴ²¹]b	瞻	
Caijia	the seed	[tṣuɴ⁵⁵]	種	
Caijia	seven	[tɕʝ̩⁵⁵]	七	
Caijia	to sew	[ʈɪɴ²¹]a, [ʈɪɴ³³]b	囗	
Caijia	sharp	[ȵjawɴ³³]	囗	
Caijia	to shoot (an arrow)			
Caijia	short	[tsʰu³³]	囗	
Caijia	the shoulder	[ta³³ pv̩²¹]	擔囗	
Caijia	shy	[ɖɪɴ³³]	囗	
Caijia	sick	[suɴ²¹]	恙	
Caijia	to sing			
Caijia	to sit	[kv²¹]	踞	
Caijia	six	[fv̩⁵⁵]	六?	
Caijia	the skin	[pəw²¹] = [pu²¹]	皮	
Caijia	the sky	[kʰɪɴ³³]	天	
Caijia	to sleep	[tṣɿ²¹]	囗	
Caijia	small	[ɕi²¹]	細	
Caijia	to smell (perceive odor) [transitive]	[kʰv̩⁵⁵]	嗅	
Caijia	the smoke	[ʝ̩ɴ²¹]	煙	
Caijia	smooth	[gui³³]	滑	
Caijia	the snake	[fej⁵⁵]	虫(虺)	
Caijia	the snow	[ṣv̩³³]	雪	
Caijia	some	[ʝ̩⁵⁵ ʎʝ̩³³]	一囗	
Caijia	the spider	[ʈa²¹ ʈu³³]	蜘蛛	
Caijia	to spit	[tʰv̩³³]	吐	
Caijia	to split	[pɪɴ⁵⁵]a, [pɨɴ³³]b	分	
Caijia	to squeeze	[tɕʝ̩³³]a, [tɕʝ̩⁵⁵]b	擠	
Caijia	to stab	[tʰu³³]a, [tʰu⁵⁵]b	囗	
Caijia	to stand	[ɖawɴ³³]	站	
Caijia	the star	[ɕi³³ tsʰu²¹]	星宿	
Caijia	to steal	[taw²¹]a, [daw³³]b	盜	
Caijia	the stick	[pawɴ³³]	棒	
Caijia	the stone (a piece of)	[dẓa³³ tu²¹]	石頭	
Caijia	straight	[tṣɿ³³]	直	
Caijia	to suck	[tɕʝ̩³³]b	囗	
Caijia	the sun	[ʝ̩ɴ³³ suɴ²¹]	日?陽	
Caijia	to swell	[ʔuɴ³³]	囗	
Caijia	to swim	[ʝa³³ tsɔ⁵⁵]	囗{洗}澡	
Caijia	the tail	[mawɴ³³ ta²¹]	尾頭?	
Caijia	ten	[dẓawɴ³³]	十	
Caijia	that	[mɔ³³]	囗	
Caijia	there	[ma²⁴]	囗	
Caijia	they [third person plural]	[ʝe³³ ɣəw⁵⁵]	伊囗	
Caijia	thick	[gu³³]	厚	
Caijia	thin	[bv̩³³]	薄	(vs. Thick 粗)
Caijia	to think (reflect)	[dəw²¹]	存	
Caijia	this	[ɦɔ³³]	囗	
Caijia	thou [second person singular]	[nəw³³]	你，爾	
Caijia	three	[sa³³]	三	
Caijia	to throw	[pi⁵⁵]a, [pi³³]b	囗	
Caijia	the thunder	[ʈʅ³³]	囗(雨追)	
Caijia	to tie (together)	[ki⁵⁵]a, [ki³³]b	繫	
Caijia	the tongue	[dẓɿ³³ ta²¹]	舌頭	
Caijia	the tooth (front)	[tṣʰɿ⁵⁵ pej⁵⁵]	齒板	
Caijia	the tree	[ṣɔ⁵⁵]	樹	
Caijia	to turn (around)	[ʈɪɴ⁵⁵]	轉	
Caijia	twenty	[niɴ²¹ dʑʝ̩³³]	二十	
Caijia	two	[ʈa⁵⁵]	再?	
Caijia	to vomit	[lɔ⁵⁵]	囗	
Caijia	to walk	[ɣa²¹]	行	
Caijia	warm (hot)	[zɿ³³]	囗	
Caijia	to wash	[ʝa²¹]a, [ʝa³³]b	囗	
Caijia	the water	[sɿ⁵⁵]	水	
Caijia	we [first person plural]	[ŋv̩³³ ɣəw⁵⁵]	我，吾囗	we
Caijia	wet	[nəw²¹]	囗	
Caijia	what	[ṣɿ³³ mɔ⁵⁵]	什麼，是物	
Caijia	when	[law²¹ kəw²⁴]	囗刻	
Caijia	where	[la²⁴]	囗	where
Caijia	white	[bja³³]	白	
Caijia	who	[law²⁴ ȵi³³]	囗人	
Caijia	wide	[kʰwa³³]	寬	
Caijia	the wife	[su⁵⁵ bu³³] = [su⁵⁵ bəw³³]	媳?婦	
Caijia	the wind	[pawɴ³³]	風	
Caijia	the wing	[ʑʝ̩³³ tɕʝ̩³³]	囗翅	
Caijia	the woman	[kv̩³³ ʝa²⁴]	姑嫗	
Caijia	the wood (material)	[ṣɔ⁵⁵]	樹	
Caijia	the work			
Caijia	the worm	[ʝ̩ɴ²⁴]	蚓	
Caijia	to yawn	[kʰawɴ²¹ pu⁵⁵] = [kʰawɴ²¹ pəw⁵⁵]	欠囗	
Caijia	the year	[ȵiɴ²¹]	年	
Caijia	yellow	[ɣuɴ³³]	黃	
Caijia	you [second person plural]	[nəw³³]	你，爾	
