NUMBER	GLOSS				SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	DEFINITION
173	to see	見 	*[k]ˤen-s		action	1471	1409	Sense perception	看见	To perceive [images] with the eye, without necessarily paying attention to them.
174	the seed	種 	*k.toŋʔ		object, food	405	714	Agriculture and vegetation	种子	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).
175	seven	七	*[tsʰ]i[t]		number	803	1704	Quantity	七	The cardinal number occurring after six and before eight, represented in Roman numerals as VII, in Arabic numerals as 7.
176	sharp	磏	*[r]em 		characterization, form	1020	1396	Sense perception	锋利	Having the ability to cut easily.
176	sharp	覃	*N-r[a]mʔ		characterization, form	1020	1396	Sense perception	锋利	Having the ability to cut easily.
176	sharp	利	*C.ri[t]-s		characterization, form	1020	1396	Sense perception	锋利	Having the ability to cut easily.
177	the sheep	羊	 *ɢaŋ		animal	275	1331	Animals	羊	A common, four-legged animal (Ovis) that is commonly kept by humans for its wool.
178	to shoot (an arrow)	射	*Cə.lAk-s		action	1611	1172	Warfare and hunting	射	To kill a person or an animal with a shot from a firearm.
179	short	短 	*tˤorʔ		characterization, quantity	973	1645	Spatial relations	短	Small in length by comparison.
180	the shoulder	肩 	*[k]ˤe[n] 		body	90	1482	The body	肩膀	One side of the top of the torso, where an arm attaches or joins.
181	shy				characterization, character	1365	487	Emotions and values	害羞	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.
182	the sickle	鎌	 *[r]em 		object, tool	624	341	Agriculture and vegetation	鐮刀	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture
183	to sing	歌	 *[k]ˤaj		action	1184	1261	Speech and language	唱	To produce harmonious sounds with one's voice.
184	six	六	*k.ruk		number	802	1703	Quantity	六	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.
185	the skin	膚 	*pra	WT lpags	body	120	763	The body	皮肤	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.
185	the skin	革	*kˤrək		body	120	763	The body	皮肤	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.
185	the skin	皮	*m-[p](r)aj		body	120	763	The body	皮肤	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.
186	the sky	天	*l̥ˤi[n]		nature, geography	1	1732	The physical world	天空	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.
187	to sleep	寢	*[tsʰ]imʔ		action	1646	1585	The body	睡觉	To rest in a state of decreased consciousness and reduced metabolism.
187	to sleep	寐	*mi[t]-s		action	1646	1585	The body	睡觉	To rest in a state of decreased consciousness and reduced metabolism.
188	small	小	*[s]ewʔ		characterization, quantity	965	1246	Spatial relations	小	Not large or big; small in size.
188	small	細	*[s]ˤe(k)-s		characterization, quantity	965	1246	Spatial relations	小	Not large or big; small in size.
188	small	微	*məj		characterization, quantity	965	1246	Spatial relations	小	Not large or big; small in size.
188	small	靡	*m(r)ajʔ		characterization, quantity	965	1246	Spatial relations	小	Not large or big; small in size.
189	to smell (perceive odor) [transitive]	嗅	*qʰu(ʔ)-s		action	1707	1586	Sense perception	闻	To perceive the presence of molecules in the air by inhaling them through the nose.
190	the smoke	煙 	*[q]ˤi[n]		nature	19	778	The physical world	烟	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.
191	smooth				characterization, form	1037	1234	Sense perception	光滑	Not rough; having a surface texture that lacks friction.
192	the snake	蛇  	*Cə.lAj		animal	347	730	Animals	蛇	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.
193	the snow	雪 	*[s]ot	PNN (French) *swa:t 'rain'	nature, object	12	784	The physical world	雪	The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.
194	soft	柔 	*nu		characterisation, form	1035	1856	Sense perception	软	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).
195	the son	子	*tsəʔ		kinship	220	1620	Kinship	儿子	One's male child.
196	the sparrow	雀	*[ts]ewk		animal	336	1854	Animals	麻雀	A small song bird, in the family Passeridae.
197	the spider	蜘蛛	*tre-tro		animal	361	843	Animals	蜘蛛	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.
198	to spit	唾	*tʰˤoj-s		action	1688	1440	The body	呕吐	To forcefully evacuate saliva from the mouth.
199	to stand	立	 *k.rəp		action	1784	1442	Spatial relations	站	To be upright in an erect position, supported by the feet.
200	the star	星	*s-tsʰˤeŋ		nature, geography	5	1430	The physical world	星星	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.
201	to steal	寇	*[k]ʰˤ(r)o-s		action	1686	713	Law	偷	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.
202	the stick				object, tool	586	1295	The physical world	手杖	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.
203	the stone (a piece of)	石	*dAk		nature, substance	379	857	The physical world	石头	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.
204	straight	貞	*treŋ		characterization, form	1003	1404	Spatial relations	直	Not crooked or bent; having a constant direction throughout its length.
205	the sun	日	*C.nik 		object, geography	2	1343	The physical world	太阳	The particular star at the centre of our solar system, from which the Earth gets light and heat.
206	the tail	尾	 *[m]əjʔ		body, animal	267	1220	The body	尾巴	The appendage of an animal that is attached to its posterior and near the anus.
207	ten	十	*t.[g]əp		number	806	1515	Quantity	十	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.
208	that	彼	*pajʔ		pronoun	947	78	Miscellaneous function words	那	Demonstrative pronoun (feminine, singular): the indicated thing is implied, since it is previously mentioned. Collocation: that of; to that of.
209	there	爰	*ɢʷa[n]	Wolgang, is this correct ?	location	950	1937	Miscellaneous function words	那里	In a not completely determined place which is not here.
210	thick	厚	*Cə.[g]ˤ(r)oʔ		characterization, quantity	980	1244	Spatial relations	厚	Relatively large distance from one surface to the opposite in its smallest solid dimension.
211	the thigh	股	*kʷˤaʔ		body	100	800	The body	大腿	The area between the pelvis and buttocks and the knee.
212	thin (object)	扁	*pˤe[r]ʔ	opposite of 'thick'	characterization, form	981	2307	Spatial relations	薄	Being very narrow (of flat or long objects).
213	to think (reflect)	想	*[s]aŋʔ		action	1726	1415	Cognition	想	To actively and consciously use one's mental powers, usually to form ideas.
213	to think (reflect)	思	*[s]ə		action	1726	1415	Cognition	想	To actively and consciously use one's mental powers, usually to form ideas.
214	this	此	*[tsʰ]e(j)ʔ		pronoun	942	1214	Miscellaneous function words	这	The indicated object, item, etc.
215	thou [second person singular]	汝 	*naʔ		pronoun	931	1215	Kinship	你	The person addressed.
216	three	三	*s.rum		number	799	492	Quantity	三	The third natural number (3).
217	to throw	投	*[d]ˤo		action	1687	1456	Motion	抛	To cause (an object) to move rapidly through the air, with the force of the hand or arm.
218	the thunder	靁	*C.rˤuj 		object, phenomenon	8	1150	The physical world	雷电	Sound produced by fast air expansion induced by a lightning.
219	the tiger	虎	*qʰˤraʔ		animal	304	846	Animals	老虎	A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.
220	today				time	738	1283	Time	今天	On the current day or date.
221	tomorrow				time	742	1329	Time	明天	The day after the present day.
222	the tongue	舌 	*mə.lat		body	139	1205	The body	舌头	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.
223	the tooth (front)	齒	*t-[k]ʰə(ŋ)ʔor *t.ŋ̊əʔ	#634 PTB *d-ŋa TUSK / TOOTH	body	137	1380	The body	牙齿	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for eating.
224	the tree	木 	*C.mˤok	cf. #243 'wood'	nature, object	372	906	Agriculture and vegetation	树	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.
225	twenty				number	816	1710	Quantity	二十	The cardinal number occurring after nineteen and before twenty-one, represented in Roman numerals as XX and in Arabic numerals as 20.
226	two	二	*ni[j]-s		number	798	1498	Quantity	二	The cardinal number occurring after one and before three, represented in Roman numerals as II and in Arabic numerals as 2.
227	to vomit	嘔	*qˤ(r)oʔ	WT skyug-pa	action	1535	1278	The body	呕吐物	To regurgitate the contents of the stomach.
228	to walk	行	*Cə.[g]ˤraŋ		action	1815	1443	Motion	走	To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.
229	the water	水	*s.turʔ		nature, substance	47	948	The physical world	水	Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.
230	we [first person plural inclusive]				pronoun	930	1131	Kinship	咱们	inclusive “we”: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person)
231	wet				characterisation, state	1029	1726	Sense perception	湿	Covered with or impregnated with liquid.
232	what	何	*[g]ˤaj		pronoun, question	954	1236	Cognition	什么	Which thing.
233	the wheat	麥	*m-rˤək		object, food	410	1077	Agriculture and vegetation	麦子	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).
234	where	何處	*[g]ˤaj-t.qʰaʔ		pronoun, question	955	1237	Cognition	哪里	At what place?
235	white	翰	*[g]ˤar	white, of a horse'. Loan ?	characterisation, color	1006	1335	Sense perception	白	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
235	white	皤	*[b]ˤar	white, white-haired	characterisation, color	1006	1335	Sense perception	白	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
235	white	白 	*bˤrak	white < clear	characterisation, color	1006	1335	Sense perception	白	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
235	white	瑳	*tsʰˤarʔ	white and brilliant’ 	characterisation, color	1006	1335	Sense perception	白	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
236	who				pronoun, question	953	1235	Cognition	谁	What person or people; which person or people.
237	the wife	婦	*mə.bəʔ	WT bag-ma 'bride' 	kinship	248	1199	Kinship	妻子	A married woman. 
237	the wife	妻 	*[tsʰ]ˤəj	consort, wife'. Onset now believed to be *s-l̥-. WT zla-ba.	kinship	248	1199	Kinship	妻子	A married woman. 
238	the wind	風	*prəm		nature, phenomenon	9	960	The physical world	风	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.
239	the wing	翅 	*s-kʰe-s 		body, animal	298	1257	The body	翅膀	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.
240	to wipe	翼	*ɢʷrəp		action	1163	1454	Basic actions and technology	擦	To move an object or utensil over a surface or other object while maintaining contact, in order that a substance be removed from its surface.
241	the wolf	狼	*[r]ˤaŋ		animal	324	522	Animals	狼	A large wild canid (Canidae), closely related to the dog.
242	the woman				human being	174	962	Kinship	女人	An adult human member of the sex that produces ova and bears young.
243	the wood (material)	木	cf. #224 'tree'		plant, substance	511	1803	The physical world	木头	The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.
244	to sow (broadcast, scatter seeds)	播 	*pˤar-s	to sow broadcast	action	1597	748	Agriculture and vegetation	撒种	To scatter or disperse seeds on a field.
245	the year	年	*C.nˤi[ŋ]		time	777	1226	Time	年	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).
246	yellow	黃	*N-kʷˤaŋ		characterisation, color	1008	1424	Sense perception	黄	Having the colour of a yolk, a lemon or gold.
247	yesterday	昨	*[dz]ˤak		time	739	1174	Time	昨天	The day before today.
248	you [second person plural]				pronoun	933	1213	Kinship	你	The group of persons addressed.
249	young	幼	*[ʔ](r)iw-s		characterisation, age	1059	1207	Time	年轻	In the early part of growth or life.
250	the shit	屎	*[qʰ]ijʔ		body, substance	151	676	The body	屎	To excrete feces from one's body through the anus.
