NUMBER	GLOSS				SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	DEFINITION
20	the breast (female)	乳	*noʔ		body	94	1402	The body	乳房	The fleshy organ on the chest of a sexually mature human female containing mammary glands.
21	to burn [intransitive]				process	1269	1428	The physical world	燃燒	To be consumed by fire.
22	to buy	買	*mˤrajʔ 		action	1516	1869	Possession	买	To obtain in exchange for money or goods.
23	to chew	噍	*[dz]ewk-s		action	1424	321	Food and drink	嚼	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.
24	the child (young human)	兒	*ŋe		kinship	169	1304	Kinship	小孩子	A person below the age of puberty.
25	the cloud	雲	*[ɢ]ʷə[n]		nature	7	1489	The physical world	云	Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.
26	cold (of temperature)	寒	*Cə.[g]ˤa[n]		characterization, weather	1063	1287	Sense perception	冷	Having a low temperature.
26	cold (of temperature)	涼	*C.raŋ	WT grang-ba	characterization, weather	1063	1287	Sense perception	冷	Having a low temperature.
26	cold (of temperature)	冽	*C.r[a]t		characterization, weather	1063	1287	Sense perception	冷	Having a low temperature.
26	cold (of temperature)	凊	*[tsʰ]eŋ-s 		characterization, weather	1063	1287	Sense perception	冷	Having a low temperature.
26	cold (of temperature)	凔 	*[tsʰ]ˤaŋ		characterization, weather	1063	1287	Sense perception	冷	Having a low temperature.
27	to come	來	*mə.rˤək		action	1491	1446	Motion	来	To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.
28	correct (right)	正	*teŋ-s 		characterization, character	1045	1725	Emotions and values	正好	That are in accordance with fact.
28	correct (right)	貞	*treŋ		characterization, character	1045	1725	Emotions and values	正好	That are in accordance with fact.
29	to count	數	*s-roʔ		action	1640	1420	Quantity	數	To enumerate the digits of one's numeral system.
29	to count	選 	*[s]o[r]ʔ		action	1640	1420	Quantity	數	To enumerate the digits of one's numeral system.
31	dark	暗	*qˤum-s		characterisation, state	1013	706	Sense perception	暗	Having an absolute or (more often) relative lack of light.
32	the daughter	女	*nraʔ	also 'female' in general	kinship	222	1357	Kinship	女儿	An animal's female offspring (including that of a human).
33	the dew	露	*p.rˤak-s		nature	15	1977	The physical world	結露	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.
34	to die	死 	*sijʔ 		process	1651	1494	The body	死	To cease to live.
35	to dig	搰	*[g]ˤut		action	1698	1418	Agriculture and vegetation	挖	To move earth, rocks, etc. out of the way, usually to create a hole.
35	to dig	掘	*[g]ot, *[g]ut 		action	1698	1418	Agriculture and vegetation	挖	To move earth, rocks, etc. out of the way, usually to create a hole.
36	dirty	汙	*qʷˤra		characterisation, state	1086	1230	Sense perception	脏	Covered with or containing unpleasant substances such as dirt or grime.
37	the dog	犬	*[k]ʷʰˤ[e][n]ʔ		nature	289	2009	Animals	狗	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.
38	the dream	夢	*C.məŋ-s 		mind	699	2374	The body	夢	Successions of images, ideas, emotions, and sensations that occur usually involuntarily in the mind during certain stages of sleep. [W]
39	to drink	飲	*q(r)[u]mʔ 		action	1370	1401	Food and drink	喝	To consume a liquid through the mouth.
40	dry	乾	*[k]ˤar 		characterisation, state	1028	1398	Sense perception	干	(Almost) free from liquid or moisture.
41	the dust	塵	*[d]rə[n]		nature	45	2	The physical world	塵土	Any kind of solid material divided in particles of very small size.
42	the ear	耳	*C.nəʔ		body	81	1247	The body	耳朵	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.
43	early	早	*Nə.tsˤuʔ		time	1018	672	Time	早	Before the expected time.
44	the earth (soil)	土	*tʰˤaʔ		nature	40	1228	The physical world	土地	The soft and loose material forming a great part of the Earth surface.
45	the earthworm	蚯蚓	*[k]ʷʰə-[ɢ](r)ə[r]ʔ		animal	363	2350	Animals	蚯蚓	A tube-shaped, segmented worm found in the phylum Annelida. [W]
46	to eat	食	*mə-lək		action	1198	1336	Food and drink	吃	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.
47	the egg	卵	*k.rˤorʔ	polite, literary	animal, product	450	744	Food and drink	（鸡）蛋	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.
47	the egg	(no char.)	*tʰu[r]	vulgar, popular	animal, product. LS recons.	450	744	Food and drink	（鸡）蛋	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.
48	eight	八	*pˤret 		number	804	1705	Quantity	八	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.
49	the eye	目	*C.m(r)[u]k		body	79	1248	The body	眼睛	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.
50	far	遠	*C.ɢʷanʔ		characterisation, location	974	1406	Spatial relations	远	Having a large intervening distance with regard to something.
51	the father	父	*[N-p](r)aʔ		kinship	218	1217	Kinship	爸爸	A male parent.
