ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
448075	awake	825	AWAKE
446720	overflow, go out of sight	Ø	-
442238	grandfather	1383	GRANDFATHER
445838	rude, overbearing, ill-behaved	1412	RUDE
445496	shy, be modest	487	SHY
442678	weave	133	WEAVE
446024	pus	1808	PUS
442334	abundant, be plenty	Ø	-
447988	fear, be afraid of	781	FEAR (FRIGHT)
443390	fruit	1507	FRUIT
446210	fruit	Ø	-
445635	push, press, print	1452	PUSH
444071	stink, smell bad	Ø	-
445094	juice, curry	1499	JUICE
442568	post, put s.th. on the wall	281	POST
442135	carry on back	465	CARRY ON BACK
442520	melt	2334	MELT
446732	pool, pond, lake	2035	POND
442714	corner, angle	192	CORNER
443920	emphasize, stress, fond of	Ø	-
444682	ask, inquire	1309	ASK (INQUIRE)
447539	night	1233	NIGHT
443973	aperture, hole, opening	1667	HOLE
443017	sleepy	Ø	-
445265	curry, dish	481	DISH
442119	body, stomach	1480	BODY
442759	burst, rupture	Ø	-
442006	separate, debar	1359	SEPARATE
444098	trap, mesh, tangle	1075	TRAP (PITFALL)
448005	necessary, essential	1030	NECESSARY
446155	decay, rot	Ø	-
443475	loom	1787	LOOM
444448	inside	1606	INSIDE
442072	augmentative	Ø	-
443152	foam, bubble	1768	FOAM
441704	owe	369	OWE
442821	door, gate	1567	DOOR
447560	pointed, sharp	372	POINTED
444832	seven	1704	SEVEN
441959	length	2537	LENGTH
448109	body lice	Ø	-
443807	scratch	1436	SCRATCH
447278	pig	1337	PIG
442594	sheep	1331	SHEEP
447724	late, slow	425	BE LATE
444111	wilt, shrivel, wither	Ø	-
445772	fish	227	FISH
442190	accept, embrace	928	EMBRACE
445325	goat	1502	GOAT
442422	diligent, active (in doing sth)	2077	DILIGENT
445569	fragments, pieces, coins	Ø	-
441591	chief, lord	2394	CHIEF
446518	chief, lord	Ø	-
441595	chin	1510	CHIN
442780	chin	Ø	-
442011	press down	Ø	-
443117	compose, create (e.g. a song)	Ø	-
446342	rope, cord	1218	ROPE
445153	steam, vapor	1193	STEAM
446043	snore	1983	SNORE
444511	thick, dense	1244	THICK
447380	back (of a person or animal), spine	1291	BACK
446469	bow	994	BOW
517779	future marker	Ø	-
448084	separate	Ø	-
444611	pine	1740	PINE
443160	grumble, mutter	Ø	-
444121	banana, banana leaf	868	BANANA
445464	fire, tail	221	FIRE
447347	wander, roam, crawl	96	CRAWL
446113	believe, to trust	1890	BELIEVE
442693	near, beside	1942	NEAR
444586	kiss, suck	578	KISS
442111	bloat, swell	1573	SWELL
445858	sulk	Ø	-
446311	peers, comtemporary, friend	1325	FRIEND
447242	husk, chaff	2363	CHAFF (HUSK)
445863	appearance, face, shape, form	1017	APPEARANCE
442329	youth, adolescence	Ø	-
447257	land leech	949	WATER LEECH
444501	upward slope, ascent	Ø	-
447162	breadth, width	2536	BREADTH
443577	tree, wood	906	TREE
443669	cosmos, village	930	VILLAGE
447330	throw, scatter	1456	THROW
443784	peel off, strip	275	PEEL
444000	open (as door)	1156	OPEN
442127	born	1090	BE BORN
444922	hair (head)	1040	HAIR
442752	blaze, burn	141	BURN (SOMETHING)
446177	number eight	1356	NUMBER
446488	buy, purchase	1869	BUY
445425	seed	714	SEED
442408	calculate, reckon	Ø	-
517757	fame	865	FAME
448080	blink	1655	BLINK
442174	deviate, astray	Ø	-
442437	endure, suffer, tolerate	833	ENDURE
442903	horn	939	HORN (INSTRUMENT)
441982	oppose, to fight	Ø	-
446850	road, path, way	667	ROAD
445615	possess, have, own	773	HAVE
444702	build, connect	1840	BUILD
442247	grandmother	1496	GRANDMOTHER
443231	sweep	230	SWEEP
441573	cheat, lie	601	LIE (MISLEAD)
445752	dare	1779	DARE
446942	lead, guide	43	LEAD (GUIDE)
445830	long-tail monkey	Ø	-
442201	father	1217	FATHER
442398	anal, anus	1935	ANUS
445538	day, sun	1225	DAY (NOT NIGHT)
448148	dry season, summer	452	DRY SEASON
443743	clot, freeze, solidify	1431	FREEZE
444932	high	1265	HIGH
445296	eye	1248	EYE
446327	rain	658	RAIN (PRECIPITATION)
443208	rind, shield, animal skin	1064	SHIELD
442210	fiber, thread, cotton	1161	THREAD
444483	sesame seed	Ø	-
445230	capture, catch up, arrest	702	CATCH
445740	boar, wild pig	1348	BOAR
442899	hollow	46	HOLLOW OUT
