NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
154	the snake	730	347	541939	snake (n.)
155	the snow	784	12	542343	snow (n.)
156	the son	1620	220	542411	boy, son (n.)
157	the sparrow	1854	336		
158	the spider	843	361		
159	the star	1430	5	541907	star (n.)
160	the stick	1295	586	541702	stick (n.)
161	the stone (a piece of)	857	379	542595	stone (n.)
162	the sun	1343	2	542181	sun (n.)
163	the tail	1220	267	542239	tail (n.)
164	the thigh	800	100	541984	thigh (n.)
165	the thunder	1150	8	542089	
166	the tiger	846	304	542599	tiger (n.)
167	the tongue	1205	139	541857	tongue (n.)
168	the tooth (front)	1380	137	542370	tooth (n.)
169	the tree	906	372		
170	the water	948	47	542459	water (n.)
171	the wheat	1077	410	542288	wheat (n.)
172	the wife	1199	248	542339	wife (n.)
173	the wind	960	9	542123	wind (n.)
174	the wing	1257	298		
175	the wolf	522	324		
176	the woman	962	174		
177	the wood (material)	1803	511	542409	wood (n.)
178	the year	1226	777	542497	
179	there	1937	950	541536	there (adv.)
179	there	1937	950	541534	there (adv.)
180	thick	1244	980	542270	thick (liquid) (adj.)
181	thin (object)	2307	981	541985	
182	this	1214	942	541521	these (used for human beings) (adv.)
183	thou [second person singular]	1215	931	541771	
184	three	492	799	542381	three (num.)
185	to be alive	1422	1087	542529	alive (adj.)
186	to bite	1403	1753	541607	pinch, bite (vt.)
187	to blow (of wind)	175	1738		
188	to burn [intransitive]	1428	1269	541622	burn, ignite (vt.)
189	to buy	1869	1516	542479	stop; understand; buy (vt.)
190	to chew	321	1424	542194	chew (something which is something hard) (vt.)
191	to come	1446	1491	542280	come (vi.)
192	to count	1420	1640	541840	count (vt.)
193	to cry (weep)	1420	1485	541840	count (vt.)
194	to die	1494	1651	541825	die, be extinguished (vi.)
195	to dig	1418	1698	541929	dig, scratch (vt.)
196	to drink	1401	1370	542487	drink (vt.)
197	to eat	1336	1198	541736	eat (vt.)
198	to fight	1423	1234	541689	fight (vi.)
199	to float	1574	1553	541841	float (vi.)
200	to flow	2003	1502	541578	flow, be opened (vi.)
201	to fly (move through air)	1441	1318	542252	fly (vi.)
202	to forget	1523	1704	542015	forget (vi.)
203	to give	1447	1345	541688	give (vt.)
204	to hear	1408	1682	542316	hear, agree, accept (vi.)
205	to hide (conceal)	602	1169	541638	hide (vt.)
206	to hold	1448	1709		
207	to hunt	1435	1230		
208	to kill	1417	1602	542355	kill, extinguish (vt.)
209	to knead	274	1594	541705	knead (vt.)
210	to know (something)	1410	1398	541989	lick; know (vt.)
211	to laugh	1355	1735	541838	laugh (vi.)
212	to learn	504	1742	542031	learn (vi.)
213	to lick	319	1674	541989	lick; know (vt.)
214	to lie down	215	1661		
215	to marry (a man marries a woman)	2164	1578		
216	to plant (vegetals, rice)	1486	1774		
217	to play	1413	1703	541994	play (vi.)
218	to pull	1455	1568	542135	pull (vt.)
219	to push	1452	1689	542547	strike a match; push (vt.)
220	to reside (live)	1099	1452	542126	
221	to run	1519	1544	541861	run (vi.)
222	to scratch	1436	1530	541929	dig, scratch (vt.)
223	to see	1409	1471	542468	see, be found (vi.)
224	to shoot (an arrow)	1172	1611		
225	to sing	1261	1184	542476	sing (vt.)
226	to sleep	1585	1646	542621	sleep (vi.)
227	to smell (perceive odor) [transitive]	1586	1707	542154	smell (vi.)
228	to sow (broadcast, scatter seeds)	748	1597	542640	sow (vt.)
229	to spit	1440	1688	542490	spit (vi.)
230	to stand	1442	1784	542622	stand (vi.)
231	to steal	713	1686	541960	steal (vt.)
232	to think (reflect)	1415	1726	541621	think (vi.)
233	to throw	1456	1687	541935	throw (stone, etc.) (vt.)
234	to vomit	1278	1535	542013	vomit (vt.)
235	to walk	1443	1815	541712	go (vi.)
235	to walk	1443	1815	542645	walk (vi.)
236	to wipe	1454	1163	542403	apply something, wipe (vt.)
237	today	1283	738	542511	today (adv.)
238	tomorrow	1329	742	541653	tomorrow (adv.)
239	twenty	1710	816	542120	twenty (num.)
240	two	1498	798	542116	two (num.)
241	we [first person plural inclusive]	1131	930	541874	
242	wet	1726	1029	542509	wet, watery (adj.)
243	what	1236	954		
244	where	1237	955	542592	where (adv.)
245	white	1335	1006	542399	white (adj.)
246	who	1235	953	542593	who (pro.)
247	yellow	1424	1008	542025	yellow (adj.)
248	yesterday	1174	739	542140	yesterday (adv.)
249	you [second person plural]	1213	933	541768	
250	young	1207	1059		
