117	the louse	1392	356	547345	louse
118	the lung	688	143	547005	lungs
119	the man (male human)	2106	173		???
120	the meat	634	443		???
121	the moon	1313	4	546806	moon
122	the mosquito	1509	360	547087	mosquito
123	the mother	1216	219	546256	mother
124	the mountain	639	23	547196	mountain, a big rock
125	the mouse or rat	2139	320	547132	rat, mouse
126	the mouth	674	84		???
127	the mud	640	46	546743	mud
128	the nail (fingernail or claw)	2128	113		???
129	the name	1405	687	546782	name, world
129	the name	1405	687	547103	name
130	the neck	1333	89		???
131	the needle (for sewing)	1382	578	546910	needle
132	the nit	267	357		???
133	the nose	1221	80	547166	nose
134	the otter	15	317		???
135	the pig	1337	284	547404	pig
136	the rain	658	10	546311	rain
137	the rainbow	1733	11		???
138	the rice plant	2026	439		???
139	the river	666	30	546698	river
140	the road	667	38	546237	path, way, road
141	the root	670	375	546822	root
142	the rope	1218	619	546621	rope
142	the rope	1218	619	547306	rope
142	the rope	1218	619	547516	rope
143	the salt	1274	61	546467	salt
144	the sand	671	44	546307	sand
145	the sea	1474	32	547433	sea
146	the seed	714	405	546875	seed, sprout
146	the seed	714	405	547216	seed
147	the sheep	1331	275	547048	sheep
147	the sheep	1331	275	547384	kill a goat or sheep
148	the shit	676	151	546252	defecate
148	the shit	676	151	546990	manure, dung
149	the shoulder	1482	90	546846	shoulder
149	the shoulder	1482	90	546891	shoulder
150	the sickle	341	624	547425	sickle
151	the skin	763	120	546415	skin
151	the skin	763	120	547004	skin
152	the sky	1732	1	546251	sky
153	the smoke	778	19	546937	smoke
154	the snake	730	347	546401	snake, insect
155	the snow	784	12	546246	snow
155	the snow	784	12	546245	snow
156	the son	1620	220	546470	son
157	the sparrow	1854	336		???
158	the spider	843	361	547044	spider
159	the star	1430	5	547473	star
160	the stick	1295	586	546315	stick, cane
160	the stick	1295	586	546797	stick
161	the stone (a piece of)	857	379	547593	stone
162	the sun	1343	2	547137	sun
163	the tail	1220	267	547229	tail
164	the thigh	800	100	547501	thigh
165	the thunder	1150	8		???
166	the tiger	846	304	546298	tiger
167	the tongue	1205	139	546803	tongue
168	the tooth (front)	1380	137	547369	tooth
169	the tree	906	372	546616	tree
170	the water	948	47	547495	water
171	the wheat	1077	410	546781	wheat
172	the wife	1199	248	547581	wife
173	the wind	960	9	546286	wind
174	the wing	1257	298		???
175	the wolf	522	324		???
176	the woman	962	174	546883	young girl, lady
177	the wood (material)	1803	511	547390	wood
178	the year	1226	777	547358	year
178	the year	1226	777	547614	year
179	there	1937	950	546555	there
179	there	1937	950	546575	there, near by, at
180	thick	1244	980		???
181	thin (object)	2307	981		???
182	this	1214	942	546599	this
182	this	1214	942	546601	this
182	this	1214	942	546602	this
182	this	1214	942	546604	these
182	this	1214	942	546606	this
183	thou [second person singular]	1215	931		???
184	three	492	799	547413	three
185	to be alive	1422	1087	546746	sit, live, be
186	to bite	1403	1753		???
187	to blow (of wind)	175	1738	546642	blow, sound of something falling
187	to blow (of wind)	175	1738	547276	blow, puff
188	to burn [intransitive]	1428	1269	547015	burn
189	to buy	1869	1516	546488	buy
190	to chew	321	1424	546405	chew
191	to come	1446	1491	547340	come
192	to count	1420	1640	546687	count
193	to cry (weep)	1420	1485	546687	count
194	to die	1494	1651	546318	pass away
194	to die	1494	1651	547368	kill, extinguish
194	to die	1494	1651	547391	die, extinguish
195	to dig	1418	1698	546959	dig
