211	to laugh	1355	1735		???
212	to learn	504	1742		???
213	to lick	319	1674		???
214	to lie down	215	1661		???
215	to marry (a man marries a woman)	2164	1578		???
216	to plant (vegetals, rice)	1486	1774		???
217	to play	1413	1703		???
218	to pull	1455	1568		???
219	to push	1452	1689		???
220	to reside (live)	1099	1452		???
221	to run	1519	1544		???
222	to scratch	1436	1530		???
223	to see	1409	1471		???
224	to shoot (an arrow)	1172	1611		???
225	to sing	1261	1184		???
226	to sleep	1585	1646		???
227	to smell (perceive odor) [transitive]	1586	1707		???
228	to sow (broadcast, scatter seeds)	748	1597		???
229	to spit	1440	1688		???
230	to stand	1442	1784		???
231	to steal	713	1686		???
232	to think (reflect)	1415	1726		???
233	to throw	1456	1687		???
234	to vomit	1278	1535		???
235	to walk	1443	1815		???
236	to wipe	1454	1163		???
237	today	1283	738		???
238	tomorrow	1329	742		???
239	twenty	1710	816		???
240	two	1498	798		???
241	we [first person plural inclusive]	1131	930		???
242	wet	1726	1029		???
243	what	1236	954		???
244	where	1237	955		???
245	white	1335	1006		???
246	who	1235	953		???
247	yellow	1424	1008		???
248	yesterday	1174	739		???
249	you [second person plural]	1213	933		???
250	young	1207	1059		???
