NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
189	to buy	1869	1516		
190	to chew	321	1424	543955	chew (v.)
191	to come	1446	1491	544329	come (v.)
192	to count	1420	1640		
193	to cry (weep)	1420	1485		
194	to die	1494	1651	544393	die (v.)
195	to dig	1418	1698	544009	dig (v.)
196	to drink	1401	1370		544461
197	to eat	1336	1198	543899	eat (v.)
198	to fight	1423	1234	543783	fight (v.)
199	to float	1574	1553		
200	to flow	2003	1502		
201	to fly (move through air)	1441	1318	544073	fly (v.)
202	to forget	1523	1704	544040	forget (v.)
203	to give	1447	1345	543781	give, offer (v.)
204	to hear	1408	1682	544585	hear (v.)
205	to hide (conceal)	602	1169	543746	hide (v.)
206	to hold	1448	1709	543727	hold (v.)
207	to hunt	1435	1230	544125	drive (cattle) (v.)
208	to kill	1417	1602	544368	kill (v.)
209	to knead	274	1594	544249	knead (v.)
210	to know (something)	1410	1398	544210	know (v.)
211	to laugh	1355	1735		
212	to learn	504	1742		
213	to lick	319	1674		
214	to lie down	215	1661		
215	to marry (a man marries a woman)	2164	1578		
216	to plant (vegetals, rice)	1486	1774	543792	plant (v.)
217	to play	1413	1703	544507	play (v.)
218	to pull	1455	1568		
219	to push	1452	1689	543813	push (v.)
220	to reside (live)	1099	1452		???
221	to run	1519	1544	543851	run (v.)
222	to scratch	1436	1530	543771	scratch (v.)
223	to see	1409	1471	544469	see (v.)
224	to shoot (an arrow)	1172	1611	544366	shoot (v.)
225	to sing	1261	1184	543664	sing (v.)
226	to sleep	1585	1646	544569	sleep (v.)
227	to smell (perceive odor) [transitive]	1586	1707	543660	smell
228	to sow (broadcast, scatter seeds)	748	1597	544582	sow (v.)
229	to spit	1440	1688		
230	to stand	1442	1784	544474	stand (quite) (v.)
231	to steal	713	1686	544000	steal (v.)
232	to think (reflect)	1415	1726		
233	to throw	1456	1687	544525	throw (v.)
234	to vomit	1278	1535	544056	vomit (v.)
235	to walk	1443	1815	543785	go (v.)
236	to wipe	1454	1163		
237	today	1283	738	544497	today
238	tomorrow	1329	742	544012	tomorrow
239	twenty	1710	816		
240	two	1498	798		
241	we [first person plural inclusive]	1131	930	544166	we (pl. incl.)
242	wet	1726	1029	544485	wet
243	what	1236	954	544013	what
244	where	1237	955	544545	where
245	white	1335	1006	544396	white
246	who	1235	953	544014	who
247	yellow	1424	1008		
248	yesterday	1174	739	544165	yesterday
249	you [second person plural]	1213	933	543861	you (pl.)
250	young	1207	1059	543928	young
