rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
544456	tɔm-mo	appear	v.	SK-TBLUP	2110	Darma	820
544455	tolya	deaf		SK-TBLUP	2110	Darma	819
544454	to-ɕi-mo	stop	v.	SK-TBLUP	2110	Darma	818
544453	to-mo	obstruct	v.	SK-TBLUP	2110	Darma	817
544452	to-mo	burn (vi.), forbid	v.	SK-TBLUP	2110	Darma	816
544451	tɔ-mo	light (a lamp)	v.	SK-TBLUP	2110	Darma	815
544450	tirpe-nu	rough		SK-TBLUP	2110	Darma	814
544449	tire-mətən	there (invisible)		SK-TBLUP	2110	Darma	813
544448	tire	there (visible)		SK-TBLUP	2110	Darma	812
544447	tir	arrow		SK-TBLUP	2110	Darma	811
544446	tiŋ-nu	green		SK-TBLUP	2110	Darma	810
544445	tibri	kettle		SK-TBLUP	2110	Darma	809
544444	ti-mo	swallow	v.	SK-TBLUP	2110	Darma	808
544443	ti	water		SK-TBLUP	2110	Darma	807
544442	tewari	window		SK-TBLUP	2110	Darma	806
544441	tete	father's father, mother's father		SK-TBLUP	2110	Darma	805
544440	te-mo	weep	v.	SK-TBLUP	2110	Darma	804
544439	tawi	bowl (for cooking rice)		SK-TBLUP	2110	Darma	803
544438	tati	have	v.	SK-TBLUP	2110	Darma	802
544437	tata	sister		SK-TBLUP	2110	Darma	801
544436	tarɯm	key		SK-TBLUP	2110	Darma	800
544435	tar-ta-su	slow, slowly		SK-TBLUP	2110	Darma	799
544434	tar-su	low voice		SK-TBLUP	2110	Darma	798
544433	tar-nu	strong		SK-TBLUP	2110	Darma	797
544432	tanu-yiŋ	last year		SK-TBLUP	2110	Darma	796
544431	tal	uvula		SK-TBLUP	2110	Darma	795
544430	tak-sa	supporting pillar		SK-TBLUP	2110	Darma	794
544429	ta-no	hot (like chili)		SK-TBLUP	2110	Darma	793
544428	ta-mo	keep, put up	v.	SK-TBLUP	2110	Darma	792
544427	ta-mo	carry on head	v.	SK-TBLUP	2110	Darma	791
544426	ta-jya	two days before yesterday		SK-TBLUP	2110	Darma	790
544425	ɕɯm-jya	two days after tomorrow		SK-TBLUP	2110	Darma	789
544424	ɕəŋ-jəŋ-gɔ	lizard (wild, big)		SK-TBLUP	2110	Darma	788
544423	ɕəŋ-dɯm	garlic		SK-TBLUP	2110	Darma	787
544422	ɕyai	ink		SK-TBLUP	2110	Darma	786
544421	ɕya	meat		SK-TBLUP	2110	Darma	785
544420	ɕya	king		SK-TBLUP	2110	Darma	784
544419	ɕya	flesh		SK-TBLUP	2110	Darma	783
544418	ɕɔŋ-mo	leak	v.	SK-TBLUP	2110	Darma	782
544417	ɕo-ni	autumn		SK-TBLUP	2110	Darma	781
544416	ɕo-kəŋ-mo	mercy (to have)	v.	SK-TBLUP	2110	Darma	780
544415	ɕi◦ɕɔ	heart		SK-TBLUP	2110	Darma	779
544414	ɕiri	son; brother's son		SK-TBLUP	2110	Darma	778
544412	ɕir-ɕi-mo	move	v.	SK-TBLUP	2110	Darma	776
544413	ɕiri	boy		SK-TBLUP	2110	Darma	777
544411	ɕir-no	sour		SK-TBLUP	2110	Darma	775
544410	ɕinu-bətə	bean		SK-TBLUP	2110	Darma	774
544409	ɕini	cold		SK-TBLUP	2110	Darma	773
544408	ɕiŋ-wəm	ginger		SK-TBLUP	2110	Darma	772
544407	ɕiŋ-dala	log		SK-TBLUP	2110	Darma	771
544406	ɕiŋ	wood		SK-TBLUP	2110	Darma	770
544405	ɕiŋ	tree		SK-TBLUP	2110	Darma	769
544404	ɕiŋ	stick		SK-TBLUP	2110	Darma	768
544403	ɕiŋ	fire-wood		SK-TBLUP	2110	Darma	767
544402	ɕimɛ-lo	nipple		SK-TBLUP	2110	Darma	766
544401	ɕimɛ	breast		SK-TBLUP	2110	Darma	765
544400	ɕilmu	raw (vegetable)		SK-TBLUP	2110	Darma	764
544399	ɕildu	dough		SK-TBLUP	2110	Darma	763
544398	ɕilbər	aluminum		SK-TBLUP	2110	Darma	762
544397	ɕik-su-nɔ	slope		SK-TBLUP	2110	Darma	761
544396	ɕi-no	white		SK-TBLUP	2110	Darma	760
544395	ɕi-mo	paint	v.	SK-TBLUP	2110	Darma	759
544394	ɕi-ji-mo	use	v.	SK-TBLUP	2110	Darma	758
544393	ɕi-ci-mo	die	v.	SK-TBLUP	2110	Darma	757
544392	ɕi	blood		SK-TBLUP	2110	Darma	756
544391	ɕepi-ci-mo	pinch	v.	SK-TBLUP	2110	Darma	755
544390	ɕɛn-cən	child		SK-TBLUP	2110	Darma	754
544389	ɕeli	brass		SK-TBLUP	2110	Darma	753
544388	ɕak-ɕi-mo	wear (ornament)	v.	SK-TBLUP	2110	Darma	752
544387	sɯ so	tooth		SK-TBLUP	2110	Darma	751
544386	səŋ-dəmɛ	drum		SK-TBLUP	2110	Darma	750
544385	səl	charcoal		SK-TBLUP	2110	Darma	749
544384	syaŋ-we	precipice		SK-TBLUP	2110	Darma	748
544383	syal	jackal		SK-TBLUP	2110	Darma	747
544382	suər	pig		SK-TBLUP	2110	Darma	746
544380	sumlo	foam		SK-TBLUP	2110	Darma	744
544381	supari	nut (betel)		SK-TBLUP	2110	Darma	745
544379	suk-tsi	mole		SK-TBLUP	2110	Darma	743
544378	suk-tsɛ	comb		SK-TBLUP	2110	Darma	742
544377	sɔŋ	village		SK-TBLUP	2110	Darma	741
544375	sikən	sickle		SK-TBLUP	2110	Darma	739
544376	silɛ	vulture		SK-TBLUP	2110	Darma	740
544374	sew	apple		SK-TBLUP	2110	Darma	738
544373	sero	forest		SK-TBLUP	2110	Darma	737
544372	sɛl-chu	rainy season		SK-TBLUP	2110	Darma	736
544371	sɛ-tho-mo	worship	v.	SK-TBLUP	2110	Darma	735
544370	se-mo	cross	v.	SK-TBLUP	2110	Darma	734
544369	se-mo	cold (feel cold)	v.	SK-TBLUP	2110	Darma	733
544368	sɛ-mo	kill	v.	SK-TBLUP	2110	Darma	732
544367	sɛ-mo	extinguish	v.	SK-TBLUP	2110	Darma	731
544366	sɛ-ga-mo	shoot	v.	SK-TBLUP	2110	Darma	730
544365	saro, hre	garden		SK-TBLUP	2110	Darma	729
544364	saro	hard		SK-TBLUP	2110	Darma	728
544363	saŋ-wa	tiger		SK-TBLUP	2110	Darma	727
