NUMBER	GLOSS	OCH	CHAR
106	snake	*Cə.lAj	蛇
107	worm (earthworm)	*[m-q](r)ə[r]ʔ 	蚓
108	louse	*sri[t] 	蝨
109	mosquito	*C.mə[n]	蚊
110	spider	*tro 	蛛
111	fish	*ŋ(r)a 	魚
112	rotten	*[b](r)oʔ 	腐
113	branch	*ke 	支
114	leaf	*l[a]p	葉
115	root	*[k]ˤə[n]	根
116	flower	*qʷʰˤra 	華
117	fruit	*mə.li[t] 	實
118	grass	*[tsʰ]ˤuʔ	草
119	earth/soil	*tʰˤaʔ 	土
120	stone	*dAk 	石
121	sand	*[s]ˤraj	沙
122	water	*s.turʔ 	水
123	to flow	*[r]u 	流
124	sea	*m̥ˤəʔ 	海
125	salt	*rˤaʔ	鹵
126	lake	*[g]ˤa	湖
127	woods/forest	*k.r[ə]m	林
128	sky	*l̥ˤi[n]	天
129	moon	*[ŋ]ʷat	月
130	star	*s-tsʰˤeŋ 	星
131	cloud	*[ɢ]ʷə[n]	雲
132	fog	*kə.m(r)[o]k-s 	霧
133	rain	*C.ɢʷ(r)aʔ 	雨
134	thunder	*C.rˤuj	雷
135	lightning	*lˤi[n]-s	電
136	wind	*prəm 	風
137	to blow	*qʰˤa, *qʰˤa-s 	呼
138	warm, gentle	*ʔˤun	温
139	cold	*Cə.[g]ˤa[n] 	寒
140	dry	*[k]ˤar 	乾
141	wet	*[qʰ]ip	濕
142	heavy	*N-t<r>oŋʔ 	重
143	fire	*[qʷʰ]ˤəjʔ 	火
144	to burn	*[b]u[n]	焚
145	smoke	*[q]ˤi[n] 	烟
146	ash		灰
147	black	*m̥ˤək 	黑
148	white	*bˤrak 	白
149	red	*[t-qʰ](r)Ak 	赤
150	yellow	*N-kʷˤaŋ 	黄
151	green	*N-sˤ<r>eŋ 	青
152	small	*[s]ewʔ 	小
153	big	*lˤa[t]-s 	大
154	short	*tˤorʔ 	短
155	long	*Cə-[N]-traŋ 	長
156	thin	*qʰəj	希 
157	thick	*tˤur 	敦
158	narrow	*N-kˤ<r>ep 	狹
159	wide	*kʷˤaŋʔ 	廣
160	painful, sick	*[dz]i[t]	疾
161	shy, ashamed		-
162	old	*C-rˤuʔ 	老
163	new	*C.si[n]	新
164	good	*qʰˤuʔ 	好
165	bad, evil	*ʔˤak 	惡
166	correct, true	*teŋ-s	正
167	night	*[ɢ]Ak-s	夜
168	day	*C.ni[t] 	日
169	year	*s-qʷʰat-s	歲
175	above	*[d]aŋʔ-s 	上
176	below	*gˤraʔ 	下
177	this	*[d]ə ~ *[d]əʔ	時
178	that	*pajʔ 	彼
179	near	*N-kərʔ 	近
180	far	*C.ɢʷa[n]ʔ	遠
181	where?	*[g]ˤaj *t.qʰaʔ	何處
182	I	*ŋˤa 	吾
183	thou	*naʔ 	汝
184	he/she	*ʔij 	伊
185	we	*ŋˤajʔ 	我
186	you	*naʔ	汝
188	what?	*[g]ˤaj 	何
189	who?	*[d]uk 	孰
191	all	*[g]ˤr[ə]m	咸 
192	and	*m-rˤəp 	眔
194	how?	*na *[g]ˤaj 	如何
195	no, not	*pə 	不
195	no, not	*put	弗 
196	to count	*s-roʔ 	數
197	One	*ʔi[t] 	一
198	Two	*ni[j]-s 	二
199	Three	*sr[u]m	三
200	Four	*s.li[j]-s 	四
201	Five	*C.ŋˤaʔ 	五
202	Six	*k.ruk	六
203	Seven	*[tsʰ]i[t] 	七
204	Eight	*pˤret 	八
205	Nine	*[k]uʔ 	九
206	Ten	*t.[g]əp 	十
