ID	CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELEX	SWADESH_1952	SWADESH_1955	TOWEROFBABEL	SUBGROUP	DOCULECT	ENTRY_IN_SOURCE	IPA	TOKENS	ALIGNMENT	NOTE	GLOSS_IN_SOURCE	HANZI	COGID	SOURCE	SCAID
51	above	7064	-	Function word	12081	above (175)	-	-	-	-	rGyalrongic	Stau	-	-	-	-	-	-	-	0	-	0
52	above	7064	-	Function word	12081	above (175)	-	-	-	-	rGyalrongic	Tangut	-	-	-	-	-	-	-	0	-	0
53	above	7064	-	Function word	12081	above (175)	-	-	-	-	rGyalrongic	Zbu	-	-	-	-	-	-	-	0	-	0
#
54	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Dashi	-	-	-	-	-	-	-	0	-	0
55	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Zhaozhuang	-	-	-	-	-	-	-	0	-	0
56	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Ega	-	-	-	-	-	-	-	0	-	0
57	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Enqi	-	-	-	-	-	-	-	0	-	0
58	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Eryuan	-	-	-	-	-	-	-	0	-	0
59	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Gongxing	-	-	-	-	-	-	-	0	-	0
60	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Heqi	-	-	-	-	-	-	-	0	-	0
61	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Jianchuan	-	-	-	-	-	-	-	0	-	0
62	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Jinman	-	-	-	-	-	-	-	0	-	0
63	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Jinxing	-	-	-	-	-	-	-	0	-	0
64	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Luobenzhuo	-	-	-	-	-	-	-	0	-	0
65	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Mazhelong	-	-	-	-	-	-	-	0	-	0
66	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Qiliqiao	-	-	-	-	-	-	-	0	-	0
67	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Xiangyun	-	-	-	-	-	-	-	0	-	0
68	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Yunlong	-	-	-	-	-	-	-	0	-	0
69	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bai	Zhoucheng	-	-	-	-	-	-	-	0	-	0
70	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bodic	Cone_Tibetan	-	-	-	-	-	-	-	0	-	0
71	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bodic	Lhasa_Tibetan	-	-	-	-	-	-	-	0	-	0
72	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Bodic	Old_Tibetan	-	-	-	-	-	-	-	0	-	0
73	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Achang_Lianghe	-	-	-	-	-	-	-	0	-	0
74	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Achang_Longchuan	-	-	-	-	-	-	-	0	-	0
75	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Achang_Luxi	-	-	-	-	-	-	-	0	-	0
76	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Atsi	-	-	-	-	-	-	-	0	-	0
77	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Bola	-	-	-	-	-	-	-	0	-	0
78	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Burmese	-	-	-	-	-	-	-	0	-	0
79	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Hpun	-	-	-	-	-	-	-	0	-	0
80	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Lashi	-	-	-	-	-	-	-	0	-	0
81	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Maru	-	-	-	-	-	-	-	0	-	0
82	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Old_Burmese	-	-	-	-	-	-	-	0	-	0
83	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Burmish	Xiandau	-	-	-	-	-	-	-	0	-	0
84	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Dumi	-	-	-	-	-	-	-	0	-	0
85	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Khaling	-	-	-	-	-	-	-	0	-	0
86	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Limbu	-	-	-	-	-	-	-	0	-	0
87	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Wambule	-	-	-	-	-	-	-	0	-	0
88	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Yakkha	-	-	-	-	-	-	-	0	-	0
89	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Kiranti	Yamphu	-	-	-	-	-	-	-	0	-	0
90	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Nungish	Dulong	-	-	-	-	-	-	-	0	-	0
91	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	SAL	Jingpo	-	-	-	-	-	-	-	0	-	0
92	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Beijing	-	-	-	-	-	-	-	0	-	0
93	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Caijia	-	-	-	-	-	-	-	0	-	0
94	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Changsha	-	-	-	-	-	-	-	0	-	0
95	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Ganzhou	-	-	-	-	-	-	-	0	-	0
96	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Guangzhou	-	-	-	-	-	-	-	0	-	0
97	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Meixian	-	-	-	-	-	-	-	0	-	0
98	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Old_Chinese	-	-	-	-	-	-	-	0	-	0
99	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	Sinitic	Xiamen	-	-	-	-	-	-	-	0	-	0
100	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Guiqiong	-	-	-	-	-	-	-	0	-	0
101	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Japhug	-	-	-	-	-	-	-	0	-	0
102	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Khroskyabs_Wobzi	-	-	-	-	-	-	-	0	-	0
103	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Muya	-	-	-	-	-	-	-	0	-	0
104	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Stau	-	-	-	-	-	-	-	0	-	0
105	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Tangut	-	-	-	-	-	-	-	0	-	0
106	all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)	rGyalrongic	Zbu	-	-	-	-	-	-	-	0	-	0
#
107	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Dashi	-	-	-	-	-	-	-	0	-	0
108	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Zhaozhuang	-	-	-	-	-	-	-	0	-	0
109	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Ega	-	-	-	-	-	-	-	0	-	0
110	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Enqi	-	-	-	-	-	-	-	0	-	0
111	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Eryuan	-	-	-	-	-	-	-	0	-	0
112	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Gongxing	-	-	-	-	-	-	-	0	-	0
113	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Heqi	-	-	-	-	-	-	-	0	-	0
114	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Jianchuan	-	-	-	-	-	-	-	0	-	0
115	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Jinman	-	-	-	-	-	-	-	0	-	0
116	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Jinxing	-	-	-	-	-	-	-	0	-	0
117	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Luobenzhuo	-	-	-	-	-	-	-	0	-	0
118	and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-	Bai	Mazhelong	-	-	-	-	-	-	-	0	-	0
