# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
8682	-	-	-	Sinitic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Guangzhou		-	sharp (140)	sharp (81)	5987	-	0	-
8683	-	-	-	Sinitic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Meixian		-	sharp (140)	sharp (81)	5987	-	0	-
8684		-	-	Sinitic	15.78	sharp		锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Old_Chinese		-	sharp (140)	sharp (81)	5987	sharp	152	
8685	-	-	-	Sinitic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Xiamen		-	sharp (140)	sharp (81)	5987	-	0	-
8686	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Guiqiong		-	sharp (140)	sharp (81)	5987	-	0	-
8687	mtɕoʁ	-	-	rGyalrongic	15.78	sharp	mtɕoʁ	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Japhug		-	sharp (140)	sharp (81)	5987	-	151	m tɕ o ʁ
8688	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Khroskyabs_Wobzi		-	sharp (140)	sharp (81)	5987	-	0	-
8689	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Muya		-	sharp (140)	sharp (81)	5987	-	0	-
8690	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Stau		-	sharp (140)	sharp (81)	5987	-	0	-
8691	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Tangut		-	sharp (140)	sharp (81)	5987	-	0	-
8692	-	-	-	rGyalrongic	15.78	sharp	-	锋利	sharp (as knife)(133)	Adjective	-	0	-	-	Zbu		-	sharp (140)	sharp (81)	5987	-	0	-
#
8746	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Dashi		-	short (141)	short (154)	6746	-	0	-
8747	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Zhaozhuang		-	short (141)	short (154)	6746	-	0	-
8748	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Ega		-	short (141)	short (154)	6746	-	0	-
8749	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Enqi		-	short (141)	short (154)	6746	-	0	-
8750	t͡sʰɯ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰɯ55	短	short(134)	Adjective	-	1019	-	-	Eryuan		t͡sʰ ɯ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ ɯ ₅₅
8751	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Gongxing		-	short (141)	short (154)	6746	-	0	-
8752	t͡sʰɯ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰɯ55	短	short(134)	Adjective	-	1019	-	-	Heqi		t͡sʰ ɯ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ ɯ ₅₅
8753	t͡sʰɯ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰɯ55	短	short(134)	Adjective	-	1019	-	-	Jianchuan		t͡sʰ ɯ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ ɯ ₅₅
8754	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Jinman		-	short (141)	short (154)	6746	-	0	-
8755	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Jinxing		-	short (141)	short (154)	6746	-	0	-
8756	t͡ɕʰĩ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tɕʰĩ55	短	short(134)	Adjective	-	1019	-	-	Luobenzhuo		t͡ɕʰ ĩ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡ɕʰ ĩ ₅₅
8757	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Mazhelong		-	short (141)	short (154)	6746	-	0	-
8758	t͡sʰɯ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰɯ55	短	short(134)	Adjective	-	1019	-	-	Qiliqiao		t͡sʰ ɯ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ ɯ ₅₅
8759	t͡sʰo₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰo55	短	short(134)	Adjective	-	1019	-	-	Xiangyun		t͡sʰ o ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ o ₅₅
8760	t͡sʰɯ₅₅	Allen2007, 391	short(104)	Bai	12.59	short	tsʰɯ55	短	short(134)	Adjective	-	1019	-	-	Yunlong		t͡sʰ ɯ ₅₅	short (141)	short (154)	6746	short / 短	154	t͡sʰ ɯ ₅₅
8761	-	-	short(104)	Bai	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Zhoucheng		-	short (141)	short (154)	6746	-	0	-
8762	-	-	short(104)	Bodic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Cone_Tibetan		-	short (141)	short (154)	6746	-	0	-
8763	-	-	short(104)	Bodic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Lhasa_Tibetan		-	short (141)	short (154)	6746	-	0	-
8764	-	-	short(104)	Bodic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Old_Tibetan		-	short (141)	short (154)	6746	-	0	-
8765	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Achang_Lianghe		-	short (141)	short (154)	6746	-	0	-
8766	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Achang_Longchuan		-	short (141)	short (154)	6746	-	0	-
8767	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Achang_Luxi		-	short (141)	short (154)	6746	-	0	-
8768	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Atsi		-	short (141)	short (154)	6746	-	0	-
8769	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Bola		-	short (141)	short (154)	6746	-	0	-
8770	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Burmese		-	short (141)	short (154)	6746	-	0	-
8771	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Hpun		-	short (141)	short (154)	6746	-	0	-
8772	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Lashi		-	short (141)	short (154)	6746	-	0	-
8773	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Maru		-	short (141)	short (154)	6746	-	0	-
8774	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Old_Burmese		-	short (141)	short (154)	6746	-	0	-
8775	-	-	short(104)	Burmish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Xiandau		-	short (141)	short (154)	6746	-	0	-
8776	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Dumi		-	short (141)	short (154)	6746	-	0	-
8777	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Khaling		-	short (141)	short (154)	6746	-	0	-
8778	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Limbu		-	short (141)	short (154)	6746	-	0	-
8779	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Wambule		-	short (141)	short (154)	6746	-	0	-
8780	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Yakkha		-	short (141)	short (154)	6746	-	0	-
8781	-	-	short(104)	Kiranti	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Yamphu		-	short (141)	short (154)	6746	-	0	-
8782	-	-	short(104)	Nungish	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Dulong		-	short (141)	short (154)	6746	-	0	-
8783	-	-	short(104)	SAL	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Jingpo		-	short (141)	short (154)	6746	-	0	-
8784	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Beijing		-	short (141)	short (154)	6746	-	0	-
8785	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Caijia		-	short (141)	short (154)	6746	-	0	-
8786	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Changsha		-	short (141)	short (154)	6746	-	0	-
8787	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Ganzhou		-	short (141)	short (154)	6746	-	0	-
8788	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Guangzhou		-	short (141)	short (154)	6746	-	0	-
8789	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Meixian		-	short (141)	short (154)	6746	-	0	-
8790	*tˤorʔ	-	short(104)	Sinitic	12.59	short	*tˤorʔ	短	short(134)	Adjective	-	0	-	短	Old_Chinese		-	short (141)	short (154)	6746	short	154	tˤ o r ʔ
8791	-	-	short(104)	Sinitic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Xiamen		-	short (141)	short (154)	6746	-	0	-
8792	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Guiqiong		-	short (141)	short (154)	6746	-	0	-
8793	xtɯt	-	short(104)	rGyalrongic	12.59	short	xtɯt	短	short(134)	Adjective	-	0	-	-	Japhug		-	short (141)	short (154)	6746	-	153	x t ɯ t
8794	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Khroskyabs_Wobzi		-	short (141)	short (154)	6746	-	0	-
8795	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Muya		-	short (141)	short (154)	6746	-	0	-
8796	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Stau		-	short (141)	short (154)	6746	-	0	-
8797	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Tangut		-	short (141)	short (154)	6746	-	0	-
8798	-	-	short(104)	rGyalrongic	12.59	short	-	短	short(134)	Adjective	-	0	-	-	Zbu		-	short (141)	short (154)	6746	-	0	-
#
8852	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Dashi		-	-	shy, ashamed (161)	155571	-	0	-
8853	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Zhaozhuang		-	-	shy, ashamed (161)	155571	-	0	-
8854	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Ega		-	-	shy, ashamed (161)	155571	-	0	-
8855	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Enqi		-	-	shy, ashamed (161)	155571	-	0	-
8856	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Eryuan		-	-	shy, ashamed (161)	155571	-	0	-
8857	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Gongxing		-	-	shy, ashamed (161)	155571	-	0	-
8858	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Heqi		-	-	shy, ashamed (161)	155571	-	0	-
8859	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Jianchuan		-	-	shy, ashamed (161)	155571	-	0	-
8860	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Jinman		-	-	shy, ashamed (161)	155571	-	0	-
8861	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Jinxing		-	-	shy, ashamed (161)	155571	-	0	-
8862	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Luobenzhuo		-	-	shy, ashamed (161)	155571	-	0	-
8863	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Mazhelong		-	-	shy, ashamed (161)	155571	-	0	-
8864	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Qiliqiao		-	-	shy, ashamed (161)	155571	-	0	-
8865	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Xiangyun		-	-	shy, ashamed (161)	155571	-	0	-
8866	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Yunlong		-	-	shy, ashamed (161)	155571	-	0	-
8867	-	-	-	Bai	-	shy	-	-	-	Adjective	-	0	-	-	Zhoucheng		-	-	shy, ashamed (161)	155571	-	0	-
8868	-	-	-	Bodic	-	shy	-	-	-	Adjective	-	0	-	-	Cone_Tibetan		-	-	shy, ashamed (161)	155571	-	0	-
8869	-	-	-	Bodic	-	shy	-	-	-	Adjective	-	0	-	-	Lhasa_Tibetan		-	-	shy, ashamed (161)	155571	-	0	-
8870	-	-	-	Bodic	-	shy	-	-	-	Adjective	-	0	-	-	Old_Tibetan		-	-	shy, ashamed (161)	155571	-	0	-
8871	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Achang_Lianghe		-	-	shy, ashamed (161)	155571	-	0	-
8872	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Achang_Longchuan		-	-	shy, ashamed (161)	155571	-	0	-
8873	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Achang_Luxi		-	-	shy, ashamed (161)	155571	-	0	-
8874	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Atsi		-	-	shy, ashamed (161)	155571	-	0	-
8875	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Bola		-	-	shy, ashamed (161)	155571	-	0	-
8876	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Burmese		-	-	shy, ashamed (161)	155571	-	0	-
8877	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Hpun		-	-	shy, ashamed (161)	155571	-	0	-
8878	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Lashi		-	-	shy, ashamed (161)	155571	-	0	-
8879	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Maru		-	-	shy, ashamed (161)	155571	-	0	-
8880	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Old_Burmese		-	-	shy, ashamed (161)	155571	-	0	-
8881	-	-	-	Burmish	-	shy	-	-	-	Adjective	-	0	-	-	Xiandau		-	-	shy, ashamed (161)	155571	-	0	-
8882	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Dumi		-	-	shy, ashamed (161)	155571	-	0	-
8883	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Khaling		-	-	shy, ashamed (161)	155571	-	0	-
8884	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Limbu		-	-	shy, ashamed (161)	155571	-	0	-
8885	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Wambule		-	-	shy, ashamed (161)	155571	-	0	-
8886	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Yakkha		-	-	shy, ashamed (161)	155571	-	0	-
8887	-	-	-	Kiranti	-	shy	-	-	-	Adjective	-	0	-	-	Yamphu		-	-	shy, ashamed (161)	155571	-	0	-
8888	-	-	-	Nungish	-	shy	-	-	-	Adjective	-	0	-	-	Dulong		-	-	shy, ashamed (161)	155571	-	0	-
8889	-	-	-	SAL	-	shy	-	-	-	Adjective	-	0	-	-	Jingpo		-	-	shy, ashamed (161)	155571	-	0	-
8890	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Beijing		-	-	shy, ashamed (161)	155571	-	0	-
8891	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Caijia		-	-	shy, ashamed (161)	155571	-	0	-
8892	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Changsha		-	-	shy, ashamed (161)	155571	-	0	-
8893	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Ganzhou		-	-	shy, ashamed (161)	155571	-	0	-
8894	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Guangzhou		-	-	shy, ashamed (161)	155571	-	0	-
8895	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Meixian		-	-	shy, ashamed (161)	155571	-	0	-
8896		-	-	Sinitic	-	shy		-	-	Adjective	-	0	-	-	Old_Chinese		-	-	shy, ashamed (161)	155571	shy, ashamed	156	
8897	-	-	-	Sinitic	-	shy	-	-	-	Adjective	-	0	-	-	Xiamen		-	-	shy, ashamed (161)	155571	-	0	-
8898	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Guiqiong		-	-	shy, ashamed (161)	155571	-	0	-
8899	nɤzraʁ	-	-	rGyalrongic	-	shy	nɤzraʁ	-	-	Adjective	-	0	-	-	Japhug		-	-	shy, ashamed (161)	155571	-	155	n ɤ z r a ʁ
8900	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Khroskyabs_Wobzi		-	-	shy, ashamed (161)	155571	-	0	-
8901	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Muya		-	-	shy, ashamed (161)	155571	-	0	-
8902	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Stau		-	-	shy, ashamed (161)	155571	-	0	-
8903	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Tangut		-	-	shy, ashamed (161)	155571	-	0	-
8904	-	-	-	rGyalrongic	-	shy	-	-	-	Adjective	-	0	-	-	Zbu		-	-	shy, ashamed (161)	155571	-	0	-
#
8905	pɚ̃₃₁	Wang2006a, 1160	-	Bai	4.84	sick	pɚ̃31	-	-	Adjective	-	533	-	-	Dashi		p ɚ̃ ₃₁	-	painful, sick (160)	7800	to be ill	158	p ɚ̃ ₃₁
8906	-	-	-	Bai	4.84	sick	-	-	-	Adjective	-	0	-	-	Zhaozhuang		-	-	painful, sick (160)	7800	-	0	-
8907	su₄₂	Wang2006a, 1160	-	Bai	4.84	sick	(su42)	-	-	Adjective	-	534	-	-	Ega		s u ₄₂	-	painful, sick (160)	7800	to be ill	158	s u ₄₂
8908	bæ₄₃	Wang2006a, 1160	-	Bai	4.84	sick	bæ43	-	-	Adjective	-	533	-	-	Enqi		b æ ₄₃	-	painful, sick (160)	7800	to be ill	158	b æ ₄₃
8909	pɛ₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ31	-	-	Adjective	-	533	-	-	Eryuan		p ɛ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ ₃₁
8910	ban₄₂	Wang2006a, 1160	-	Bai	4.84	sick	ban42	-	-	Adjective	-	537	-	-	Gongxing		b a n ₄₂	-	painful, sick (160)	7800	to be ill	158	b a n ₄₂
8911	pɛ̃₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ̃31	-	-	Adjective	-	533	-	-	Heqi		p ɛ̃ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ̃ ₃₁
8912	pɛ̃₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ̃31/sɤ̃31	-	-	Adjective	-	533	-	-	Jianchuan		p ɛ̃ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ̃ ₃₁
8913	sõ₄₂	Wang2006a, 1160	-	Bai	4.84	sick	(sõ42)	-	-	Adjective	-	534	-	-	Jinman		s õ ₄₂	-	painful, sick (160)	7800	to be ill	158	s õ ₄₂
8914	pan₃₁	Wang2006a, 1160	-	Bai	4.84	sick	pan31	-	-	Adjective	-	537	-	-	Jinxing		p a n ₃₁	-	painful, sick (160)	7800	to be ill	158	p a n ₃₁
8915	sõ₃₁	Allen2007, 378	-	Bai	4.84	sick	sõ31	-	-	Adjective	-	534	-	-	Luobenzhuo		s õ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	s õ ₃₁
8916	pɚ̃₂₁	Wang2006a, 1160	-	Bai	4.84	sick	pɚ̃21	-	-	Adjective	-	533	-	-	Mazhelong		p ɚ̃ ₂₁	-	painful, sick (160)	7800	to be ill	158	p ɚ̃ ₂₁
8917	pɛ₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ31	-	-	Adjective	-	533	-	-	Qiliqiao		p ɛ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ ₃₁
8918	pɛ̃₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ̃31	-	-	Adjective	-	533	-	-	Xiangyun		p ɛ̃ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ̃ ₃₁
8919	pɛ₃₁	Allen2007, 378	-	Bai	4.84	sick	pɛ31	-	-	Adjective	-	533	-	-	Yunlong		p ɛ ₃₁	-	painful, sick (160)	7800	be sick,ill / 病	158	p ɛ ₃₁
8920	pɛ₂₁	Wang2006a, 1160	-	Bai	4.84	sick	pɛ21	-	-	Adjective	-	533	-	-	Zhoucheng		p ɛ ₂₁	-	painful, sick (160)	7800	to be ill	158	p ɛ ₂₁
8921	-	-	-	Bodic	4.84	sick	-	-	-	Adjective	-	0	-	-	Cone_Tibetan		-	-	painful, sick (160)	7800	-	0	-
8922	-	-	-	Bodic	4.84	sick	-	-	-	Adjective	-	0	-	-	Lhasa_Tibetan		-	-	painful, sick (160)	7800	-	0	-
8923	-	-	-	Bodic	4.84	sick	-	-	-	Adjective	-	0	-	-	Old_Tibetan		-	-	painful, sick (160)	7800	-	0	-
8924	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Achang_Lianghe		-	-	painful, sick (160)	7800	-	0	-
8925	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Achang_Longchuan		-	-	painful, sick (160)	7800	-	0	-
8926	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Achang_Luxi		-	-	painful, sick (160)	7800	-	0	-
8927	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Atsi		-	-	painful, sick (160)	7800	-	0	-
8928	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Bola		-	-	painful, sick (160)	7800	-	0	-
8929	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Burmese		-	-	painful, sick (160)	7800	-	0	-
8930	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Hpun		-	-	painful, sick (160)	7800	-	0	-
8931	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Lashi		-	-	painful, sick (160)	7800	-	0	-
8932	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Maru		-	-	painful, sick (160)	7800	-	0	-
8933	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Old_Burmese		-	-	painful, sick (160)	7800	-	0	-
8934	-	-	-	Burmish	4.84	sick	-	-	-	Adjective	-	0	-	-	Xiandau		-	-	painful, sick (160)	7800	-	0	-
8935	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Dumi		-	-	painful, sick (160)	7800	-	0	-
8936	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Khaling		-	-	painful, sick (160)	7800	-	0	-
8937	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Limbu		-	-	painful, sick (160)	7800	-	0	-
8938	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Wambule		-	-	painful, sick (160)	7800	-	0	-
8939	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Yakkha		-	-	painful, sick (160)	7800	-	0	-
8940	-	-	-	Kiranti	4.84	sick	-	-	-	Adjective	-	0	-	-	Yamphu		-	-	painful, sick (160)	7800	-	0	-
8941	-	-	-	Nungish	4.84	sick	-	-	-	Adjective	-	0	-	-	Dulong		-	-	painful, sick (160)	7800	-	0	-
8942	-	-	-	SAL	4.84	sick	-	-	-	Adjective	-	0	-	-	Jingpo		-	-	painful, sick (160)	7800	-	0	-
8943	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Beijing		-	-	painful, sick (160)	7800	-	0	-
8944	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Caijia		-	-	painful, sick (160)	7800	-	0	-
8945	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Changsha		-	-	painful, sick (160)	7800	-	0	-
8946	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Ganzhou		-	-	painful, sick (160)	7800	-	0	-
8947	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Guangzhou		-	-	painful, sick (160)	7800	-	0	-
8948	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Meixian		-	-	painful, sick (160)	7800	-	0	-
8949	*[dz]i[t]	-	-	Sinitic	4.84	sick	*[dz]i[t]	-	-	Adjective	-	0	-	疾	Old_Chinese		-	-	painful, sick (160)	7800	painful, sick	158	d z i t
8950	-	-	-	Sinitic	4.84	sick	-	-	-	Adjective	-	0	-	-	Xiamen		-	-	painful, sick (160)	7800	-	0	-
8951	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Guiqiong		-	-	painful, sick (160)	7800	-	0	-
8952	ngo	-	-	rGyalrongic	4.84	sick	ngo	-	-	Adjective	-	0	-	-	Japhug		-	-	painful, sick (160)	7800	-	157	n g o
8953	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Khroskyabs_Wobzi		-	-	painful, sick (160)	7800	-	0	-
8954	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Muya		-	-	painful, sick (160)	7800	-	0	-
8955	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Stau		-	-	painful, sick (160)	7800	-	0	-
8956	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Tangut		-	-	painful, sick (160)	7800	-	0	-
8957	-	-	-	rGyalrongic	4.84	sick	-	-	-	Adjective	-	0	-	-	Zbu		-	-	painful, sick (160)	7800	-	0	-
#
9064	fo₄₄	Wang2006a, 802	-	Bai	13.06	six	fo44	-	-	Function word	-	1030	-	-	Dashi		f o ₄₄	-	Six (202)	7003	six	160	f o ₄₄
9065	-	-	-	Bai	13.06	six	-	-	-	Function word	-	0	-	-	Zhaozhuang		-	-	Six (202)	7003	-	0	-
9066	xo₄₄	Wang2006a, 802	-	Bai	13.06	six	xo44	-	-	Function word	-	1031	-	-	Ega		x o ₄₄	-	Six (202)	7003	six	160	x o ₄₄
9067	fo₅₅	Wang2006a, 802	-	Bai	13.06	six	fo55	-	-	Function word	-	1030	-	-	Enqi		f o ₅₅	-	Six (202)	7003	six	160	f o ₅₅
9068	fɤ₄₄	Allen2007, 455	-	Bai	13.06	six	fɤ44	-	-	Function word	-	1030	-	-	Eryuan		f ɤ ₄₄	-	Six (202)	7003	six / 六	160	f ɤ ₄₄
9069	pfu₂₄	Wang2006a, 802	-	Bai	13.06	six	pfu24	-	-	Function word	-	1034	-	-	Gongxing		p f u ₂₄	-	Six (202)	7003	six	160	p f u ₂₄
