# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
5065	-	-	I(3)	Burmish	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Xiandau		-	I (1)	I (182)	5450	-	0	-
5066	-	-	I(3)	Kiranti	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Dumi		-	I (1)	I (182)	5450	-	0	-
5067	ʔu^ŋ	-	I(3)	Kiranti	2.91	I [first person singular]	ʔu^ŋ	我	I(78)	Function word	-	0	I(42)	吾	Khaling		-	I (1)	I (182)	5450	I	2	ʔ u ^ ŋ
5068	iŋga	-	I(3)	Kiranti	2.91	I [first person singular]	iŋga	我	I(78)	Function word	-	0	I(42)	吾	Limbu		-	I (1)	I (182)	5450	I	2	i ŋ g a
5069	-	-	I(3)	Kiranti	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Wambule		-	I (1)	I (182)	5450	-	0	-
5070	-	-	I(3)	Kiranti	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Yakkha		-	I (1)	I (182)	5450	-	0	-
5071	-	-	I(3)	Kiranti	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Yamphu		-	I (1)	I (182)	5450	-	0	-
5072	-	-	I(3)	Nungish	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Dulong		-	I (1)	I (182)	5450	-	0	-
5073	-	-	I(3)	SAL	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Jingpo		-	I (1)	I (182)	5450	-	0	-
5074	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Beijing		-	I (1)	I (182)	5450	-	0	-
5075	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Caijia		-	I (1)	I (182)	5450	-	0	-
5076	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Changsha		-	I (1)	I (182)	5450	-	0	-
5077	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Ganzhou		-	I (1)	I (182)	5450	-	0	-
5078	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Guangzhou		-	I (1)	I (182)	5450	-	0	-
5079	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Meixian		-	I (1)	I (182)	5450	-	0	-
5080	*ŋˤa	-	I(3)	Sinitic	2.91	I [first person singular]	*ŋˤa	我	I(78)	Function word	-	0	I(42)	吾	Old_Chinese		-	I (1)	I (182)	5450	I	3	ŋˤ a
5081	-	-	I(3)	Sinitic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Xiamen		-	I (1)	I (182)	5450	-	0	-
5082	-	-	I(3)	rGyalrongic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Guiqiong		-	I (1)	I (182)	5450	-	0	-
5083	aʑo	-	I(3)	rGyalrongic	2.91	I [first person singular]	aʑo	我	I(78)	Function word	-	0	I(42)	吾	Japhug		-	I (1)	I (182)	5450	I	2	a ʑ o
5084	-	-	I(3)	rGyalrongic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Khroskyabs_Wobzi		-	I (1)	I (182)	5450	-	0	-
5085	-	-	I(3)	rGyalrongic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Muya		-	I (1)	I (182)	5450	-	0	-
5086	-	-	I(3)	rGyalrongic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Stau		-	I (1)	I (182)	5450	-	0	-
