# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
14550						0	I [first person singular]	1	Dancun				我			ŋɔi²¹				5450							0							Dancun			
14806						0	I [first person singular]	1	Qimen			我	我			ʂɯːə⁴²			mostly object								0							Qimen			
14873						0	I [first person singular]	1	Karen		je³¹	I		81944		je³¹	1849								pron	392765	0	STEDT/TBL	TBL	0928.50	Karenic			Karen	j e ³¹		
15026						0	I [first person singular]	1	Nusu_Central		ŋa³³	I		49410		ŋa³³	1831								pron	392749	0	STEDT/TBL	TBL	0928.34	Northern Loloish			Nusu (Central)	ŋ a ³³		
15230						0	I [first person singular]	1	Hani_Mojiang		ŋɔ⁵⁵	I		66098		ŋɔ⁵⁵	1840								pron	392757	0	STEDT/TBL	TBL	0928.42	Southern Loloish			Hani (Mojiang)	ŋ ɔ ⁵⁵		
15445						0	I [first person singular]	1	Xumi		ŋɛ³⁵	I		15851		ŋɛ³⁵	1812								pron	392732	0	STEDT/TBL	TBL	0928.17	Qiangic			Xumi	ŋ ɛ ³⁵		
15539						0	I [first person singular]	1	Tibetan_Written		ŋa	I		1053		ŋa	1804								pron	392716	0	STEDT/TBL	TBL	0928.01	Tibetan			Tibetan (Written)	ŋ a		
15540						0	I [first person singular]	1	Tibetan_Written		bdag	I		1054		bdag	1804		!						pron	392766	0	STEDT/TBL	TBL	0928.01	Tibetan			Tibetan (Written)	b d a g		
15732						0	I [first person singular]	1	Lyuzu		æ⁵³	I		17732		æ⁵³	1813								pron	392733	0	STEDT/TBL	TBL	0928.18	Qiangic			Lyuzu	æ ⁵³		
15733						0	I [first person singular]	1	Lyuzu		a³³duo⁵³	I		17733		a³³duo⁵³	1813								pron	392769	0	STEDT/TBL	TBL	0928.18	Qiangic			Lyuzu	a ³³ ◦ d u o ⁵³		
15906						0	I [first person singular]	1	Cuona_Menba		ŋe³⁵	I		83501		ŋe³⁵	1850								pron	392721	0	STEDT/TBL	TBL	0928.06	Bodic			Cuona Menba	ŋ e ³⁵		
16111						0	I [first person singular]	1	Queyu_Xinlong		ŋɯ¹³	I		8513		ŋɯ¹³	1808								pron	392767	0	STEDT/TBL	TBL	0928.13	Qiangic			Queyu (Xinlong)	ŋ ɯ ¹³		
16211						0	I [first person singular]	1	Yi_Xide		ŋɑ³³	I		51243		ŋɑ³³	1832								pron	392750	0	STEDT/TBL	TBL	0928.35	Northern Loloish			Yi (Xide)	ŋ ɑ ³³		
16425						0	I [first person singular]	1	Lahu_Lancang		ŋɑ³¹	I		67901		ŋɑ³¹	1841								pron	392758	0	STEDT/TBL	TBL	0928.43	Central Loloish			Lahu (Lancang)	ŋ ɑ ³¹		
16830						0	I [first person singular]	1	Pumi_Jiulong		ie⁵⁵	I		3015		ie⁵⁵	1805								pron	392725	0	STEDT/TBL	TBL	0928.10	Qiangic			Pumi (Jiulong)	i e ⁵⁵		
16954						0	I [first person singular]	1	Jingpho		ŋai³³	I		19572		ŋai³³	1814								pron	392734	0	STEDT/TBL	TBL	0928.19	Jingpho			Jingpho	ŋ a i ³³		
17100						0	I [first person singular]	1	Yidu		ŋɑ³⁵	I		31652		ŋɑ³⁵	1821								pron	392740	0	STEDT/TBL	TBL	0928.25	Deng			Yidu	ŋ ɑ ³⁵		
17115						0	I [first person singular]	1	Motuo_Menba		dʑaŋ	I		85337		dʑaŋ	1851								pron	392722	0	STEDT/TBL	TBL	0928.07	Bodic			Motuo Menba	dʑ a ŋ		
17454						0	I [first person singular]	1	Bai_Jianchuan		ŋo²¹	I		76950		ŋo²¹	1846								pron	392763	0	STEDT/TBL	TBL	0928.48	Bai			Bai (Jianchuan)	ŋ o ²¹		
17554						0	I [first person singular]	1	Yi_Weishan		ŋɑ⁵⁵	I		53199		ŋɑ⁵⁵	1833								pron	392751	0	STEDT/TBL	TBL	0928.36	Northern Loloish			Yi (Weishan)	ŋ ɑ ⁵⁵		
17681						0	I [first person singular]	1	Jinuo		ŋɔ⁴²	I		69730		ŋɔ⁴²	1842								pron	392759	0	STEDT/TBL	TBL	0928.44	Central Loloish			Jinuo	ŋ ɔ ⁴²		
17972						0	I [first person singular]	1	rGyalrong_Maerkang		ŋɑ	I		4667		ŋɑ	1806								pron	392726	0	STEDT/TBL	TBL	0928.11	rGyalrong			rGyalrong (Maerkang)	ŋ ɑ		
18261						0	I [first person singular]	1	Qiang_Mawo		qɑ	I		87042		qɑ	1852								pron	392723	0	STEDT/TBL	TBL	0928.08	Qiangic			Qiang (Mawo)	q ɑ		
18791						0	I [first person singular]	1	Yi_Nanhua		ŋo³³	I		55092		ŋo³³	1834								pron	392752	0	STEDT/TBL	TBL	0928.37	Northern Loloish			Yi (Nanhua)	ŋ o ³³		
18875						0	I [first person singular]	1	Naxi		ŋə²¹	I		71586		ŋə²¹	1843								pron	392760	0	STEDT/TBL	TBL	0928.45	Naxi			Naxi	ŋ ə ²¹		
19223						0	I [first person singular]	1	Daofu		ŋa	I		6587		ŋa	1807								pron	392727	0	STEDT/TBL	TBL	0928.12	rGyalrongic			Daofu	ŋ a		
19579						0	I [first person singular]	1	Pumi_Lanping		ɛ⁵⁵	I		88967		ɛ⁵⁵	1853								pron	392724	0	STEDT/TBL	TBL	0928.09	Qiangic			Pumi (Lanping)	ɛ ⁵⁵		
19683						0	I [first person singular]	1	Dulong		ŋɑ⁵³	I		23577		ŋɑ⁵³	1816								pron	392735	0	STEDT/TBL	TBL	0928.20	Nungic			Dulong	ŋ ɑ ⁵³		
19921						0	I [first person singular]	1	Tibetan_Batang		ŋa²³¹	I		40339		ŋa²³¹	1826								pron	392718	0	STEDT/TBL	TBL	0928.03	Tibetan			Tibetan (Batang)	ŋ a ²³¹		
20075						0	I [first person singular]	1	Yi_Wuding		ŋu¹¹	I		56940		ŋu¹¹	1835								pron	392753	0	STEDT/TBL	TBL	0928.38	Northern Loloish			Yi (Wuding)	ŋ u ¹¹		
20553						0	I [first person singular]	1	Queyu_Xinlong		ŋa¹³	I		8512		ŋa¹³	1808								pron	392728	0	STEDT/TBL	TBL	0928.13	Qiangic			Queyu (Xinlong)	ŋ a ¹³		
20830						0	I [first person singular]	1	Hani_Lüchun		ŋa⁵⁵	I		64290		ŋa⁵⁵	1839								pron	392756	0	STEDT/TBL	TBL	0928.41	Southern Loloish			Hani (Lüchun)	ŋ a ⁵⁵		
20885						0	I [first person singular]	1	Nung		ŋɑ⁵⁵	I		25397		ŋɑ⁵⁵	1817								pron	392736	0	STEDT/TBL	TBL	0928.21	Nungic			Nung	ŋ ɑ ⁵⁵		
21337						0	I [first person singular]	1	Gazhuo		ŋa³³	I		75227		ŋa³³	1845								pron	392762	0	STEDT/TBL	TBL	0928.47	Northern Loloish			Gazhuo	ŋ a ³³		
21355						0	I [first person singular]	1	Yi_Sani		ŋɒ³³	I		58866		ŋɒ³³	1836								pron	392754	0	STEDT/TBL	TBL	0928.39	Central Loloish			Yi (Sani)	ŋ ɒ ³³		
21719						0	I [first person singular]	1	Zhaba_Daofu_County		ŋa¹³	I		10353		ŋa¹³	1809								pron	392729	0	STEDT/TBL	TBL	0928.14	Qiangic			Zhaba (Daofu County)	ŋ a ¹³		
22525						0	I [first person singular]	1	Tibetan_Xiahe		ŋa	I		60691		ŋa	1837								pron	392719	0	STEDT/TBL	TBL	0928.04	Tibetan			Tibetan (Xiahe)	ŋ a		
22733						0	I [first person singular]	1	Kaman_Miju		ki⁵³	I		28301		ki⁵³	1819								pron	392738	0	STEDT/TBL	TBL	0928.23	Deng			Kaman [Miju]	k i ⁵³		
22957						0	I [first person singular]	1	Muya		ŋə⁵³	I		12293		ŋə⁵³	1810								pron	392730	0	STEDT/TBL	TBL	0928.15	Qiangic			Muya	ŋ ə ⁵³		
23371						0	I [first person singular]	1	Namuyi		ŋa⁵⁵	I		73409		ŋa⁵⁵	1844								pron	392761	0	STEDT/TBL	TBL	0928.46	Qiangic			Namuyi	ŋ a ⁵⁵		
23663						0	I [first person singular]	1	Tujia		ŋa³⁵	I		78871		ŋa³⁵	1847								pron	392764	0	STEDT/TBL	TBL	0928.49	Tujia			Tujia	ŋ a ³⁵		
23725						0	I [first person singular]	1	Bokar		ŋoː	I		29799		ŋoː	1820								pron	392739	0	STEDT/TBL	TBL	0928.24	Western Tani			Bokar	ŋ oː		
23977						0	I [first person singular]	1	Darang_Taraon		xɑŋ³⁵	I		26873		xɑŋ³⁵	1818								pron	392737	0	STEDT/TBL	TBL	0928.22	Deng			Darang [Taraon]	x ɑ ŋ ³⁵		
24230						0	I [first person singular]	1	Guiqiong		ŋə³⁵	I		14189		ŋə³⁵	1811								pron	392731	0	STEDT/TBL	TBL	0928.16	Qiangic			Guiqiong	ŋ ə ³⁵		
24331						0	I [first person singular]	1	Lisu		ŋuɑ³³	I		62459		ŋuɑ³³	1838								pron	392755	0	STEDT/TBL	TBL	0928.40	Central Loloish			Lisu	ŋ u ɑ ³³		
24581						0	I [first person singular]	1	Tibetan_Lhasa		ŋa¹³	I		21560		ŋa¹³	1815								pron	392717	0	STEDT/TBL	TBL	0928.02	Tibetan			Tibetan (Lhasa)	ŋ a ¹³		
