# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
25645						0	the belly	93	rGyalrong_Maerkang		tə |pok	belly		3814		tə pok	1806		!						n	349934	0	STEDT/TBL	TBL	0096.11	rGyalrong			rGyalrong (Maerkang)	t ə _ p o k		
#
584	bird (97)	t͡s o u ³³ - - -			鸟	208	the bird	94	Dashi		tsou33	bird	-		bird (13)	t͡sou₃₃			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Dashi	t͡s o u ³³	bird(37)	3581
586	bird (97)	t͡s u - ⁴⁴ - - -			鸟	208	the bird	94	Ega		tsu44	bird	-		bird (13)	t͡su₄₄			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Ega	t͡s u ⁴⁴	bird(37)	3581
587	bird (97)	t͡s u - ⁵⁵ - - -			鸟	208	the bird	94	Enqi		tsu55	bird	-		bird (13)	t͡su₅₅			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Enqi	t͡s u ⁵⁵	bird(37)	3581
588	bird (97)	t͡s ɔ - ⁵⁵ - - -			鸟	208	the bird	94	Eryuan		tsɔ55	bird / 鸟	-		bird (13)	t͡sɔ₅₅			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Eryuan	t͡s ɔ ⁵⁵	bird(37)	3581
589	bird (97)	t͡s u - ²⁴ - - -			鸟	208	the bird	94	Gongxing		tsu24	bird	-		bird (13)	t͡su₂₄			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Gongxing	t͡s u ²⁴	bird(37)	3581
590	bird (97)	t͡s o u ⁴⁴ t͡s ɿ ³³			鸟	208	the bird	94	Heqi		tsou44tsɿ33	bird / 鸟	-		bird (13)	t͡sou₄₄t͡sɿ₃₃			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Heqi	t͡s o u ⁴⁴ t͡s ɿ ³³	bird(37)	3581
591	bird (97)	t͡s o u ⁴⁴ t͡s ɿ ³³			鸟	208	the bird	94	Jianchuan		tsou44tsɿ33	bird / 鸟	-		bird (13)	t͡sou₄₄t͡sɿ₃₃			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Jianchuan	t͡s o u ⁴⁴ t͡s ɿ ³³	bird(37)	3581
592	bird (97)	t͡s o - ⁵⁵ - - -			鸟	208	the bird	94	Jinman		tso55	bird	-		bird (13)	t͡so₅₅			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Jinman	t͡s o ⁵⁵	bird(37)	3581
593	bird (97)	t͡s o u ⁴⁴ - - -			鸟	208	the bird	94	Jinxing		tsou44	bird	-		bird (13)	t͡sou₄₄			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Jinxing	t͡s o u ⁴⁴	bird(37)	3581
594	bird (97)	t͡s u ɔ ⁵⁵ - - -			鸟	208	the bird	94	Luobenzhuo		tsuɔ55	bird / 鸟	-		bird (13)	t͡suɔ₅₅			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Luobenzhuo	t͡s u ɔ ⁵⁵	bird(37)	3581
595	bird (97)	t͡s o - ⁴⁴ - - -			鸟	208	the bird	94	Mazhelong		tso44	bird	-		bird (13)	t͡so₄₄			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Mazhelong	t͡s o ⁴⁴	bird(37)	3581
596	bird (97)	t͡s o - ⁴⁴ - - -			鸟	208	the bird	94	Qiliqiao		tso44	bird / 鸟	-		bird (13)	t͡so₄₄			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Qiliqiao	t͡s o ⁴⁴	bird(37)	3581
597	bird (97)	t͡s ɔ - ⁴⁴ - - -			鸟	208	the bird	94	Xiangyun		tsɔ44	bird / 鸟	-		bird (13)	t͡sɔ₄₄			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Xiangyun	t͡s ɔ ⁴⁴	bird(37)	3581
598	bird (97)	t͡s u - ⁴⁴ - - -			鸟	208	the bird	94	Yunlong		tsu44	bird / 鸟	-		bird (13)	t͡su₄₄			-	400					Noun		53	Allen2007, 61			Bai	bird(13)	bird(6)	Yunlong	t͡s u ⁴⁴	bird(37)	3581
599	bird (97)	t͡s o u ⁴⁴ - - -			鸟	208	the bird	94	Zhoucheng		tsou44	bird	-		bird (13)	t͡sou₄₄			-	400					Noun		53	Wang2006a, 326			Bai	bird(13)	bird(6)	Zhoucheng	t͡s o u ⁴⁴	bird(37)	3581
602	bird (97)	-			鸟	212	the bird	94	Old_Tibetan		bʲa	bird	鳥		bird (13)	bʲa			-	400					Noun		0	-			Bodic	bird(13)	bird(6)	Old_Tibetan	bʲ a	bird(37)	3581
615	bird (97)	-			鸟	214	the bird	94	Khaling		sʌ̄lpu	bird	鳥		bird (13)	sʌ̄lpu			-	400					Noun		0	-			Kiranti	bird(13)	bird(6)	Khaling	s ʌ̄ l p u	bird(37)	3581
616	bird (97)	-			鸟	213	the bird	94	Limbu		pu¹	bird	鳥		bird (13)	pu¹			-	400					Noun		0	-			Kiranti	bird(13)	bird(6)	Limbu	p u ¹	bird(37)	3581
631	bird (97)	-			鸟	209	the bird	94	Japhug		pɣa	bird	鳥		bird (13)	pɣa			-	400					Noun		0	-			rGyalrongic	bird(13)	bird(6)	Japhug	p ɣ a	bird(37)	3581
635	bird (97)	-			鸟	835	the bird	94	Tangut		.we¹	bird	鳥		bird (13)	.we¹			-	400					Noun		0	-			rGyalrongic	bird(13)	bird(6)	Tangut	w e ¹	bird(37)	3581
13062						0	the bird	94	Guzhang			鳥（總稱）	雀子			tsu⁴¹ tsɪ			not in Wu and Shen 2010	400							0							Guzhang			
13459						0	the bird	94	Ganzhou		njɔ3	bird (12)				njɔ⁴				400							0							Ganzhou	n j ɔ ⁴		
13809						0	the bird	94	Jixi				鳥			ȵie²¹³			small birds	400							0							Jixi			
14329						0	the bird	94	Qimen			鸟儿	雀儿			tshiɑn⁴³⁵				400							0							Qimen			
15130						0	the bird	94	Tibetan_Written		bja	bird		398		bja	1804								n	361965	0	STEDT/TBL	TBL	0326.01	Tibetan			Tibetan (Written)	b j a		
15131						0	the bird	94	Tibetan_Written		bjeɦu	bird		399		bjeɦu	1804		!						n	362015	0	STEDT/TBL	TBL	0326.01	Tibetan			Tibetan (Written)	b j e ɦ u		
15344						0	the bird	94	Lyuzu		bʑe³³xua⁵³	bird		17101		bʑe³³xua⁵³	1813		!						n	361982	0	STEDT/TBL	TBL	0326.18	Qiangic			Lyuzu	b ʑ e ³³ ◦ x u a ⁵³		
15495						0	the bird	94	Cuona_Menba		tɕa³⁵	bird		82898		tɕa³⁵	1850								n	361970	0	STEDT/TBL	TBL	0326.06	Bodic			Cuona Menba	tɕ a ³⁵		
15698						0	the bird	94	Nung		tɕhɑ⁵⁵	bird		24790		tɕhɑ⁵⁵	1817								n	361985	0	STEDT/TBL	TBL	0326.21	Nungic			Nung	tɕh ɑ ⁵⁵		
16016						0	the bird	94	Lahu_Lancang		ŋɑ⁵⁴	bird		67299		ŋɑ⁵⁴	1841								n	362007	0	STEDT/TBL	TBL	0326.43	Central Loloish			Lahu (Lancang)	ŋ ɑ ⁵⁴		
16198						0	the bird	94	Hani_Mojiang		xɔ³¹tʃɿ⁵⁵	bird		65481		xɔ³¹tʃɿ⁵⁵	1840								n	362006	0	STEDT/TBL	TBL	0326.42	Southern Loloish			Hani (Mojiang)	x ɔ ³¹ ◦ tʃ ɿ ⁵⁵		
16393						0	the bird	94	Kaman_Miju		wɑ³⁵	bird		27693		wɑ³⁵	1819								n	361987	0	STEDT/TBL	TBL	0326.23	Deng			Kaman [Miju]	w ɑ ³⁵		
16444						0	the bird	94	Pumi_Jiulong		dʑɛ̃³⁵	bird		2392		dʑɛ̃³⁵	1805								n	361974	0	STEDT/TBL	TBL	0326.10	Qiangic			Pumi (Jiulong)	dʑ ɛ̃ ∼ ³⁵		
16445						0	the bird	94	Pumi_Jiulong		dʑa¹¹dʑẽ⁵⁵	bird		2393		dʑa¹¹dʑẽ⁵⁵	1805								n	362016	0	STEDT/TBL	TBL	0326.10	Qiangic			Pumi (Jiulong)	dʑ a ¹¹ ◦ dʑ ẽ ∼ ⁵⁵		
16576						0	the bird	94	Jingpho		u³¹nam³¹tʃi³³	bird		18946		u³¹nam³¹tʃi³³	1814								n	361983	0	STEDT/TBL	TBL	0326.19	Jingpho			Jingpho	u ³¹ ◦ n a m ³¹ ◦ tʃ i ³³		
17123						0	the bird	94	Yi_Weishan		ɑ⁵⁵n̩³³	bird		52579		ɑ⁵⁵n̩³³	1833		!						n	362000	0	STEDT/TBL	TBL	0326.36	Northern Loloish			Yi (Weishan)	ɑ ⁵⁵ ◦ n̩ ³³		
17244						0	the bird	94	Jinuo		ŋa⁴²zɔ⁴⁴	bird		69126		ŋa⁴²zɔ⁴⁴	1842								n	362008	0	STEDT/TBL	TBL	0326.44	Central Loloish			Jinuo	ŋ a ⁴² ◦ z ɔ ⁴⁴		
17473						0	the bird	94	Yi_Wuding		ŋɑ̱²	bird		56324		ŋɑ̱²	1835								n	362002	0	STEDT/TBL	TBL	0326.38	Northern Loloish			Yi (Wuding)	ŋ ɑ̱ ²		
17534						0	the bird	94	Motuo_Menba		kha	bird		84696		kha	1851								n	361971	0	STEDT/TBL	TBL	0326.07	Bodic			Motuo Menba	kh a		
17559						0	the bird	94	rGyalrong_Maerkang		pɑ tsɑ	bird		4052		pɑ tsɑ	1806								n	361975	0	STEDT/TBL	TBL	0326.11	rGyalrong			rGyalrong (Maerkang)	p ɑ _ ts ɑ		
17875						0	the bird	94	Tibetan_Lhasa		tɕha¹³	bird		20868		tɕha¹³	1815								n	361966	0	STEDT/TBL	TBL	0326.02	Tibetan			Tibetan (Lhasa)	tɕh a ¹³		
18414						0	the bird	94	Yi_Nanhua		ȵæ̱³³	bird		54477		ȵæ̱³³	1834								n	362001	0	STEDT/TBL	TBL	0326.37	Northern Loloish			Yi (Nanhua)	ȵ æ̱ ³³		
18433						0	the bird	94	Gazhuo		ŋa³⁵mɛ³³	bird		74620		ŋa³⁵mɛ³³	1845								n	362011	0	STEDT/TBL	TBL	0326.47	Northern Loloish			Gazhuo	ŋ a ³⁵ ◦ m ɛ ³³		
18476						0	the bird	94	Naxi		v̩⁵⁵zi³³	bird		70961		v̩⁵⁵zi³³	1843								n	362009	0	STEDT/TBL	TBL	0326.45	Naxi			Naxi	v̩ ⁵⁵ ◦ z i ³³		
18787						0	the bird	94	Daofu		vdʑɛ vdʑu	bird		5935		vdʑɛ vdʑu	1807		!						n	361976	0	STEDT/TBL	TBL	0326.12	rGyalrongic			Daofu	v dʑ ɛ _ v dʑ u		
19131						0	the bird	94	Pumi_Lanping		gue¹³tsi⁵⁵	bird		88339		gue¹³tsi⁵⁵	1853								n	361973	0	STEDT/TBL	TBL	0326.09	Qiangic			Pumi (Lanping)	g u e ¹³ ◦ ts i ⁵⁵		
19214						0	the bird	94	Dulong		pɯ³¹tɕiʔ⁵⁵	bird		22952		pɯ³¹tɕiʔ⁵⁵	1816								n	361984	0	STEDT/TBL	TBL	0326.20	Nungic			Dulong	p ɯ ³¹ ◦ tɕ i ʔ ⁵⁵		
19735						0	the bird	94	Namuyi		ge⁵⁵zɿ⁵⁵	bird		72798		ge⁵⁵zɿ⁵⁵	1844								n	362010	0	STEDT/TBL	TBL	0326.46	Qiangic			Namuyi	g e ⁵⁵ ◦ z ɿ ⁵⁵		
20149						0	the bird	94	Queyu_Xinlong		ɕe⁵⁵bʑi³³	bird		7890		ɕe⁵⁵bʑi³³	1808		!						n	361977	0	STEDT/TBL	TBL	0326.13	Qiangic			Queyu (Xinlong)	ɕ e ⁵⁵ ◦ b ʑ i ³³		
20818						0	the bird	94	Tibetan_Batang		ɕy¹³	bird		39711		ɕy¹³	1826								n	361967	0	STEDT/TBL	TBL	0326.03	Tibetan			Tibetan (Batang)	ɕ y ¹³		
20959						0	the bird	94	Yi_Sani		ŋe³³	bird		58257		ŋe³³	1836								n	362003	0	STEDT/TBL	TBL	0326.39	Central Loloish			Yi (Sani)	ŋ e ³³		
21359						0	the bird	94	Zhaba_Daofu_County		ptsia³³ptsi⁵⁵	bird		9719		ptsia³³ptsi⁵⁵	1809								n	361978	0	STEDT/TBL	TBL	0326.14	Qiangic			Zhaba (Daofu County)	p ts i a ³³ ◦ p ts i ⁵⁵		
21485						0	the bird	94	Darang_Taraon		piɑ⁵⁵	bird		26271		piɑ⁵⁵	1818								n	361986	0	STEDT/TBL	TBL	0326.22	Deng			Darang [Taraon]	p i ɑ ⁵⁵		
21845						0	the bird	94	Qiang_Mawo		wu tsɛ	bird		86403		wu tsɛ	1852								n	361972	0	STEDT/TBL	TBL	0326.08	Qiangic			Qiang (Mawo)	w u _ ts ɛ		
22026						0	the bird	94	Bai_Jianchuan		tɕi⁵⁵kə⁵⁵u⁵⁵tso̱³³	bird		76313		tɕi⁵⁵kə⁵⁵u⁵⁵tso̱³³	1846								n	362012	0	STEDT/TBL	TBL	0326.48	Bai			Bai (Jianchuan)	tɕ i ⁵⁵ ◦ k ə ⁵⁵ u ⁵⁵ ◦ ts o̱ ³³		
22121						0	the bird	94	Tibetan_Xiahe		ɕa	bird		60082		ɕa	1837								n	361968	0	STEDT/TBL	TBL	0326.04	Tibetan			Tibetan (Xiahe)	ɕ a		
22467						0	the bird	94	Yi_Xide		he³³tsɿ̄³³	bird		50595		he³³tsɿ̄³³	1832								n	361999	0	STEDT/TBL	TBL	0326.35	Northern Loloish			Yi (Xide)	h e ³³ ◦ ts ɿ̄ ³³		
22597						0	the bird	94	Muya		ndʑe⁵⁵ɦu³³	bird		11640		ndʑe⁵⁵ɦu³³	1810		!						n	361979	0	STEDT/TBL	TBL	0326.15	Qiangic			Muya	n dʑ e ⁵⁵ ◦ ɦ u ³³		
23244						0	the bird	94	Lisu		niɛ³⁵khɯ³³	bird		61844		niɛ³⁵khɯ³³	1838								n	362004	0	STEDT/TBL	TBL	0326.40	Central Loloish			Lisu	n i ɛ ³⁵ ◦ kh ɯ ³³		
23275						0	the bird	94	Tujia		ȵie³⁵pi⁵⁵	bird		78269		ȵie³⁵pi⁵⁵	1847								n	362013	0	STEDT/TBL	TBL	0326.49	Tujia			Tujia	ȵ i e ³⁵ ◦ p i ⁵⁵		
23314						0	the bird	94	Bokar		pə taŋ	bird		29169		pə taŋ	1820								n	361988	0	STEDT/TBL	TBL	0326.24	Western Tani			Bokar	p ə _ t a ŋ		
23391						0	the bird	94	Karen		tho³³bɔ̱⁵⁵	bird		81341		tho³³bɔ̱⁵⁵	1849								n	362014	0	STEDT/TBL	TBL	0326.50	Karenic			Karen	th o ³³ ◦ b ɔ̱ ⁵⁵		
24212						0	the bird	94	Guiqiong		phu̵⁵⁵wu⁵⁵	bird		13565		phu̵⁵⁵wu⁵⁵	1811								n	361980	0	STEDT/TBL	TBL	0326.16	Qiangic			Guiqiong	ph u̵ ⁵⁵ ◦ w u ⁵⁵		
24484						0	the bird	94	Hani_Lüchun		a⁵⁵dzi⁵⁵	bird		63685		a⁵⁵dzi⁵⁵	1839								n	362005	0	STEDT/TBL	TBL	0326.41	Southern Loloish			Hani (Lüchun)	a ⁵⁵ ◦ dz i ⁵⁵		
24771						0	the bird	94	Yidu		pɹɑ⁵⁵ɑ⁵⁵	bird		31049		pɹɑ⁵⁵ɑ⁵⁵	1821		!						n	361989	0	STEDT/TBL	TBL	0326.25	Deng			Yidu	p ɹ ɑ ⁵⁵ ◦ ɑ ⁵⁵		
24978						0	the bird	94	Xumi		dʑyæ⁵³	bird		15232		dʑyæ⁵³	1812								n	361981	0	STEDT/TBL	TBL	0326.17	Qiangic			Xumi	dʑ y æ ⁵³		
25528						0	the bird	94	Nusu_Central		ŋ̊a̱⁵³	bird		48794		ŋ̊a̱⁵³	1831								n	361998	0	STEDT/TBL	TBL	0326.34	Northern Loloish			Nusu (Central)	ŋ̊ a̱ ⁵³		
25648						0	the bird	94	Tibetan_Alike		wɕæ	bird		79760		wɕæ	1848		!						n	361969	0	STEDT/TBL	TBL	0326.05	Tibetan			Tibetan (Alike)	w ɕ æ		
#
743	blood (23)	sʰ u a ⁴⁴			血	215	the blood	95	Dashi		sʰua44	blood	-		blood (16)	sʰua₄₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Dashi	sʰ u a ⁴⁴	blood(20)	4.15
745	blood (23)	s u a ⁴⁴			血	215	the blood	95	Ega		sua44	blood	-		blood (16)	sua₄₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Ega	s u a ⁴⁴	blood(20)	4.15
746	blood (23)	s u a ⁵⁵			血	215	the blood	95	Enqi		sua55	blood	-		blood (16)	sua₅₅			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Enqi	s u a ⁵⁵	blood(20)	4.15
747	blood (23)	s u a ⁴⁴			血	215	the blood	95	Eryuan		sua44	blood / 血	-		blood (16)	sua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Eryuan	s u a ⁴⁴	blood(20)	4.15
748	blood (23)	s u a ²⁴			血	215	the blood	95	Gongxing		sua24	blood	-		blood (16)	sua₂₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Gongxing	s u a ²⁴	blood(20)	4.15
749	blood (23)	sʰ u a ⁴⁴			血	215	the blood	95	Heqi		sʰua44	blood / 血	-		blood (16)	sʰua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Heqi	sʰ u a ⁴⁴	blood(20)	4.15
750	blood (23)	s u a ⁴⁴			血	215	the blood	95	Jianchuan		sua44	blood / 血	-		blood (16)	sua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Jianchuan	s u a ⁴⁴	blood(20)	4.15
751	blood (23)	s u a ⁵⁵			血	215	the blood	95	Jinman		sua55	blood	-		blood (16)	sua₅₅			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Jinman	s u a ⁵⁵	blood(20)	4.15
752	blood (23)	s u ɑ ⁴⁴			血	215	the blood	95	Jinxing		suɑ44	blood	-		blood (16)	suɑ₄₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Jinxing	s u ɑ ⁴⁴	blood(20)	4.15
753	blood (23)	s u a ⁵⁵			血	215	the blood	95	Luobenzhuo		sua55	blood / 血	-		blood (16)	sua₅₅			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Luobenzhuo	s u a ⁵⁵	blood(20)	4.15
754	blood (23)	s u a ⁴⁴			血	215	the blood	95	Mazhelong		sua44	blood	-		blood (16)	sua₄₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Mazhelong	s u a ⁴⁴	blood(20)	4.15
755	blood (23)	ʃ u a ⁴⁴			血	215	the blood	95	Qiliqiao		ʃua44	blood / 血	-		blood (16)	ʃua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Qiliqiao	ʃ u a ⁴⁴	blood(20)	4.15
756	blood (23)	s u a ⁴⁴			血	215	the blood	95	Xiangyun		sua44	blood / 血	-		blood (16)	sua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Xiangyun	s u a ⁴⁴	blood(20)	4.15
757	blood (23)	s u a ⁴⁴			血	215	the blood	95	Yunlong		sua44	blood / 血	-		blood (16)	sua₄₄			-	411					Noun		75	Allen2007, 145			Bai	blood(16)	blood(9)	Yunlong	s u a ⁴⁴	blood(20)	4.15
758	blood (23)	s u a ⁴⁴			血	215	the blood	95	Zhoucheng		sua44	blood	-		blood (16)	sua₄₄			-	411					Noun		75	Wang2006a, 129			Bai	blood(16)	blood(9)	Zhoucheng	s u a ⁴⁴	blood(20)	4.15
761	blood (23)	-			血	217	the blood	95	Old_Tibetan		kʰrag	blood	血		blood (16)	kʰrag			-	411					Noun		0	-			Bodic	blood(16)	blood(9)	Old_Tibetan	kʰ r a g	blood(20)	4.15
774	blood (23)	-			血	219	the blood	95	Khaling		hi	blood	血		blood (16)	hi			-	411					Noun		0	-			Kiranti	blood(16)	blood(9)	Khaling	ʰi	blood(20)	4.15
775	blood (23)	-			血	219	the blood	95	Limbu		makkhi	blood	血		blood (16)	makkhi			-	411					Noun		0	-			Kiranti	blood(16)	blood(9)	Limbu	m a k kʰ i	blood(20)	4.15
787	blood (23)	-			血	218	the blood	95	Old_Chinese		*m̥ˤik	blood	血		blood (16)	*m̥ˤik			-	411					Noun		0	-			Sinitic	blood(16)	blood(9)	Old_Chinese	m̥ˤ i k	blood(20)	4.15
790	blood (23)	-			血	216	the blood	95	Japhug		tɤ-se	blood	血		blood (16)	tɤ-se			-	411					Noun		0	-			rGyalrongic	blood(16)	blood(9)	Japhug	t ɤ ◦ s e	blood(20)	4.15
794	blood (23)	-			血	216	the blood	95	Tangut		sjij¹	blood	血		blood (16)	sjij¹			-	411					Noun		0	-			rGyalrongic	blood(16)	blood(9)	Tangut	s j i j ¹	blood(20)	4.15
13063						0	the blood	95	Guzhang			血	血			ɕyɛ⁴¹				411							0							Guzhang			
13462						0	the blood	95	Ganzhou		syʔ5	blood (15)				syʔ⁶				411							0							Ganzhou	s y ʔ ⁶		
13810						0	the blood	95	Jixi				血			ɕyaʔ³²				411							0							Jixi			
14590						0	the blood	95	Dancun				血			hut³³				411							0							Dancun			
14831						0	the blood	95	Dancun				血			hut⁵⁵											0							Dancun			
14979						0	the blood	95	Tibetan_Written		khrag	blood		158		khrag	1804								n	351622	0	STEDT/TBL	TBL	0129.01	Tibetan			Tibetan (Written)	kh r a g		
15201						0	the blood	95	Lyuzu		ʂu³⁵	blood		16887		ʂu³⁵	1813								n	351639	0	STEDT/TBL	TBL	0129.18	Qiangic			Lyuzu	ʂ u ³⁵		
15387						0	the blood	95	Cuona_Menba		ceʔ⁵³	blood		82701		ceʔ⁵³	1850								n	351627	0	STEDT/TBL	TBL	0129.06	Bodic			Cuona Menba	c e ʔ ⁵³		
15670						0	the blood	95	Yi_Xide		sɿ³³	blood		50381		sɿ³³	1832								n	351656	0	STEDT/TBL	TBL	0129.35	Northern Loloish			Yi (Xide)	s ɿ ³³		
15893						0	the blood	95	Lahu_Lancang		ɔ³¹si¹¹	blood		67096		ɔ³¹si¹¹	1841								n	351664	0	STEDT/TBL	TBL	0129.43	Central Loloish			Lahu (Lancang)	ɔ ³¹ ◦ s i ¹¹		
15977						0	the blood	95	Tujia		mie⁵³	blood		78072		mie⁵³	1847								n	351670	0	STEDT/TBL	TBL	0129.49	Tujia			Tujia	m i e ⁵³		
16199						0	the blood	95	Naxi		sæ³³	blood		70751		sæ³³	1843								n	351666	0	STEDT/TBL	TBL	0129.45	Naxi			Naxi	s æ ³³		
16282						0	the blood	95	Pumi_Jiulong		sɛi³⁵	blood		2180		sɛi³⁵	1805								n	351631	0	STEDT/TBL	TBL	0129.10	Qiangic			Pumi (Jiulong)	s ɛ i ³⁵		
16422						0	the blood	95	Jingpho		sai³¹	blood		18745		sai³¹	1814								n	351640	0	STEDT/TBL	TBL	0129.19	Jingpho			Jingpho	s a i ³¹		
16573						0	the blood	95	Motuo_Menba		ji	blood		84479		ji	1851								n	351628	0	STEDT/TBL	TBL	0129.07	Bodic			Motuo Menba	j i		
16980						0	the blood	95	Yi_Weishan		sɿ²¹	blood		52377		sɿ²¹	1833								n	351657	0	STEDT/TBL	TBL	0129.36	Northern Loloish			Yi (Weishan)	s ɿ ²¹		
17101						0	the blood	95	Jinuo		a⁴⁴ɕi⁴⁴	blood		68925		a⁴⁴ɕi⁴⁴	1842								n	351665	0	STEDT/TBL	TBL	0129.44	Central Loloish			Jinuo	a ⁴⁴ ◦ ɕ i ⁴⁴		
17720						0	the blood	95	Tibetan_Lhasa		tʂha⁵²	blood		20626		tʂha⁵²	1815								n	351623	0	STEDT/TBL	TBL	0129.02	Tibetan			Tibetan (Lhasa)	tʂh a ⁵²		
17741						0	the blood	95	Qiang_Mawo		sɑ	blood		86189		sɑ	1852								n	351629	0	STEDT/TBL	TBL	0129.08	Qiangic			Qiang (Mawo)	s ɑ		
18259						0	the blood	95	Yi_Nanhua		ɕi²¹	blood		54271		ɕi²¹	1834								n	351658	0	STEDT/TBL	TBL	0129.37	Northern Loloish			Yi (Nanhua)	ɕ i ²¹		
18645						0	the blood	95	Daofu		she	blood		5704		she	1807								n	351633	0	STEDT/TBL	TBL	0129.12	rGyalrongic			Daofu	sh e		
18996						0	the blood	95	Pumi_Lanping		sa¹³	blood		88133		sa¹³	1853								n	351630	0	STEDT/TBL	TBL	0129.09	Qiangic			Pumi (Lanping)	s a ¹³		
19092						0	the blood	95	Dulong		ɕɯi⁵⁵	blood		22748		ɕɯi⁵⁵	1816								n	351641	0	STEDT/TBL	TBL	0129.20	Nungic			Dulong	ɕ ɯ i ⁵⁵		
19317						0	the blood	95	rGyalrong_Maerkang		tɑ ʃi	blood		3847		tɑ ʃi	1806								n	351632	0	STEDT/TBL	TBL	0129.11	rGyalrong			rGyalrong (Maerkang)	t ɑ _ ʃ i		
19333						0	the blood	95	Tibetan_Batang		tʂhɑʔ⁵³	blood		39490		tʂhɑʔ⁵³	1826								n	351624	0	STEDT/TBL	TBL	0129.03	Tibetan			Tibetan (Batang)	tʂh ɑ ʔ ⁵³		
19580						0	the blood	95	Namuyi		sæ¹¹	blood		72585		sæ¹¹	1844								n	351667	0	STEDT/TBL	TBL	0129.46	Qiangic			Namuyi	s æ ¹¹		
20009						0	the blood	95	Queyu_Xinlong		si⁵⁵	blood		7682		si⁵⁵	1808								n	351634	0	STEDT/TBL	TBL	0129.13	Qiangic			Queyu (Xinlong)	s i ⁵⁵		
20362						0	the blood	95	Nung		ʂɯ⁵⁵	blood		24591		ʂɯ⁵⁵	1817								n	351642	0	STEDT/TBL	TBL	0129.21	Nungic			Nung	ʂ ɯ ⁵⁵		
20579						0	the blood	95	Bai_Jianchuan		suɑ̱³³	blood		76108		suɑ̱³³	1846								n	351669	0	STEDT/TBL	TBL	0129.48	Bai			Bai (Jianchuan)	s u ɑ̱ ³³		
20811						0	the blood	95	Gazhuo		sɿ³¹	blood		74420		sɿ³¹	1845								n	351668	0	STEDT/TBL	TBL	0129.47	Northern Loloish			Gazhuo	s ɿ ³¹		
20828						0	the blood	95	Yi_Sani		sz̩⁵⁵	blood		58059		sz̩⁵⁵	1836		!						n	351660	0	STEDT/TBL	TBL	0129.39	Central Loloish			Yi (Sani)	s z̩ ⁵⁵		
20924						0	the blood	95	Yi_Wuding		sɯ³³	blood		56123		sɯ³³	1835								n	351659	0	STEDT/TBL	TBL	0129.38	Northern Loloish			Yi (Wuding)	s ɯ ³³		
21205						0	the blood	95	Zhaba_Daofu_County		ɕhʌ¹³	blood		9502		ɕhʌ¹³	1809								n	351635	0	STEDT/TBL	TBL	0129.14	Qiangic			Zhaba (Daofu County)	ɕh ʌ ¹³		
21336						0	the blood	95	Darang_Taraon		xɑ³¹ɹuɑi⁵³	blood		26074		xɑ³¹ɹuɑi⁵³	1818								n	351643	0	STEDT/TBL	TBL	0129.22	Deng			Darang [Taraon]	x ɑ ³¹ ◦ ɹ u ɑ i ⁵³		
